,X.,Date_Time,Temp,Batt..V..,Coupler.Detached..,Coupler.Attached..,Stopped..,End.Of.File..,Date,Time
c..09.04.2011....08.49..,1,09/04/2011 08:49,25.428,3.51,,,,,04/09/2011,849
c..09.04.2011....08.50..,2,09/04/2011 08:50,NA,NA,Logged,,,,04/09/2011,850
c..09.04.2011....09.19..,3,09/04/2011 09:19,22.824,3.6,,,,,04/09/2011,919
c..09.04.2011....09.49..,4,09/04/2011 09:49,21.604,3.6,,,,,04/09/2011,949
c..09.04.2011....10.19..,5,09/04/2011 10:19,22.274,3.6,,,,,04/09/2011,1019
c..09.04.2011....10.49..,6,09/04/2011 10:49,21.509,3.6,,,,,04/09/2011,1049
c..09.04.2011....11.19..,7,09/04/2011 11:19,20.841,3.6,,,,,04/09/2011,1119
c..09.04.2011....11.49..,8,09/04/2011 11:49,20.293,3.6,,,,,04/09/2011,1149
c..09.04.2011....12.19..,9,09/04/2011 12:19,20.079,3.6,,,,,04/09/2011,1219
c..09.04.2011....12.49..,10,09/04/2011 12:49,17.677,3.63,,,,,04/09/2011,1249
c..09.04.2011....13.19..,11,09/04/2011 13:19,16.582,3.6,,,,,04/09/2011,1319
c..09.04.2011....13.49..,12,09/04/2011 13:49,16.582,3.6,,,,,04/09/2011,1349
c..09.04.2011....14.19..,13,09/04/2011 14:19,16.558,3.6,,,,,04/09/2011,1419
c..09.04.2011....14.49..,14,09/04/2011 14:49,16.534,3.6,,,,,04/09/2011,1449
c..09.04.2011....15.19..,15,09/04/2011 15:19,16.534,3.6,,,,,04/09/2011,1519
c..09.04.2011....15.49..,16,09/04/2011 15:49,16.534,3.6,,,,,04/09/2011,1549
c..09.04.2011....16.19..,17,09/04/2011 16:19,16.511,3.6,,,,,04/09/2011,1619
c..09.04.2011....16.49..,18,09/04/2011 16:49,16.534,3.6,,,,,04/09/2011,1649
c..09.04.2011....17.19..,19,09/04/2011 17:19,16.534,3.6,,,,,04/09/2011,1719
c..09.04.2011....17.49..,20,09/04/2011 17:49,16.511,3.6,,,,,04/09/2011,1749
c..09.04.2011....18.19..,21,09/04/2011 18:19,16.534,3.6,,,,,04/09/2011,1819
c..09.04.2011....18.49..,22,09/04/2011 18:49,16.463,3.6,,,,,04/09/2011,1849
c..09.04.2011....19.19..,23,09/04/2011 19:19,16.392,3.6,,,,,04/09/2011,1919
c..09.04.2011....19.49..,24,09/04/2011 19:49,16.32,3.6,,,,,04/09/2011,1949
c..09.04.2011....20.19..,25,09/04/2011 20:19,16.201,3.6,,,,,04/09/2011,2019
c..09.04.2011....20.49..,26,09/04/2011 20:49,16.225,3.6,,,,,04/09/2011,2049
c..09.04.2011....21.19..,27,09/04/2011 21:19,16.177,3.6,,,,,04/09/2011,2119
c..09.04.2011....21.49..,28,09/04/2011 21:49,16.034,3.57,,,,,04/09/2011,2149
c..09.04.2011....22.19..,29,09/04/2011 22:19,16.058,3.6,,,,,04/09/2011,2219
c..09.04.2011....22.49..,30,09/04/2011 22:49,15.963,3.6,,,,,04/09/2011,2249
c..09.04.2011....23.19..,31,09/04/2011 23:19,15.819,3.6,,,,,04/09/2011,2319
c..09.04.2011....23.49..,32,09/04/2011 23:49,15.867,3.6,,,,,04/09/2011,2349
c..09.05.2011....00.19..,33,09/05/2011 00:19,16.153,3.6,,,,,05/09/2011,19
c..09.05.2011....00.49..,34,09/05/2011 00:49,16.129,3.6,,,,,05/09/2011,49
c..09.05.2011....01.19..,35,09/05/2011 01:19,16.106,3.6,,,,,05/09/2011,119
c..09.05.2011....01.49..,36,09/05/2011 01:49,16.082,3.6,,,,,05/09/2011,149
c..09.05.2011....02.19..,37,09/05/2011 02:19,16.082,3.6,,,,,05/09/2011,219
c..09.05.2011....02.49..,38,09/05/2011 02:49,16.082,3.6,,,,,05/09/2011,249
c..09.05.2011....03.19..,39,09/05/2011 03:19,16.082,3.6,,,,,05/09/2011,319
c..09.05.2011....03.49..,40,09/05/2011 03:49,16.082,3.6,,,,,05/09/2011,349
c..09.05.2011....04.19..,41,09/05/2011 04:19,16.01,3.6,,,,,05/09/2011,419
c..09.05.2011....04.49..,42,09/05/2011 04:49,16.034,3.6,,,,,05/09/2011,449
c..09.05.2011....05.19..,43,09/05/2011 05:19,15.939,3.6,,,,,05/09/2011,519
c..09.05.2011....05.49..,44,09/05/2011 05:49,15.915,3.6,,,,,05/09/2011,549
c..09.05.2011....06.19..,45,09/05/2011 06:19,15.915,3.6,,,,,05/09/2011,619
c..09.05.2011....06.49..,46,09/05/2011 06:49,15.891,3.6,,,,,05/09/2011,649
c..09.05.2011....07.19..,47,09/05/2011 07:19,15.915,3.6,,,,,05/09/2011,719
c..09.05.2011....07.49..,48,09/05/2011 07:49,15.891,3.6,,,,,05/09/2011,749
c..09.05.2011....08.19..,49,09/05/2011 08:19,15.891,3.6,,,,,05/09/2011,819
c..09.05.2011....08.49..,50,09/05/2011 08:49,15.986,3.6,,,,,05/09/2011,849
c..09.05.2011....09.19..,51,09/05/2011 09:19,16.034,3.6,,,,,05/09/2011,919
c..09.05.2011....09.49..,52,09/05/2011 09:49,16.034,3.6,,,,,05/09/2011,949
c..09.05.2011....10.19..,53,09/05/2011 10:19,16.106,3.6,,,,,05/09/2011,1019
c..09.05.2011....10.49..,54,09/05/2011 10:49,16.296,3.6,,,,,05/09/2011,1049
c..09.05.2011....11.19..,55,09/05/2011 11:19,16.32,3.6,,,,,05/09/2011,1119
