,X.,Date_time,Temp,Date,Time
c..21.07.2013....22.00..,1,21/07/2013 22:00,21.891,21/07/2013,2200
c..21.07.2013....22.00...1,2,21/07/2013 22:00,NA,21/07/2013,2200
c..21.07.2013....22.30..,3,21/07/2013 22:30,21.246,21/07/2013,2230
c..21.07.2013....23.00..,4,21/07/2013 23:00,21.032,21/07/2013,2300
c..21.07.2013....23.30..,5,21/07/2013 23:30,21.079,21/07/2013,2330
c..22.07.2013....00.00..,6,22/07/2013 00:00,21.151,22/07/2013,0
c..22.07.2013....00.30..,7,22/07/2013 00:30,21.199,22/07/2013,30
c..22.07.2013....01.00..,8,22/07/2013 01:00,21.223,22/07/2013,100
c..22.07.2013....01.30..,9,22/07/2013 01:30,21.175,22/07/2013,130
c..22.07.2013....02.00..,10,22/07/2013 02:00,21.079,22/07/2013,200
c..22.07.2013....02.30..,11,22/07/2013 02:30,21.008,22/07/2013,230
c..22.07.2013....03.00..,12,22/07/2013 03:00,20.913,22/07/2013,300
c..22.07.2013....03.30..,13,22/07/2013 03:30,20.865,22/07/2013,330
c..22.07.2013....04.00..,14,22/07/2013 04:00,20.793,22/07/2013,400
c..22.07.2013....04.30..,15,22/07/2013 04:30,20.722,22/07/2013,430
c..22.07.2013....05.00..,16,22/07/2013 05:00,20.627,22/07/2013,500
c..22.07.2013....05.30..,17,22/07/2013 05:30,20.555,22/07/2013,530
c..22.07.2013....06.00..,18,22/07/2013 06:00,20.555,22/07/2013,600
c..22.07.2013....06.30..,19,22/07/2013 06:30,20.555,22/07/2013,630
c..22.07.2013....07.00..,20,22/07/2013 07:00,20.603,22/07/2013,700
c..22.07.2013....07.30..,21,22/07/2013 07:30,20.674,22/07/2013,730
c..22.07.2013....08.00..,22,22/07/2013 08:00,20.77,22/07/2013,800
c..22.07.2013....08.30..,23,22/07/2013 08:30,20.555,22/07/2013,830
c..22.07.2013....09.00..,24,22/07/2013 09:00,20.507,22/07/2013,900
c..22.07.2013....09.30..,25,22/07/2013 09:30,21.079,22/07/2013,930
