,X.,Date_Time,Temp,Logged,X,X.1,X.2,X.3,X.4,Date,Time
c..07.26.14....02.00.38..,1,07/26/14 02:00:38,15.915,3.57,,,,,,26/07/2014,21238
c..07.26.14....02.30.38..,2,07/26/14 02:30:38,15.724,3.57,,,,,,26/07/2014,24238
c..07.26.14....03.00.38..,3,07/26/14 03:00:38,15.772,3.57,,,,,,26/07/2014,31238
c..07.26.14....03.30.38..,4,07/26/14 03:30:38,15.843,3.57,,,,,,26/07/2014,34238
c..07.26.14....04.00.38..,5,07/26/14 04:00:38,15.915,3.57,,,,,,26/07/2014,41238
c..07.26.14....04.30.38..,6,07/26/14 04:30:38,15.772,3.57,,,,,,26/07/2014,44238
c..07.26.14....05.00.38..,7,07/26/14 05:00:38,15.7,3.57,,,,,,26/07/2014,51238
c..07.26.14....05.30.38..,8,07/26/14 05:30:38,15.7,3.57,,,,,,26/07/2014,54238
c..07.26.14....06.00.38..,9,07/26/14 06:00:38,15.676,3.57,,,,,,26/07/2014,61238
c..07.26.14....06.30.38..,10,07/26/14 06:30:38,15.629,3.57,,,,,,26/07/2014,64238
c..07.26.14....07.00.38..,11,07/26/14 07:00:38,15.652,3.57,,,,,,26/07/2014,71238
c..07.26.14....07.30.38..,12,07/26/14 07:30:38,15.533,3.57,,,,,,26/07/2014,74238
c..07.26.14....08.00.38..,13,07/26/14 08:00:38,15.438,3.57,,,,,,26/07/2014,81238
c..07.26.14....08.30.38..,14,07/26/14 08:30:38,15.366,3.57,,,,,,26/07/2014,84238
c..07.26.14....09.00.38..,15,07/26/14 09:00:38,15.342,3.57,,,,,,26/07/2014,91238
c..07.26.14....09.30.38..,16,07/26/14 09:30:38,15.27,3.57,,,,,,26/07/2014,94238
c..07.26.14....10.00.38..,17,07/26/14 10:00:38,15.27,3.57,,,,,,26/07/2014,101238
c..07.26.14....10.30.38..,18,07/26/14 10:30:38,15.39,3.57,,,,,,26/07/2014,104238
c..07.26.14....11.00.38..,19,07/26/14 11:00:38,15.414,3.57,,,,,,26/07/2014,111238
c..07.26.14....11.30.38..,20,07/26/14 11:30:38,15.414,3.57,,,,,,26/07/2014,114238
c..07.27.14....12.00.38..,21,07/27/14 12:00:38,15.366,3.57,,,,,,27/07/2014,120038
c..07.27.14....12.30.38..,22,07/27/14 12:30:38,15.247,3.57,,,,,,27/07/2014,123038
c..07.27.14....01.00.38..,23,07/27/14 01:00:38,15.199,3.57,,,,,,27/07/2014,10038
c..07.27.14....01.30.38..,24,07/27/14 01:30:38,15.151,3.57,,,,,,27/07/2014,13038
c..07.27.14....02.00.38..,25,07/27/14 02:00:38,15.031,3.6,,,,,,27/07/2014,20038
c..07.27.14....02.30.38..,26,07/27/14 02:30:38,15.055,3.57,,,,,,27/07/2014,23038
c..07.27.14....03.00.38..,27,07/27/14 03:00:38,15.079,3.57,,,,,,27/07/2014,30038
c..07.27.14....03.30.38..,28,07/27/14 03:30:38,15.079,3.57,,,,,,27/07/2014,33038
c..07.27.14....04.00.38..,29,07/27/14 04:00:38,15.127,3.57,,,,,,27/07/2014,40038
c..07.27.14....04.30.38..,30,07/27/14 04:30:38,15.223,3.57,,,,,,27/07/2014,43038
c..07.27.14....05.00.38..,31,07/27/14 05:00:38,15.27,3.57,,,,,,27/07/2014,50038
c..07.27.14....05.30.38..,32,07/27/14 05:30:38,15.247,3.57,,,,,,27/07/2014,53038
c..07.27.14....06.00.38..,33,07/27/14 06:00:38,15.223,3.57,,,,,,27/07/2014,60038
c..07.27.14....06.30.38..,34,07/27/14 06:30:38,15.127,3.57,,,,,,27/07/2014,63038
c..07.27.14....07.00.38..,35,07/27/14 07:00:38,15.055,3.57,,,,,,27/07/2014,70038
c..07.27.14....07.30.38..,36,07/27/14 07:30:38,15.103,3.57,,,,,,27/07/2014,73038
c..07.27.14....08.00.38..,37,07/27/14 08:00:38,15.079,3.57,,,,,,27/07/2014,80038
c..07.27.14....08.30.38..,38,07/27/14 08:30:38,15.103,3.57,,,,,,27/07/2014,83038
c..07.27.14....09.00.38..,39,07/27/14 09:00:38,15.294,3.57,,,,,,27/07/2014,90038
c..07.27.14....09.30.38..,40,07/27/14 09:30:38,15.509,3.57,,,,,,27/07/2014,93038
c..07.27.14....10.00.38..,41,07/27/14 10:00:38,15.652,3.57,,,,,,27/07/2014,100038
c..07.27.14....10.30.38..,42,07/27/14 10:30:38,15.843,3.57,,,,,,27/07/2014,103038
c..07.27.14....11.00.38..,43,07/27/14 11:00:38,15.939,3.57,,,,,,27/07/2014,110038
c..07.27.14....11.30.38..,44,07/27/14 11:30:38,16.32,3.57,,,,,,27/07/2014,113038
c..07.27.14....12.00.38...1,45,07/27/14 12:00:38,16.463,3.57,,,,,,27/07/2014,121238
c..07.27.14....12.30.38...1,46,07/27/14 12:30:38,16.558,3.57,,,,,,27/07/2014,124238
