,X.,Date_Time,Temp,Coupler.Detached..LGR.S.N..10678109.,Coupler.Attached..LGR.S.N..10678109.,Stopped..LGR.S.N..10678109.,End.Of.File..LGR.S.N..10678109.,Date,Time
c..08.07.2016....17.30..,1,08/07/2016 17:30,17.653,Logged,,,,07/08/2016,1730
c..08.07.2016....18.00..,2,08/07/2016 18:00,17.748,,,,,07/08/2016,1800
c..08.07.2016....18.30..,3,08/07/2016 18:30,17.772,,,,,07/08/2016,1830
c..08.07.2016....19.00..,4,08/07/2016 19:00,17.368,,,,,07/08/2016,1900
c..08.07.2016....19.30..,5,08/07/2016 19:30,17.106,,,,,07/08/2016,1930
c..08.07.2016....20.00..,6,08/07/2016 20:00,16.963,,,,,07/08/2016,2000
c..08.07.2016....20.30..,7,08/07/2016 20:30,16.844,,,,,07/08/2016,2030
c..08.07.2016....21.00..,8,08/07/2016 21:00,16.654,,,,,07/08/2016,2100
c..08.07.2016....21.30..,9,08/07/2016 21:30,16.796,,,,,07/08/2016,2130
c..08.07.2016....22.00..,10,08/07/2016 22:00,16.773,,,,,07/08/2016,2200
c..08.07.2016....22.30..,11,08/07/2016 22:30,16.773,,,,,07/08/2016,2230
c..08.07.2016....23.00..,12,08/07/2016 23:00,16.82,,,,,07/08/2016,2300
c..08.07.2016....23.30..,13,08/07/2016 23:30,16.725,,,,,07/08/2016,2330
c..08.08.2016....00.00..,14,08/08/2016 00:00,16.749,,,,,08/08/2016,0
c..08.08.2016....00.30..,15,08/08/2016 00:30,16.701,,,,,08/08/2016,30
c..08.08.2016....01.00..,16,08/08/2016 01:00,16.677,,,,,08/08/2016,100
c..08.08.2016....01.30..,17,08/08/2016 01:30,16.582,,,,,08/08/2016,130
c..08.08.2016....02.00..,18,08/08/2016 02:00,16.582,,,,,08/08/2016,200
c..08.08.2016....02.30..,19,08/08/2016 02:30,16.415,,,,,08/08/2016,230
c..08.08.2016....03.00..,20,08/08/2016 03:00,16.534,,,,,08/08/2016,300
c..08.08.2016....03.30..,21,08/08/2016 03:30,16.368,,,,,08/08/2016,330
c..08.08.2016....04.00..,22,08/08/2016 04:00,16.534,,,,,08/08/2016,400
c..08.08.2016....04.30..,23,08/08/2016 04:30,16.439,,,,,08/08/2016,430
c..08.08.2016....05.00..,24,08/08/2016 05:00,16.415,,,,,08/08/2016,500
c..08.08.2016....05.30..,25,08/08/2016 05:30,16.368,,,,,08/08/2016,530
c..08.08.2016....06.00..,26,08/08/2016 06:00,16.368,,,,,08/08/2016,600
c..08.08.2016....06.30..,27,08/08/2016 06:30,16.225,,,,,08/08/2016,630
c..08.08.2016....07.00..,28,08/08/2016 07:00,16.249,,,,,08/08/2016,700
c..08.08.2016....07.30..,29,08/08/2016 07:30,16.296,,,,,08/08/2016,730
c..08.08.2016....08.00..,30,08/08/2016 08:00,16.32,,,,,08/08/2016,800
c..08.08.2016....08.30..,31,08/08/2016 08:30,16.558,,,,,08/08/2016,830
c..08.08.2016....09.00..,32,08/08/2016 09:00,16.749,,,,,08/08/2016,900
c..08.08.2016....09.30..,33,08/08/2016 09:30,16.773,,,,,08/08/2016,930
c..08.08.2016....10.00..,34,08/08/2016 10:00,16.82,,,,,08/08/2016,1000
c..08.08.2016....10.30..,35,08/08/2016 10:30,16.939,,,,,08/08/2016,1030
c..08.08.2016....11.00..,36,08/08/2016 11:00,17.011,,,,,08/08/2016,1100
c..08.08.2016....11.30..,37,08/08/2016 11:30,17.106,,,,,08/08/2016,1130
c..08.08.2016....12.00..,38,08/08/2016 12:00,17.32,,,,,08/08/2016,1200
c..08.08.2016....12.30..,39,08/08/2016 12:30,17.391,,,,,08/08/2016,1230
c..08.08.2016....13.00..,40,08/08/2016 13:00,17.653,,,,,08/08/2016,1300
c..08.08.2016....13.30..,41,08/08/2016 13:30,17.867,,,,,08/08/2016,1330
c..08.08.2016....14.00..,42,08/08/2016 14:00,18.01,,,,,08/08/2016,1400
c..08.08.2016....14.30..,43,08/08/2016 14:30,18.057,,,,,08/08/2016,1430
c..08.08.2016....15.00..,44,08/08/2016 15:00,18.319,,,,,08/08/2016,1500
c..08.08.2016....15.30..,45,08/08/2016 15:30,18.485,,,,,08/08/2016,1530
c..08.08.2016....16.00..,46,08/08/2016 16:00,18.604,,,,,08/08/2016,1600
c..08.08.2016....16.30..,47,08/08/2016 16:30,18.247,,,,,08/08/2016,1630
c..08.08.2016....17.00..,48,08/08/2016 17:00,18.152,,,,,08/08/2016,1700
c..08.08.2016....17.30..,49,08/08/2016 17:30,18.414,,,,,08/08/2016,1730
c..08.08.2016....18.00..,50,08/08/2016 18:00,17.915,,,,,08/08/2016,1800
