,X.,Date_Time,Temp,Coupler.Detached..LGR.S.N..10678109.,Coupler.Attached..LGR.S.N..10678109.,Stopped..LGR.S.N..10678109.,End.Of.File..LGR.S.N..10678109.,Date,Time
c..08.11.2015....07.30..,1,08/11/2015 07:30,20.174,,,,,08/11/2015,730
c..08.11.2015....07.30...1,2,08/11/2015 07:30,NA,Logged,,,,08/11/2015,730
c..08.11.2015....08.00..,3,08/11/2015 08:00,21.437,,,,,08/11/2015,800
c..08.11.2015....08.30..,4,08/11/2015 08:30,22.441,,,,,08/11/2015,830
c..08.11.2015....09.00..,5,08/11/2015 09:00,23.833,,,,,08/11/2015,900
c..08.11.2015....09.30..,6,08/11/2015 09:30,24.267,,,,,08/11/2015,930
c..08.11.2015....10.00..,7,08/11/2015 10:00,26.036,,,,,08/11/2015,1000
c..08.11.2015....10.30..,8,08/11/2015 10:30,28.941,,,,,08/11/2015,1030
c..08.11.2015....11.00..,9,08/11/2015 11:00,30.672,,,,,08/11/2015,1100
c..08.11.2015....11.30..,10,08/11/2015 11:30,31.586,,,,,08/11/2015,1130
c..08.11.2015....12.00..,11,08/11/2015 12:00,41.298,,,,,08/11/2015,1200
c..08.11.2015....12.30..,12,08/11/2015 12:30,45.467,,,,,08/11/2015,1230
c..08.11.2015....13.00..,13,08/11/2015 13:00,42.953,,,,,08/11/2015,1300
c..08.11.2015....13.30..,14,08/11/2015 13:30,41.414,,,,,08/11/2015,1330
c..08.11.2015....14.00..,15,08/11/2015 14:00,32.742,,,,,08/11/2015,1400
c..08.11.2015....14.30..,16,08/11/2015 14:30,18.129,,,,,08/11/2015,1430
c..08.11.2015....15.00..,17,08/11/2015 15:00,18.295,,,,,08/11/2015,1500
c..08.11.2015....15.30..,18,08/11/2015 15:30,18.152,,,,,08/11/2015,1530
c..08.11.2015....16.00..,19,08/11/2015 16:00,18.081,,,,,08/11/2015,1600
c..08.11.2015....16.30..,20,08/11/2015 16:30,18.105,,,,,08/11/2015,1630
c..08.11.2015....17.00..,21,08/11/2015 17:00,18.366,,,,,08/11/2015,1700
c..08.11.2015....17.30..,22,08/11/2015 17:30,18.438,,,,,08/11/2015,1730
c..08.11.2015....18.00..,23,08/11/2015 18:00,18.485,,,,,08/11/2015,1800
c..08.11.2015....18.30..,24,08/11/2015 18:30,18.485,,,,,08/11/2015,1830
c..08.11.2015....19.00..,25,08/11/2015 19:00,18.366,,,,,08/11/2015,1900
c..08.11.2015....19.30..,26,08/11/2015 19:30,18.247,,,,,08/11/2015,1930
c..08.11.2015....20.00..,27,08/11/2015 20:00,18.129,,,,,08/11/2015,2000
c..08.11.2015....20.30..,28,08/11/2015 20:30,18.366,,,,,08/11/2015,2030
c..08.11.2015....21.00..,29,08/11/2015 21:00,18.39,,,,,08/11/2015,2100
c..08.11.2015....21.30..,30,08/11/2015 21:30,18.343,,,,,08/11/2015,2130
c..08.11.2015....22.00..,31,08/11/2015 22:00,18.295,,,,,08/11/2015,2200
c..08.11.2015....22.30..,32,08/11/2015 22:30,17.915,,,,,08/11/2015,2230
c..08.11.2015....23.00..,33,08/11/2015 23:00,17.915,,,,,08/11/2015,2300
c..08.11.2015....23.30..,34,08/11/2015 23:30,18.438,,,,,08/11/2015,2330
c..08.12.2015....00.00..,35,08/12/2015 00:00,18.414,,,,,08/12/2015,0
c..08.12.2015....00.30..,36,08/12/2015 00:30,18.271,,,,,08/12/2015,30
c..08.12.2015....01.00..,37,08/12/2015 01:00,18.081,,,,,08/12/2015,100
c..08.12.2015....01.30..,38,08/12/2015 01:30,18.105,,,,,08/12/2015,130
c..08.12.2015....02.00..,39,08/12/2015 02:00,17.986,,,,,08/12/2015,200
c..08.12.2015....02.30..,40,08/12/2015 02:30,17.986,,,,,08/12/2015,230
c..08.12.2015....03.00..,41,08/12/2015 03:00,17.938,,,,,08/12/2015,300
c..08.12.2015....03.30..,42,08/12/2015 03:30,17.819,,,,,08/12/2015,330
c..08.12.2015....04.00..,43,08/12/2015 04:00,17.915,,,,,08/12/2015,400
c..08.12.2015....04.30..,44,08/12/2015 04:30,17.653,,,,,08/12/2015,430
c..08.12.2015....05.00..,45,08/12/2015 05:00,17.724,,,,,08/12/2015,500
c..08.12.2015....05.30..,46,08/12/2015 05:30,17.701,,,,,08/12/2015,530
c..08.12.2015....06.00..,47,08/12/2015 06:00,17.463,,,,,08/12/2015,600
c..08.12.2015....06.30..,48,08/12/2015 06:30,17.629,,,,,08/12/2015,630
c..08.12.2015....07.00..,49,08/12/2015 07:00,17.439,,,,,08/12/2015,700
c..08.12.2015....07.30..,50,08/12/2015 07:30,17.534,,,,,08/12/2015,730
c..08.12.2015....08.00..,51,08/12/2015 08:00,17.558,,,,,08/12/2015,800
c..08.12.2015....08.30..,52,08/12/2015 08:30,17.677,,,,,08/12/2015,830
c..08.12.2015....09.00..,53,08/12/2015 09:00,17.867,,,,,08/12/2015,900
c..08.12.2015....09.30..,54,08/12/2015 09:30,17.915,,,,,08/12/2015,930
c..08.12.2015....10.00..,55,08/12/2015 10:00,17.986,,,,,08/12/2015,1000
c..08.12.2015....10.30..,56,08/12/2015 10:30,18.081,,,,,08/12/2015,1030
c..08.12.2015....11.00..,57,08/12/2015 11:00,18.152,,,,,08/12/2015,1100
c..08.12.2015....11.30..,58,08/12/2015 11:30,18.129,,,,,08/12/2015,1130
c..08.12.2015....12.00..,59,08/12/2015 12:00,18.152,,,,,08/12/2015,1200
c..08.12.2015....12.30..,60,08/12/2015 12:30,18.176,,,,,08/12/2015,1230
c..08.12.2015....13.00..,61,08/12/2015 13:00,18.319,,,,,08/12/2015,1300
c..08.12.2015....13.30..,62,08/12/2015 13:30,18.39,,,,,08/12/2015,1330
c..08.12.2015....14.00..,63,08/12/2015 14:00,18.675,,,,,08/12/2015,1400
c..08.12.2015....14.30..,64,08/12/2015 14:30,18.818,,,,,08/12/2015,1430
c..08.12.2015....15.00..,65,08/12/2015 15:00,18.699,,,,,08/12/2015,1500
c..08.12.2015....15.30..,66,08/12/2015 15:30,18.747,,,,,08/12/2015,1530
c..08.12.2015....16.00..,67,08/12/2015 16:00,18.866,,,,,08/12/2015,1600
c..08.12.2015....16.30..,68,08/12/2015 16:30,19.008,,,,,08/12/2015,1630
c..08.12.2015....17.00..,69,08/12/2015 17:00,18.985,,,,,08/12/2015,1700
c..08.12.2015....17.30..,70,08/12/2015 17:30,19.008,,,,,08/12/2015,1730
c..08.12.2015....18.00..,71,08/12/2015 18:00,18.913,,,,,08/12/2015,1800
c..08.12.2015....18.30..,72,08/12/2015 18:30,18.866,,,,,08/12/2015,1830
c..08.12.2015....19.00..,73,08/12/2015 19:00,18.699,,,,,08/12/2015,1900
c..08.12.2015....19.30..,74,08/12/2015 19:30,18.509,,,,,08/12/2015,1930
c..08.12.2015....20.00..,75,08/12/2015 20:00,18.58,,,,,08/12/2015,2000
c..08.12.2015....20.30..,76,08/12/2015 20:30,18.818,,,,,08/12/2015,2030
c..08.12.2015....21.00..,77,08/12/2015 21:00,18.794,,,,,08/12/2015,2100
c..08.12.2015....21.30..,78,08/12/2015 21:30,18.723,,,,,08/12/2015,2130
c..08.12.2015....22.00..,79,08/12/2015 22:00,18.461,,,,,08/12/2015,2200
