"","Date","Max","Min"
"1","08/08/2017",18.224,16.939
"2","09/08/2017",17.272,16.439
"3","10/08/2017",16.487,15.39
"4","11/08/2017",15.748,14.721
"5","12/08/2017",16.868,14.194
"6","13/08/2017",16.368,14.745
"7","14/08/2017",16.606,14.673
"8","15/08/2017",16.677,14.912
"9","16/08/2017",17.011,15.175
"10","17/08/2017",18.247,15.915
"11","18/08/2017",17.891,16.106
"12","19/08/2017",17.867,16.582
"13","20/08/2017",17.819,15.939
"14","21/08/2017",18.129,15.748
"15","22/08/2017",18.461,15.629
"16","23/08/2017",18.366,17.13
"17","24/08/2017",18.343,16.344
"18","25/08/2017",18.152,15.843
"19","26/08/2017",17.986,15.891
"20","27/08/2017",17.724,16.058
"21","28/08/2017",18.271,15.533
"22","29/08/2017",17.415,16.415
"23","30/08/2017",17.011,15.103
"24","31/08/2017",16.296,15.748
"25","01/09/2017",16.987,15.247
"26","02/09/2017",15.342,14.505
"27","03/09/2017",15.342,13.834
"28","04/09/2017",15.438,14.17
"29","05/09/2017",16.058,13.762
"30","06/09/2017",15.557,14.505
"31","07/09/2017",15.796,13.882
"32","08/09/2017",15.055,13.449
"33","09/09/2017",14.864,12.944
"34","10/09/2017",13.57,12.606
"35","11/09/2017",13.762,12.63
"36","12/09/2017",13.714,12.364
"37","13/09/2017",13.858,12.413
"38","14/09/2017",13.281,12.34
"39","15/09/2017",12.654,11.929
"40","16/09/2017",13.185,11.589
"41","17/09/2017",12.509,10.98
"42","18/09/2017",12.074,11.2
"43","19/09/2017",12.219,11.2
"44","20/09/2017",12.654,11.029
"45","21/09/2017",12.413,11.151
"46","22/09/2017",11.953,11.127
"47","23/09/2017",12.268,10.932
"48","24/09/2017",12.654,11.175
"49","25/09/2017",12.799,11.856
"50","26/09/2017",12.558,11.346
"51","27/09/2017",12.509,11.053
"52","28/09/2017",12.751,11.151
"53","29/09/2017",13.425,11.686
"54","30/09/2017",12.871,12.074
"55","01/10/2017",12.823,12.05
"56","02/10/2017",12.871,12.001
"57","03/10/2017",13.449,11.832
"58","04/10/2017",13.377,11.734
"59","05/10/2017",14.29,11.88
"60","06/10/2017",12.606,11.734
"61","07/10/2017",12.751,11.273
"62","08/10/2017",13.064,11.224
"63","09/10/2017",12.799,10.834
"64","10/10/2017",12.727,10.59
"65","11/10/2017",12.001,10.418
"66","12/10/2017",12.098,10.369
"67","13/10/2017",12.268,10.565
"68","14/10/2017",12.34,10.834
"69","15/10/2017",12.268,10.712
"70","16/10/2017",12.171,10.443
"71","17/10/2017",12.171,9.977
"72","18/10/2017",11.127,10.492
"73","19/10/2017",11.54,10.467
"74","20/10/2017",11.516,10.59
"75","21/10/2017",11.127,10.345
"76","22/10/2017",10.81,10.1
"77","23/10/2017",10.907,9.78
"78","24/10/2017",11.297,9.78
"79","25/10/2017",10.81,9.558
"80","26/10/2017",10.834,9.534
"81","27/10/2017",10.614,9.879
"82","28/10/2017",10.345,9.534
"83","29/10/2017",9.632,9.163
"84","30/10/2017",9.485,8.841
"85","31/10/2017",9.583,8.145
"86","01/11/2017",9.558,7.895
"87","02/11/2017",8.841,7.87
"88","03/11/2017",8.568,8.045
"89","04/11/2017",8.643,7.895
"90","05/11/2017",8.295,7.242
"91","06/11/2017",7.368,6.077
"92","07/11/2017",6.788,6.281
"93","08/11/2017",6.331,5.796
"94","09/11/2017",5.872,5.282
"95","10/11/2017",5.308,5.05
"96","11/11/2017",5.514,5.05
"97","12/11/2017",5.745,5.05
"98","13/11/2017",4.999,4.141
"99","14/11/2017",4.558,3.617
"100","15/11/2017",4.947,3.221
"101","16/11/2017",4.714,3.564
"102","17/11/2017",4.792,3.696
"103","18/11/2017",4.376,3.459
"104","19/11/2017",4.22,2.557
"105","20/11/2017",5.102,3.195
"106","21/11/2017",4.272,3.009
"107","22/11/2017",4.636,3.089
"108","23/11/2017",4.141,3.38
"109","24/11/2017",4.168,3.538
"110","25/11/2017",3.801,3.195
"111","26/11/2017",3.485,2.85
"112","27/11/2017",3.195,2.396
"113","28/11/2017",4.22,1.751
"114","29/11/2017",2.823,1.832
"115","30/11/2017",2.797,1.67
"116","01/12/2017",1.886,0.797
"117","02/12/2017",1.371,0.439
"118","03/12/2017",0.852,0.439
"119","04/12/2017",1.588,0.356
"120","05/12/2017",1.262,0.412
"121","06/12/2017",1.208,0.605
"122","07/12/2017",1.262,0.742
"123","08/12/2017",1.67,0.66
"124","09/12/2017",1.262,0.605
"125","10/12/2017",0.907,0.356
"126","11/12/2017",1.371,0.329
"127","12/12/2017",1.126,0.962
"128","13/12/2017",0.989,0.742
"129","14/12/2017",0.962,0.687
"130","15/12/2017",0.77,0.522
"131","16/12/2017",0.495,0.384
"132","17/12/2017",0.439,0.246
"133","18/12/2017",0.356,0.163
"134","19/12/2017",0.356,0.163
"135","20/12/2017",0.356,0.218
"136","21/12/2017",0.384,0.19
"137","22/12/2017",0.412,0.218
"138","23/12/2017",0.384,0.19
"139","24/12/2017",0.356,0.218
"140","25/12/2017",0.384,0.19
"141","26/12/2017",0.273,0.19
"142","27/12/2017",0.246,0.107
"143","28/12/2017",0.218,0.107
"144","29/12/2017",0.246,0.135
"145","30/12/2017",0.19,0.19
"146","31/12/2017",0.218,0.135
"147","01/01/2017",3.301,2.289
"148","02/01/2017",2.85,2.047
"149","03/01/2017",3.221,2.155
"150","04/01/2017",3.195,1.805
"151","05/01/2017",2.903,1.398
"152","06/01/2017",2.956,1.697
"153","07/01/2017",3.036,1.344
"154","08/01/2017",2.637,1.208
"155","09/01/2017",3.274,1.017
"156","10/01/2017",2.584,1.071
"157","11/01/2017",2.021,0.605
"158","12/01/2017",0.907,0.522
"159","13/01/2017",0.852,0.356
"160","14/01/2017",0.495,0.301
"161","15/01/2017",0.412,0.246
"162","16/01/2017",0.273,0.107
"163","17/01/2017",0.218,0.079
"164","18/01/2017",0.19,0.135
"165","19/01/2017",0.19,0.19
"166","20/01/2017",0.19,0.19
"167","21/01/2017",0.19,0.19
"168","22/01/2017",0.218,0.163
"169","23/01/2017",0.246,0.163
"170","24/01/2017",0.218,0.163
"171","25/01/2017",0.19,0.163
"172","26/01/2017",0.19,0.163
"173","27/01/2017",0.218,0.135
"174","28/01/2017",0.163,0.135
"175","29/01/2017",0.163,0.163
"176","30/01/2017",0.163,0.163
"177","31/01/2017",0.163,0.163
"178","01/02/2017",0.19,0.163
"179","02/02/2017",0.273,0.163
"180","03/02/2017",0.218,0.135
"181","04/02/2017",0.19,0.079
"182","05/02/2017",0.19,0.051
"183","06/02/2017",0.135,0.051
"184","07/02/2017",0.218,0.079
"185","08/02/2017",0.19,0.135
"186","09/02/2017",0.19,0.107
"187","10/02/2017",0.19,0.135
"188","11/02/2017",0.135,0.135
"189","12/02/2017",0.19,0.051
"190","13/02/2017",0.135,0.024
"191","14/02/2017",0.163,0.135
"192","15/02/2017",0.19,0.163
"193","16/02/2017",0.19,0.163
"194","17/02/2017",0.19,0.19
"195","18/02/2017",0.218,0.19
"196","19/02/2017",0.218,0.19
"197","20/02/2017",0.19,0.19
"198","21/02/2017",0.19,0.163
"199","22/02/2017",0.19,0.163
"200","23/02/2017",0.19,0.135
"201","24/02/2017",0.218,0.107
"202","25/02/2017",0.135,0.079
"203","26/02/2017",0.163,0.135
"204","27/02/2017",0.218,0.135
"205","28/02/2017",0.163,0.107
"206","01/03/2017",0.163,0.107
"207","02/03/2017",0.19,0.135
"208","03/03/2017",0.19,0.079
"209","04/03/2017",0.163,0.107
"210","05/03/2017",0.163,0.135
"211","06/03/2017",0.135,0.079
"212","07/03/2017",0.135,0.051
"213","08/03/2017",0.135,0.079
"214","09/03/2017",0.19,0.135
"215","10/03/2017",0.218,0.19
"216","11/03/2017",0.218,0.163
"217","12/03/2017",0.218,0.19
"218","13/03/2017",0.218,0.135
"219","14/03/2017",0.163,0.107
"220","15/03/2017",0.19,0.135
"221","16/03/2017",0.218,0.107
"222","17/03/2017",0.19,0.107
