#,Date_Time,Temp,"Batt, V (LGR S/N: 10311204, SEN S/N: 10311204)",Coupler Detached (LGR S/N: 10311204),Coupler Attached (LGR S/N: 10311204),Host Connected (LGR S/N: 10311204),Stopped (LGR S/N: 10311204),End Of File (LGR S/N: 10311204)
1,07/26/14 04:28:51 ,16.082,3.57,Logged,,,,
2,07/26/14 04:58:51 ,16.01,3.57,,,,,
3,07/26/14 05:28:51 ,15.891,3.6,,,,,
4,07/26/14 05:58:51 ,15.986,3.6,,,,,
5,07/26/14 06:28:51 ,15.772,3.6,,,,,
6,07/26/14 06:58:51 ,15.652,3.6,,,,,
7,07/26/14 07:28:51 ,15.533,3.6,,,,,
8,07/26/14 07:58:51 ,15.461,3.6,,,,,
9,07/26/14 08:28:51 ,15.39,3.6,,,,,
10,07/26/14 08:58:51 ,15.366,3.6,,,,,
11,07/26/14 09:28:51 ,15.318,3.6,,,,,
12,07/26/14 09:58:51 ,15.294,3.6,,,,,
13,07/26/14 10:28:51 ,15.27,3.6,,,,,
14,07/26/14 10:58:51 ,15.199,3.6,,,,,
15,07/26/14 11:28:51 ,15.151,3.6,,,,,
16,07/26/14 11:58:51 ,15.103,3.6,,,,,
17,07/27/14 12:28:51 ,15.103,3.6,,,,,
18,07/27/14 12:58:51 ,15.079,3.6,,,,,
19,07/27/14 01:28:51 ,15.055,3.6,,,,,
20,07/27/14 01:58:51 ,15.031,3.63,,,,,
21,07/27/14 02:28:51 ,14.984,3.63,,,,,
22,07/27/14 02:58:51 ,14.984,3.63,,,,,
23,07/27/14 03:28:51 ,14.96,3.63,,,,,
24,07/27/14 03:58:51 ,14.96,3.63,,,,,
25,07/27/14 04:28:51 ,14.912,3.6,,,,,
26,07/27/14 04:58:51 ,14.84,3.6,,,,,
27,07/27/14 05:28:51 ,14.768,3.6,,,,,
28,07/27/14 05:58:51 ,14.745,3.6,,,,,
29,07/27/14 06:28:51 ,14.697,3.6,,,,,
30,07/27/14 06:58:51 ,14.649,3.6,,,,,
31,07/27/14 07:28:51 ,14.601,3.6,,,,,
32,07/27/14 07:58:51 ,14.577,3.6,,,,,
33,07/27/14 08:28:51 ,14.505,3.6,,,,,
34,07/27/14 08:58:51 ,14.601,3.6,,,,,
35,07/27/14 09:28:51 ,14.673,3.6,,,,,
36,07/27/14 09:58:51 ,14.721,3.6,,,,,
37,07/27/14 10:28:51 ,14.768,3.6,,,,,
38,07/27/14 10:58:51 ,14.96,3.6,,,,,
39,07/27/14 11:28:51 ,15.031,3.63,,,,,
40,07/27/14 11:58:51 ,15.247,3.6,,,,,
41,07/27/14 12:28:51 ,15.676,3.6,,,,,
42,07/27/14 12:58:51 ,15.867,3.6,,,,,
43,07/27/14 01:28:51 ,15.796,3.6,,,,,
44,07/27/14 01:58:51 ,16.272,3.6,,,,,
45,07/27/14 02:28:51 ,16.558,3.6,,,,,
46,07/27/14 02:58:51 ,16.773,3.6,,,,,
47,07/27/14 03:28:51 ,16.82,3.6,,,,,
48,07/27/14 03:58:51 ,17.201,3.6,,,,,
49,07/27/14 04:28:51 ,17.32,3.6,,,,,
50,07/27/14 04:58:51 ,17.558,3.6,,,,,
51,07/27/14 05:28:51 ,17.677,3.6,,,,,
52,07/27/14 05:58:51 ,17.653,3.6,,,,,
53,07/27/14 06:28:51 ,17.582,3.6,,,,,
54,07/27/14 06:58:51 ,17.51,3.6,,,,,
55,07/27/14 07:28:51 ,17.368,3.6,,,,,
56,07/27/14 07:58:51 ,17.082,3.6,,,,,
57,07/27/14 08:28:51 ,16.749,3.6,,,,,
58,07/27/14 08:58:51 ,16.63,3.6,,,,,
59,07/27/14 09:28:51 ,16.463,3.6,,,,,
60,07/27/14 09:58:51 ,16.32,3.6,,,,,
61,07/27/14 10:28:51 ,16.272,3.6,,,,,
62,07/27/14 10:58:51 ,16.106,3.6,,,,,
