"","Date","Max","Min"
"1","01/01/2017",0.907,0.77
"2","02/01/2017",0.88,0.742
"3","03/01/2017",0.88,0.742
"4","04/01/2017",0.825,0.687
"5","05/01/2017",0.825,0.577
"6","06/01/2017",0.825,0.577
"7","07/01/2017",0.66,0.522
"8","08/01/2017",0.577,0.384
"9","09/01/2017",0.742,0.329
"10","10/01/2017",0.632,0.495
"11","11/01/2017",0.495,0.356
"12","12/01/2017",0.66,0.384
"13","13/01/2017",0.577,0.467
"14","14/01/2017",0.495,0.356
"15","15/01/2017",0.412,0.301
"16","16/01/2017",0.356,0.19
"17","17/01/2017",0.329,0.135
"18","18/01/2017",0.301,0.246
"19","19/01/2017",0.301,0.246
"20","20/01/2017",0.301,0.218
"21","21/01/2017",0.273,0.218
"22","22/01/2017",0.301,0.19
"23","23/01/2017",0.273,0.218
"24","24/01/2017",0.273,0.218
"25","25/01/2017",0.246,0.218
"26","26/01/2017",0.246,0.218
"27","27/01/2017",0.246,0.218
"28","28/01/2017",0.246,0.19
"29","29/01/2017",0.246,0.19
"30","30/01/2017",0.246,0.19
"31","31/01/2017",0.246,0.19
"32","01/02/2017",0.246,0.218
"33","02/02/2017",0.246,0.19
"34","03/02/2017",0.246,0.19
"35","04/02/2017",0.246,0.107
"36","05/02/2017",0.246,0.135
"37","06/02/2017",0.301,0.163
"38","07/02/2017",0.715,0.246
"39","08/02/2017",0.522,0.329
"40","09/02/2017",0.384,0.19
"41","10/02/2017",0.218,0.19
"42","11/02/2017",0.218,0.163
"43","12/02/2017",0.19,0.135
"44","13/02/2017",0.163,0.135
"45","14/02/2017",0.163,0.135
"46","15/02/2017",0.163,0.135
"47","16/02/2017",0.163,0.135
"48","17/02/2017",0.163,0.135
"49","18/02/2017",0.163,0.135
"50","19/02/2017",0.163,0.135
"51","20/02/2017",0.19,0.135
"52","21/02/2017",0.163,0.135
"53","22/02/2017",0.135,0.135
"54","23/02/2017",0.135,0.107
"55","24/02/2017",0.135,0.079
"56","25/02/2017",0.135,0.079
"57","26/02/2017",0.135,0.107
"58","27/02/2017",0.135,0.079
"59","28/02/2017",0.107,0.079
"60","01/03/2017",0.135,0.079
"61","02/03/2017",0.135,0.079
"62","03/03/2017",0.107,0.079
"63","04/03/2017",0.107,0.079
"64","05/03/2017",0.107,0.079
"65","06/03/2017",0.19,0.079
"66","07/03/2017",0.522,0.079
"67","08/03/2017",1.017,0.246
"68","09/03/2017",0.246,0.19
"69","10/03/2017",0.19,0.163
"70","11/03/2017",0.163,0.135
"71","12/03/2017",0.135,0.107
"72","13/03/2017",0.163,0.107
"73","14/03/2017",0.163,0.135
"74","15/03/2017",0.135,0.135
"75","16/03/2017",0.135,0.135
"76","17/03/2017",0.163,0.135
"77","18/03/2017",0.135,0.135
"78","19/03/2017",0.163,0.135
"79","20/03/2017",0.163,0.135
"80","21/03/2017",0.163,0.135
"81","22/03/2017",0.163,0.135
"82","23/03/2017",0.218,0.163
"83","24/03/2017",0.19,0.163
"84","25/03/2017",0.19,0.163
"85","26/03/2017",0.19,0.163
"86","27/03/2017",0.19,0.163
"87","28/03/2017",0.163,0.135
"88","29/03/2017",0.19,0.135
"89","30/03/2017",0.19,0.135
"90","31/03/2017",0.19,0.135
"91","01/04/2017",0.218,0.163
"92","02/04/2017",0.218,0.163
"93","03/04/2017",0.19,0.135
"94","04/04/2017",0.135,0.107
"95","05/04/2017",0.163,0.107
"96","06/04/2017",0.163,0.107
"97","07/04/2017",0.19,0.107
"98","08/04/2017",0.163,0.135
"99","09/04/2017",0.135,0.135
"100","10/04/2017",0.163,0.135
"101","11/04/2017",0.19,0.135
"102","12/04/2017",0.19,0.163
"103","13/04/2017",0.246,0.163
"104","14/04/2017",0.246,0.19
"105","15/04/2017",0.218,0.135
"106","16/04/2017",0.218,0.163
"107","17/04/2017",0.329,0.218
"108","18/04/2017",0.412,0.301
"109","19/04/2017",0.66,0.412
"110","20/04/2017",0.467,0.329
"111","21/04/2017",0.412,0.329
"112","22/04/2017",0.439,0.356
"113","23/04/2017",0.577,0.439
"114","24/04/2017",0.577,0.439
"115","25/04/2017",1.071,0.439
"116","26/04/2017",1.262,0.412
"117","27/04/2017",0.467,0.218
"118","28/04/2017",0.439,0.135
"119","29/04/2017",0.439,0.329
"120","30/04/2017",0.467,0.163
"121","01/05/2017",0.55,0.412
"122","02/05/2017",0.522,0.412
"123","03/05/2017",0.66,0.522
"124","04/05/2017",1.017,0.632
"125","05/05/2017",1.48,0.825
"126","06/05/2017",1.886,1.453
"127","07/05/2017",1.724,1.18
"128","08/05/2017",2.503,1.643
"129","09/05/2017",3.433,2.343
"130","10/05/2017",3.38,3.009
"131","11/05/2017",3.38,2.797
"132","12/05/2017",3.958,2.93
"133","13/05/2017",4.895,3.433
"134","14/05/2017",5.847,3.696
"135","15/05/2017",7.242,4.089
"136","16/05/2017",6.661,4.74
"137","17/05/2017",5.796,4.532
"138","18/05/2017",4.895,3.775
"139","19/05/2017",5.975,3.617
"140","20/05/2017",7.895,4.141
"141","21/05/2017",7.945,4.973
"142","22/05/2017",8.12,6.153
"143","23/05/2017",8.965,5.257
"144","24/05/2017",7.695,5.77
"145","25/05/2017",7.494,5.616
"146","26/05/2017",9.163,5.77
"147","27/05/2017",10.907,6.458
"148","28/05/2017",10.687,6.914
"149","29/05/2017",8.99,7.393
"150","30/05/2017",8.145,6.965
"151","31/05/2017",7.895,6.585
"152","01/06/2017",9.682,5.975
"153","02/06/2017",11.662,7.318
"154","03/06/2017",9.731,8.419
"155","04/06/2017",8.519,7.695
"156","05/06/2017",11.224,6.712
"157","06/06/2017",9.706,7.594
"158","07/06/2017",13.906,7.444
"159","08/06/2017",13.401,9.386
"160","09/06/2017",14.505,11.053
"161","10/06/2017",17.153,12.025
"162","11/06/2017",17.986,13.497
"163","12/06/2017",18.438,14.433
"164","13/06/2017",20.46,15.509
"165","14/06/2017",20.984,16.129
"166","15/06/2017",21.724,17.249
"167","16/06/2017",22.106,16.963
"168","17/06/2017",21.509,16.868
"169","18/06/2017",21.819,16.63
"170","19/06/2017",21.032,17.034
"171","20/06/2017",20.198,17.677
"172","21/06/2017",19.032,16.582
"173","22/06/2017",20.865,15.939
"174","23/06/2017",22.705,17.486
"175","24/06/2017",21.485,18.319
"176","25/06/2017",20.15,18.152
"177","26/06/2017",18.818,16.487
"178","27/06/2017",17.082,15.605
"179","28/06/2017",15.533,13.257
"180","29/06/2017",13.233,11.807
"181","30/06/2017",11.759,10.149
"182","01/07/2017",10.712,9.089
"183","02/07/2017",11.175,8.543
"184","03/07/2017",13.016,9.139
"185","04/07/2017",17.605,10.761
"186","05/07/2017",17.962,12.485
"187","06/07/2017",15.867,13.618
"188","07/07/2017",17.582,13.666
"189","08/07/2017",16.082,14.577
"190","09/07/2017",15.748,13.954
"191","10/07/2017",15.223,13.738
"192","11/07/2017",17.772,13.642
"193","12/07/2017",20.103,14.266
"194","13/07/2017",20.865,15.652
"195","14/07/2017",20.341,15.986
"196","15/07/2017",20.936,16.058
"197","16/07/2017",20.698,16.272
"198","17/07/2017",20.746,17.249
"199","18/07/2017",21.628,17.106
"200","19/07/2017",19.08,17.058
"201","20/07/2017",17.986,16.892
"202","21/07/2017",16.868,15.891
"203","22/07/2017",17.534,15.294
"204","23/07/2017",19.698,15.605
"205","24/07/2017",17.391,15.127
"206","25/07/2017",14.984,12.727
"207","26/07/2017",16.892,11.856
"208","27/07/2017",18.01,13.209
"209","28/07/2017",19.246,14.673
"210","29/07/2017",19.651,15.891
"211","30/07/2017",19.341,16.868
"212","31/07/2017",20.269,17.034
"213","01/08/2017",21.27,17.962
"214","02/08/2017",20.579,17.867
"215","03/08/2017",21.437,17.843
"216","04/08/2017",22.202,18.271
"217","05/08/2017",20.174,18.747
"218","06/08/2017",18.699,17.272
"219","07/08/2017",18.247,16.677
"220","08/08/2017",17.391,16.058
