Lake,Year,Species,Development stage,GE
Acherito,2008,Alytes obstetricans,Metamorph,0
Acherito,2008,Alytes obstetricans,Metamorph,0
Acherito,2008,Alytes obstetricans,Metamorph,0.306
Acherito,2008,Alytes obstetricans,Metamorph,0
Acherito,2008,Alytes obstetricans,Metamorph,0
Acherito,2008,Alytes obstetricans,Metamorph,0
Acherito,2008,Alytes obstetricans,Metamorph,0
Acherito,2008,Alytes obstetricans,Metamorph,17.8
Acherito,2008,Alytes obstetricans,Metamorph,0.496
Acherito,2008,Alytes obstetricans,Metamorph,0
Acherito,2008,Alytes obstetricans,Metamorph,0.567537
Acherito,2008,Alytes obstetricans,Metamorph,3133.01
Acherito,2008,Alytes obstetricans,Metamorph,12.3783
Acherito,2008,Alytes obstetricans,Metamorph,582.719
Acherito,2008,Alytes obstetricans,Metamorph,0.221638
Acherito,2008,Alytes obstetricans,Metamorph,8.01662
Acherito,2008,Alytes obstetricans,Metamorph,1.17518
Acherito,2008,Alytes obstetricans,Metamorph,0.848899
Acherito,2008,Alytes obstetricans,Metamorph,4271.29
Acherito,2008,Alytes obstetricans,Metamorph,207.872
Acherito,2008,Alytes obstetricans,Metamorph,0
Acherito,2008,Alytes obstetricans,Metamorph,0
Acherito,2008,Alytes obstetricans,Metamorph,0
Acherito,2008,Alytes obstetricans,Metamorph,153.709
Acherito,2008,Alytes obstetricans,Metamorph,3.3538
Acherito,2008,Alytes obstetricans,Metamorph,0
Acherito,2008,Alytes obstetricans,Metamorph,11.2392
Acherito,2008,Alytes obstetricans,Metamorph,6.1296
Acherito,2008,Alytes obstetricans,Metamorph,140.898
Acherito,2008,Alytes obstetricans,Metamorph,0
Acherito,2008,Alytes obstetricans,Metamorph,0
Acherito,2008,Alytes obstetricans,Metamorph,5936.14
Acherito,2008,Alytes obstetricans,Metamorph,92657.5
Acherito,2009,Alytes obstetricans ,Metamorphs,60.2692
Acherito,2009,Alytes obstetricans ,Metamorphs,26.1561
Acherito,2009,Alytes obstetricans ,Metamorphs,0.00491485
Acherito,2009,Alytes obstetricans ,Metamorphs,0
Acherito,2009,Alytes obstetricans ,Metamorphs,0
Acherito,2009,Alytes obstetricans ,Metamorphs,0.00151779
Acherito,2009,Alytes obstetricans ,Metamorphs,0
Acherito,2009,Alytes obstetricans ,Metamorphs,0
Acherito,2009,Alytes obstetricans ,Metamorphs,0
Acherito,2009,Alytes obstetricans ,Metamorphs,0
Acherito,2009,Alytes obstetricans ,Metamorphs,0
Acherito,2009,Alytes obstetricans ,Metamorphs,0
Acherito,2009,Alytes obstetricans ,Metamorphs,0
Acherito,2009,Alytes obstetricans ,Metamorphs,5.69258
Acherito,2009,Alytes obstetricans ,Metamorphs,0
Acherito,2009,Alytes obstetricans ,Metamorphs,0.0319448
Acherito,2009,Alytes obstetricans ,Metamorphs,0.0641879
Acherito,2009,Alytes obstetricans ,Metamorphs,0.371998
Acherito,2009,Alytes obstetricans ,Metamorphs,0
Acherito,2009,Alytes obstetricans ,Metamorphs,0
Acherito,2009,Alytes obstetricans ,Metamorphs,8.79472
Acherito,2009,Alytes obstetricans ,Metamorphs,0
Acherito,2009,Alytes obstetricans ,Metamorphs,0
Acherito,2009,Alytes obstetricans ,Metamorphs,0
Acherito,2009,Alytes obstetricans ,Metamorphs,0
Acherito,2009,Alytes obstetricans ,Metamorphs,0
Acherito,2009,Alytes obstetricans ,Metamorphs,0.132167
Acherito,2009,Alytes obstetricans ,Metamorphs,3.19834
Acherito,2009,Alytes obstetricans ,Metamorphs,0.295141
Acherito,2009,Alytes obstetricans ,Metamorphs,0
Acherito,2009,Alytes obstetricans ,Metamorphs,0.179493
Acherito,2009,Alytes obstetricans ,Metamorphs,179.675
Acherito,2009,Alytes obstetricans ,Metamorphs,0
