Lake,Year,Species,Developmental stage,GE
Arlet,2008,Alytes obstetricans,Metamorph,234.568
Arlet,2008,Alytes obstetricans,Metamorph,3.74836
Arlet,2008,Alytes obstetricans,Metamorph,1.86959
Arlet,2008,Alytes obstetricans,Metamorph,154.35
Arlet,2008,Alytes obstetricans,Metamorph,207.74
Arlet,2008,Alytes obstetricans,Metamorph,0
Arlet,2008,Alytes obstetricans,Metamorph,1.34496
Arlet,2008,Alytes obstetricans,Metamorph,2.72041
Arlet,2008,Alytes obstetricans,Metamorph,0
Arlet,2008,Alytes obstetricans,Metamorph,58.7
Arlet,2008,Alytes obstetricans,Metamorph,0
Arlet,2008,Alytes obstetricans,Metamorph,26.3
Arlet,2008,Alytes obstetricans,Metamorph,0
Arlet,2008,Alytes obstetricans,Metamorph,0.16681
Arlet,2008,Alytes obstetricans,Metamorph,0.207914
Arlet,2008,Alytes obstetricans,Metamorph,0
Arlet,2008,Alytes obstetricans,Metamorph,0
Arlet,2008,Alytes obstetricans,Metamorph,0
Arlet,2008,Alytes obstetricans,Metamorph,26.237
Arlet,2011,Alytes obstetricans,Metamorph,635.7
Arlet,2011,Alytes obstetricans,Metamorph,239
Arlet,2011,Alytes obstetricans,Metamorph,282.7
Arlet,2011,Alytes obstetricans,Metamorph,377.2
Arlet,2011,Alytes obstetricans,Metamorph,132.9
Arlet,2011,Alytes obstetricans,Metamorph,0.245
Arlet,2011,Alytes obstetricans,Metamorph,102.7
Arlet,2011,Alytes obstetricans,Metamorph,1021.9
Arlet,2011,Alytes obstetricans,Metamorph,966
Arlet,2011,Alytes obstetricans,Metamorph,340
Arlet,2011,Alytes obstetricans,Metamorph,252.6
Arlet,2011,Alytes obstetricans,Metamorph,522.8
Arlet,2011,Alytes obstetricans,Metamorph,23.2
Arlet,2011,Alytes obstetricans,Metamorph,2677.3
Arlet,2011,Alytes obstetricans,Metamorph,2.22
Arlet,2011,Alytes obstetricans,Metamorph,1547.6
Arlet,2011,Alytes obstetricans,Metamorph,1742.2
Arlet,2011,Alytes obstetricans,Metamorph,316
Arlet,2011,Alytes obstetricans,Metamorph,255.4
Arlet,2011,Alytes obstetricans,Metamorph,502.4
Arlet,2011,Alytes obstetricans,Metamorph,80.2
