Lake,Year,Species,Developmental stage,GE
Arlet,2008,Rana temporaria,Metamorph,2.53
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,1.18
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,1.89
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,5.8
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,13.4
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,42.6
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,35.1
Arlet,2008,Rana temporaria,Metamorph,6.56
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,292.2
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,10.6
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2011,Rana temporaria,Metamorph,0
Arlet,2011,Rana temporaria,Metamorph,0
Arlet,2011,Rana temporaria,Metamorph,0
Arlet,2011,Rana temporaria,Metamorph,0
Arlet,2011,Rana temporaria,Metamorph,0
Arlet,2011,Rana temporaria,Metamorph,0.0531
Arlet,2011,Rana temporaria,Metamorph,0.113
Arlet,2011,Rana temporaria,Metamorph,0.0742
Arlet,2011,Rana temporaria,Metamorph,0
Arlet,2011,Rana temporaria,Metamorph,0
Arlet,2011,Rana temporaria,Metamorph,0.513
Arlet,2011,Rana temporaria,Metamorph,0
Arlet,2011,Rana temporaria,Metamorph,0.000272
Arlet,2011,Rana temporaria,Metamorph,0.239
Arlet,2011,Rana temporaria,Metamorph,0
Arlet,2011,Rana temporaria,Metamorph,0
Arlet,2011,Rana temporaria,Metamorph,0
Arlet,2011,Rana temporaria,Metamorph,0.0299
Arlet,2011,Rana temporaria,Metamorph,0
Arlet,2011,Rana temporaria,Metamorph,0
Arlet,2011,Rana temporaria,Metamorph,0
Arlet,2011,Rana temporaria,Metamorph,0
Arlet,2011,Rana temporaria,Metamorph,0.219
Arlet,2011,Rana temporaria,Metamorph,0
Arlet,2011,Rana temporaria,Metamorph,0
Arlet,2011,Rana temporaria,Metamorph,0
Arlet,2011,Rana temporaria,Metamorph,0
Arlet,2011,Rana temporaria,Metamorph,0
Arlet,2011,Rana temporaria,Metamorph,0.0283
Arlet,2011,Rana temporaria,Metamorph,0.131
Arlet,2011,Rana temporaria,Metamorph,0
Arlet,2011,Rana temporaria,Metamorph,0.145
