Lake,Year,Species,Developmental stage,GE
Ansabere,2008,Alytes obstetricans,Over-wintered larva,3.57467
Ansabere,2008,Alytes obstetricans,Over-wintered larva,168.016
Ansabere,2008,Alytes obstetricans,Over-wintered larva,5.19964
Ansabere,2008,Alytes obstetricans,Over-wintered larva,104.218
Ansabere,2008,Alytes obstetricans,Over-wintered larva,214.383
Ansabere,2008,Alytes obstetricans,Over-wintered larva,137.087
Ansabere,2008,Alytes obstetricans,Over-wintered larva,156.34
Ansabere,2008,Alytes obstetricans,Over-wintered larva,3.50318
Ansabere,2008,Alytes obstetricans,Over-wintered larva,53.5927
Ansabere,2008,Alytes obstetricans,Over-wintered larva,78.2729
Ansabere,2008,Alytes obstetricans,Over-wintered larva,0.73938
Ansabere,2008,Alytes obstetricans,Over-wintered larva,119.759
Ansabere,2008,Alytes obstetricans,Over-wintered larva,121.034
Ansabere,2008,Alytes obstetricans,Over-wintered larva,15.6201
Ansabere,2008,Alytes obstetricans,Over-wintered larva,94.9308
Ansabere,2008,Alytes obstetricans,Over-wintered larva,358.788
Ansabere,2008,Alytes obstetricans,Over-wintered larva,12.1196
Ansabere,2008,Alytes obstetricans,Over-wintered larva,0.0153939
Ansabere,2008,Alytes obstetricans,Over-wintered larva,0.154608
Ansabere,2008,Alytes obstetricans,Over-wintered larva,490.462
Ansabere,2008,Alytes obstetricans,Over-wintered larva,1941.56
Ansabere,2008,Alytes obstetricans,Over-wintered larva,154.372
Ansabere,2008,Alytes obstetricans,Over-wintered larva,1163.31
Ansabere,2008,Alytes obstetricans,Over-wintered larva,1778.31
Ansabere,2008,Alytes obstetricans,Over-wintered larva,185.106
Ansabere,2008,Alytes obstetricans,Over-wintered larva,348.574
Ansabere,2008,Alytes obstetricans,Over-wintered larva,508.768
Ansabere,2008,Alytes obstetricans,Over-wintered larva,46.6355
Ansabere,2008,Alytes obstetricans,Over-wintered larva,3.78658
Ansabere,2008,Alytes obstetricans,Over-wintered larva,3.90366
Ansabere,2008,Alytes obstetricans,Over-wintered larva,0
Ansabere,2008,Alytes obstetricans,Over-wintered larva,0
Ansabere,2008,Alytes obstetricans,Over-wintered larva,0
Ansabere,2008,Alytes obstetricans,Over-wintered larva,378.6
Ansabere,2008,Alytes obstetricans,Over-wintered larva,16
Ansabere,2008,Alytes obstetricans,Over-wintered larva,9.86
Ansabere,2008,Alytes obstetricans,Over-wintered larva,23.8
Ansabere,2008,Alytes obstetricans,Over-wintered larva,31.1
Ansabere,2008,Alytes obstetricans,Over-wintered larva,162.3
Ansabere,2008,Alytes obstetricans,Over-wintered larva,31.2
Ansabere,2008,Alytes obstetricans,Over-wintered larva,506.4
Ansabere,2008,Alytes obstetricans,Over-wintered larva,20.9308
Ansabere,2008,Alytes obstetricans,Over-wintered larva,5977.67
Ansabere,2008,Alytes obstetricans,Over-wintered larva,5.01957
Ansabere,2008,Alytes obstetricans,Over-wintered larva,23.2913
Ansabere,2008,Alytes obstetricans,Over-wintered larva,13.1651
Ansabere,2008,Alytes obstetricans,Over-wintered larva,1248.87
Ansabere,2008,Alytes obstetricans,Over-wintered larva,1.69591
Ansabere,2008,Alytes obstetricans,Over-wintered larva,2.59291
Ansabere,2008,Alytes obstetricans,Over-wintered larva,6.63589
Ansabere,2008,Alytes obstetricans,Over-wintered larva,317.572
Ansabere,2008,Alytes obstetricans,Over-wintered larva,110.306
Ansabere,2008,Alytes obstetricans,Over-wintered larva,14.8415
Ansabere,2008,Alytes obstetricans,Over-wintered larva,26.818
Ansabere,2008,Alytes obstetricans,Over-wintered larva,36.1194
Ansabere,2008,Alytes obstetricans,Over-wintered larva,29.9152
Ansabere,2008,Alytes obstetricans,Over-wintered larva,1.40259
Ansabere,2008,Alytes obstetricans,Over-wintered larva,390.737
