Lake,Species ,Development Stage,Year,GE
Acherito,Alytes obstetricans,Over-wintered tadpole,2017,1.841390133
Acherito,Alytes obstetricans,Over-wintered tadpole,2017,0
Acherito,Alytes obstetricans,Over-wintered tadpole,2017,0.442967825
Acherito,Alytes obstetricans,Over-wintered tadpole,2017,1.132399887
Acherito,Alytes obstetricans,Over-wintered tadpole,2017,0
Acherito,Alytes obstetricans,Over-wintered tadpole,2017,0.714491904
Acherito,Alytes obstetricans,Over-wintered tadpole,2017,0
Acherito,Alytes obstetricans,Over-wintered tadpole,2017,0.628431886
Acherito,Alytes obstetricans,Over-wintered tadpole,2017,1.729381979
Acherito,Alytes obstetricans,Over-wintered tadpole,2017,0.484534577
Acherito,Alytes obstetricans,Over-wintered tadpole,2017,0
Acherito,Alytes obstetricans,Over-wintered tadpole,2017,1.598732769
Acherito,Alytes obstetricans,Over-wintered tadpole,2017,0.673119053
Acherito,Alytes obstetricans,Over-wintered tadpole,2017,1.184935719
Acherito,Alytes obstetricans,Over-wintered tadpole,2017,0
Acherito,Alytes obstetricans,Over-wintered tadpole,2017,0
Acherito,Alytes obstetricans,Over-wintered tadpole,2017,3.81654948
Acherito,Alytes obstetricans,Over-wintered tadpole,2017,0.58330521
Acherito,Alytes obstetricans,Over-wintered tadpole,2017,0.748218596
Acherito,Alytes obstetricans,Over-wintered tadpole,2017,0
Acherito,Alytes obstetricans,Over-wintered tadpole,2017,0.516037196
Acherito,Alytes obstetricans ,Over-wintered tadpole,2018,24.19234276
Acherito,Alytes obstetricans ,Over-wintered tadpole,2018,0
Acherito,Alytes obstetricans ,Over-wintered tadpole,2018,0.57684876
Acherito,Alytes obstetricans ,Over-wintered tadpole,2018,1.926409602
Acherito,Alytes obstetricans ,Over-wintered tadpole,2018,0
Acherito,Alytes obstetricans ,Over-wintered tadpole,2018,0.492823124
Acherito,Alytes obstetricans ,Over-wintered tadpole,2018,1.097671688
Acherito,Alytes obstetricans ,Over-wintered tadpole,2018,0
Acherito,Alytes obstetricans ,Over-wintered tadpole,2018,0.062121674
Acherito,Alytes obstetricans ,Over-wintered tadpole,2018,0.497877002
Acherito,Alytes obstetricans ,Over-wintered tadpole,2018,0
Acherito,Alytes obstetricans ,Over-wintered tadpole,2018,89.96388435
Acherito,Alytes obstetricans ,Over-wintered tadpole,2018,0
Acherito,Alytes obstetricans ,Over-wintered tadpole,2018,23.47529411
Acherito,Alytes obstetricans ,Over-wintered tadpole,2018,1.584982276
Acherito,Alytes obstetricans ,Over-wintered tadpole,2018,72.78808594
Acherito,Alytes obstetricans ,Over-wintered tadpole,2018,0.253545661
Acherito,Alytes obstetricans ,Over-wintered tadpole,2018,1.727787405
Acherito,Alytes obstetricans ,Over-wintered tadpole,2018,8.838567734
