Lake,Species ,Development Stage,Year,GE
Ansabere,Alytes obstetricans,Over-wintered tadpole,2014,627.2470856
Ansabere,Alytes obstetricans,Over-wintered tadpole,2014,425.1531219
Ansabere,Alytes obstetricans,Over-wintered tadpole,2014,231.3315964
Ansabere,Alytes obstetricans,Over-wintered tadpole,2014,218.4418869
Ansabere,Alytes obstetricans,Over-wintered tadpole,2014,95.32259941
Ansabere,Alytes obstetricans,Over-wintered tadpole,2014,873.9889526
Ansabere,Alytes obstetricans,Over-wintered tadpole,2014,103.7887764
Ansabere,Alytes obstetricans,Over-wintered tadpole,2014,2359.675598
Ansabere,Alytes obstetricans,Over-wintered tadpole,2014,690.9991455
Ansabere,Alytes obstetricans,Over-wintered tadpole,2014,4.055510163
Ansabere,Alytes obstetricans,Over-wintered tadpole,2014,368.800087
Ansabere,Alytes obstetricans,Over-wintered tadpole,2014,72.16132164
Ansabere,Alytes obstetricans,Over-wintered tadpole,2014,40.85077763
Ansabere,Alytes obstetricans,Over-wintered tadpole,2014,34.14325476
Ansabere,Alytes obstetricans,Over-wintered tadpole,2014,558.5895538
Ansabere,Alytes obstetricans,Over-wintered tadpole,2014,34.42639351
Ansabere,Alytes obstetricans,Over-wintered tadpole,2014,246.05896
Ansabere,Alytes obstetricans,Over-wintered tadpole,2014,0.92036292
Ansabere,Alytes obstetricans,Over-wintered tadpole,2014,245.1737595
Ansabere,Alytes obstetricans,Over-wintered tadpole,2014,243.8401031
Ansabere,Alytes obstetricans,Over-wintered tadpole,2014,28.08378696
Ansabere,Alytes obstetricans,Over-wintered tadpole,2014,278.5416031
Ansabere,Alytes obstetricans,Over-wintered tadpole,2014,36.64844275
Ansabere,Alytes obstetricans,Over-wintered tadpole,2014,73.47684383
Ansabere,Alytes obstetricans,Over-wintered tadpole,2014,42.02712059
Ansabere,Alytes obstetricans,Over-wintered tadpole,2014,39.43808079
Ansabere,Alytes obstetricans,Over-wintered tadpole,2014,193.7077713
Ansabere,Alytes obstetricans,Over-wintered tadpole,2014,56.88079357
Ansabere,Alytes obstetricans,Over-wintered tadpole,2014,304.0822029
Ansabere,Alytes obstetricans,Over-wintered tadpole,2014,106.7307472
Ansabere,Alytes obstetricans,Over-wintered tadpole,2016,134.695
Ansabere,Alytes obstetricans,Over-wintered tadpole,2016,169.101
Ansabere,Alytes obstetricans,Over-wintered tadpole,2016,180.086
Ansabere,Alytes obstetricans,Over-wintered tadpole,2016,165.906
Ansabere,Alytes obstetricans,Over-wintered tadpole,2016,62.0083
Ansabere,Alytes obstetricans,Over-wintered tadpole,2016,243.184
Ansabere,Alytes obstetricans,Over-wintered tadpole,2017,0
Ansabere,Alytes obstetricans,Over-wintered tadpole,2017,0
Ansabere,Alytes obstetricans,Over-wintered tadpole,2017,0
Ansabere,Alytes obstetricans,Over-wintered tadpole,2017,0
Ansabere,Alytes obstetricans,Over-wintered tadpole,2017,0
Ansabere,Alytes obstetricans,Over-wintered tadpole,2017,0
Ansabere,Alytes obstetricans,Over-wintered tadpole,2017,0
Ansabere,Alytes obstetricans,Over-wintered tadpole,2017,0
Ansabere,Alytes obstetricans,Over-wintered tadpole,2017,0
Ansabere,Alytes obstetricans,Over-wintered tadpole,2017,0
