Lake,Species ,Development Stage,Year,GE
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,95.64107895
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,98.2988739
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,160.0776482
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,495.1570129
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,104.0537834
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,12.92002201
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,8.191801906
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,11.33094072
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,36.79976702
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,0.166794248
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,4535.303955
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,0.015906307
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,6.780981421
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,0.161570348
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,1.041526049
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,1.106215715
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,0.543736406
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,0.216539204
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,4.558524787
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,0.499402657
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,384.2075348
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,63.92382622
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,174.8387718
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,314.4661713
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,0.765004605
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,31.99748993
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,67.96302795
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,288.047657
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,63.18692207
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,1.731218547
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,331.0668564
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,213.7627411
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,4293.778076
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,396.8413162
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,266.794281
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,551.5251923
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,977.1192932
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,258.6221504
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,1194.346161
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,7461.315918
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,80.26262283
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,102.4314117
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,4589.102173
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,309.8612595
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,439.4488525
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,545.6892395
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,778.2273865
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,4813.419189
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,463.8596344
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,510.6830978
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,56.03972435
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,12.52138972
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,164.9915504
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,218.1554031
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,50.38422585
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,93.54104996
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,1622.708282
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,7.99012661
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,833.351593
Arlet,Alytes obstetricans,Over-wintered tadpole,2013,0.172571056
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,3.1197
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,5.99464
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,7.81058
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,27.6894
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,52.7987
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,107.211
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,626.992
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,61.1252
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,1.53334
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,112.194
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,0.813241
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,0.431077
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,289.483
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,306.634
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,200.732
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,1.68315
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,4.06061
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,115.927
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,28.1953
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,2.20888
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,249.71
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,1.02506
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,5.35964
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,572.89
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,4.50453
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,7.1109
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,17.2686
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,15.8346
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,76.0198
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,352.948
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,817.818
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,110.09
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,137.463
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,12.5553
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,51.4912
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,13.6997
Arlet,Alytes obstetricans,Over-wintered tadpole,2016,2.87446
