Lake,Species ,Development Stage,Year,GE
Puits,Alytes obstetricans,Over-wintered tadpole,2013,75.47718525
Puits,Alytes obstetricans,Over-wintered tadpole,2013,19.43506956
Puits,Alytes obstetricans,Over-wintered tadpole,2013,127.9194069
Puits,Alytes obstetricans,Over-wintered tadpole,2013,22.81122923
Puits,Alytes obstetricans,Over-wintered tadpole,2013,4.47422415
Puits,Alytes obstetricans,Over-wintered tadpole,2013,0.791102797
Puits,Alytes obstetricans,Over-wintered tadpole,2013,13.57187748
Puits,Alytes obstetricans,Over-wintered tadpole,2013,1.518365145
Puits,Alytes obstetricans,Over-wintered tadpole,2013,1.942381263
Puits,Alytes obstetricans,Over-wintered tadpole,2013,3.671162724
Puits,Alytes obstetricans,Over-wintered tadpole,2013,107.5993347
Puits,Alytes obstetricans,Over-wintered tadpole,2013,77.4095726
Puits,Alytes obstetricans,Over-wintered tadpole,2013,111.3903618
Puits,Alytes obstetricans,Over-wintered tadpole,2013,10.57128191
Puits,Alytes obstetricans,Over-wintered tadpole,2013,16.15098834
Puits,Alytes obstetricans,Over-wintered tadpole,2013,0.588629097
Puits,Alytes obstetricans,Over-wintered tadpole,2013,10.89244008
Puits,Alytes obstetricans,Over-wintered tadpole,2013,50.45030594
Puits,Alytes obstetricans,Over-wintered tadpole,2013,59.78107929
Puits,Alytes obstetricans,Over-wintered tadpole,2013,6.888036728
Puits,Alytes obstetricans,Over-wintered tadpole,2013,20.75644016
Puits,Alytes obstetricans,Over-wintered tadpole,2013,22.16094732
Puits,Alytes obstetricans,Over-wintered tadpole,2013,159.5413685
Puits,Alytes obstetricans,Over-wintered tadpole,2013,33.36141586
Puits,Alytes obstetricans,Over-wintered tadpole,2013,6.824269295
Puits,Alytes obstetricans,Over-wintered tadpole,2013,6.824269295
Puits,Alytes obstetricans,Over-wintered tadpole,2013,42.83713341
Puits,Alytes obstetricans,Over-wintered tadpole,2013,366.4480591
Puits,Alytes obstetricans,Over-wintered tadpole,2013,60.05044937
Puits,Alytes obstetricans,Over-wintered tadpole,2013,58.3598423
Lhurs,Alytes obstetricans,Over-wintered tadpole,2013,0
Lhurs,Alytes obstetricans,Over-wintered tadpole,2013,128.6828709
Lhurs,Alytes obstetricans,Over-wintered tadpole,2013,0
Lhurs,Alytes obstetricans,Over-wintered tadpole,2013,0
Lhurs,Alytes obstetricans,Over-wintered tadpole,2013,7.121212482
Lhurs,Alytes obstetricans,Over-wintered tadpole,2013,0
Lhurs,Alytes obstetricans,Over-wintered tadpole,2013,0
Lhurs,Alytes obstetricans,Over-wintered tadpole,2013,17.01385975
Lhurs,Alytes obstetricans,Over-wintered tadpole,2013,0
Lhurs,Alytes obstetricans,Over-wintered tadpole,2013,5.499844551
Lhurs,Alytes obstetricans,Over-wintered tadpole,2013,1.23024039
Lhurs,Alytes obstetricans,Over-wintered tadpole,2013,0.353371799
Lhurs,Alytes obstetricans,Over-wintered tadpole,2013,6.087515354
Lhurs,Alytes obstetricans,Over-wintered tadpole,2013,0.163614396
Lhurs,Alytes obstetricans,Over-wintered tadpole,2013,0
Lhurs,Alytes obstetricans,Over-wintered tadpole,2013,0
Lhurs,Alytes obstetricans,Over-wintered tadpole,2013,0
Lhurs,Alytes obstetricans,Over-wintered tadpole,2013,0.469209328
Lhurs,Alytes obstetricans,Over-wintered tadpole,2013,0
Lhurs,Alytes obstetricans,Over-wintered tadpole,2013,0
Lhurs,Alytes obstetricans,Over-wintered tadpole,2013,0
Lhurs,Alytes obstetricans,Over-wintered tadpole,2013,0
Lhurs,Alytes obstetricans,Over-wintered tadpole,2013,0
Lhurs,Alytes obstetricans,Over-wintered tadpole,2013,7.861871719
Lhurs,Alytes obstetricans,Over-wintered tadpole,2013,106.4918709
Lhurs,Alytes obstetricans,Over-wintered tadpole,2013,4.745189548
Lhurs,Alytes obstetricans,Over-wintered tadpole,2013,0
Lhurs,Alytes obstetricans,Over-wintered tadpole,2013,0
Lhurs,Alytes obstetricans,Over-wintered tadpole,2013,50.83642483
Lhurs,Alytes obstetricans,Over-wintered tadpole,2013,0
Ansabere,Alytes obstetricans,Over-wintered tadpole,2013,359.9998093
Ansabere,Alytes obstetricans,Over-wintered tadpole,2013,116.9797897
Ansabere,Alytes obstetricans,Over-wintered tadpole,2013,579.0320587
Ansabere,Alytes obstetricans,Over-wintered tadpole,2013,75.17211914
Ansabere,Alytes obstetricans,Over-wintered tadpole,2013,113.8496876
Ansabere,Alytes obstetricans,Over-wintered tadpole,2013,311.8264961
Ansabere,Alytes obstetricans,Over-wintered tadpole,2013,212.1700859
Ansabere,Alytes obstetricans,Over-wintered tadpole,2013,157.3323059
Ansabere,Alytes obstetricans,Over-wintered tadpole,2013,436.4477539
Ansabere,Alytes obstetricans,Over-wintered tadpole,2013,389.7476196
Ansabere,Alytes obstetricans,Over-wintered tadpole,2013,240.0614166
Ansabere,Alytes obstetricans,Over-wintered tadpole,2013,134.251852
