Lake,Species ,Development Stage,Year,GE
Puits,Alytes obstetricans,Over-wintered tadpole,2014,193.6576271
Puits,Alytes obstetricans,Over-wintered tadpole,2014,111.8371582
Puits,Alytes obstetricans,Over-wintered tadpole,2014,224.3280411
Puits,Alytes obstetricans,Over-wintered tadpole,2014,28.21166992
Puits,Alytes obstetricans,Over-wintered tadpole,2014,184.3288231
Puits,Alytes obstetricans,Over-wintered tadpole,2014,243.0524635
Puits,Alytes obstetricans,Over-wintered tadpole,2014,216.143074
Puits,Alytes obstetricans,Over-wintered tadpole,2014,140.6454086
Puits,Alytes obstetricans,Over-wintered tadpole,2014,25.13738394
Puits,Alytes obstetricans,Over-wintered tadpole,2014,10.84063768
Puits,Alytes obstetricans,Over-wintered tadpole,2014,105.1032448
Puits,Alytes obstetricans,Over-wintered tadpole,2014,5.761060119
Puits,Alytes obstetricans,Over-wintered tadpole,2014,352.8860092
Puits,Alytes obstetricans,Over-wintered tadpole,2014,38.40982437
Puits,Alytes obstetricans,Over-wintered tadpole,2014,268.712101
Puits,Alytes obstetricans,Over-wintered tadpole,2014,95.49433708
Puits,Alytes obstetricans,Over-wintered tadpole,2014,60.8419323
Puits,Alytes obstetricans,Over-wintered tadpole,2014,10.47056556
Puits,Alytes obstetricans,Over-wintered tadpole,2014,218.6863708
Puits,Alytes obstetricans,Over-wintered tadpole,2014,179.0497208
Puits,Alytes obstetricans,Over-wintered tadpole,2014,39.56435204
Puits,Alytes obstetricans,Over-wintered tadpole,2014,421.493454
Puits,Alytes obstetricans,Over-wintered tadpole,2014,17.27927685
Puits,Alytes obstetricans,Over-wintered tadpole,2014,316.9504929
Puits,Alytes obstetricans,Over-wintered tadpole,2014,0.755006224
Puits,Alytes obstetricans,Over-wintered tadpole,2014,281.6765594
Puits,Alytes obstetricans,Over-wintered tadpole,2014,183.7678719
Puits,Alytes obstetricans,Over-wintered tadpole,2014,84.9406147
Puits,Alytes obstetricans,Over-wintered tadpole,2014,9.101883769
Puits,Alytes obstetricans,Over-wintered tadpole,2014,116.4066124
Puits,Alytes obstetricans,Over-wintered tadpole,2016,107.383
Puits,Alytes obstetricans,Over-wintered tadpole,2016,204.356
Puits,Alytes obstetricans,Over-wintered tadpole,2016,16.7774
Puits,Alytes obstetricans,Over-wintered tadpole,2016,72.4685
Puits,Alytes obstetricans,Over-wintered tadpole,2016,2.51227
Puits,Alytes obstetricans,Over-wintered tadpole,2016,17.9409
Puits,Alytes obstetricans,Over-wintered tadpole,2016,758.436
Puits,Alytes obstetricans,Over-wintered tadpole,2016,322.356
Puits,Alytes obstetricans,Over-wintered tadpole,2016,464.694
Puits,Alytes obstetricans,Over-wintered tadpole,2016,240.97
Puits,Alytes obstetricans,Over-wintered tadpole,2016,75.5723
Puits,Alytes obstetricans,Over-wintered tadpole,2016,229.984
Puits,Alytes obstetricans,Over-wintered tadpole,2016,368.532
Puits,Alytes obstetricans,Over-wintered tadpole,2016,305.71
Puits,Alytes obstetricans,Over-wintered tadpole,2016,96.2449
