Lake,Year,Month,Species,Yr.Life,GE
ARL,2008,AUG,Bb M,08-Met,0.64
ARL,2008,AUG,Bb M,08-Met,1.4
ARL,2008,AUG,Bb M,08-Met,0.38
ARL,2008,AUG,Bb M,08-Met,0.7
ARL,2008,AUG,Bb M,08-Met,0.21
ARL,2008,AUG,Bb M,08-Met,0.49
ARL,2008,AUG,Bb M,08-Met,0.2
ARL,2008,AUG,Bb M,08-Met,0.31
ARL,2008,AUG,Bb M,08-Met,0.1
ARL,2008,AUG,Bb M,08-Met,0.07
ARL,2008,AUG,Bb M,08-Met,0.1
ARL,2008,AUG,Bb M,08-Met,0
ARL,2008,AUG,Bb M,08-Met,0
ARL,2008,AUG,Bb M,08-Met,0
ARL,2008,AUG,Bb M,08-Met,0
ARL,2008,AUG,Bb M,08-Met,0
ARL,2008,AUG,Bb M,08-Met,0
ARL,2008,AUG,Bb M,08-Met,0
ARL,2008,AUG,Bb M,08-Met,0
ARL,2008,AUG,Bb M,08-Met,0
ARL,2008,AUG,Bb M,08-Met,0
ARL,2008,AUG,Bb M,08-Met,0
ARL,2008,AUG,Bb M,08-Met,0
ARL,2008,AUG,Bb M,08-Met,0
ARL,2008,AUG,Bb M,08-Met,0
ARL,2008,AUG,Bb M,08-Met,0
ARL,2008,AUG,Bb M,08-Met,0
ARL,2009,AUG,Bb M,09-Met,3.73678
ARL,2009,AUG,Bb M,09-Met,1.42
ARL,2009,AUG,Bb M,09-Met,0.97
ARL,2009,AUG,Bb M,09-Met,0.26
ARL,2009,AUG,Bb M,09-Met,0.2
ARL,2009,AUG,Bb M,09-Met,0.29
ARL,2009,AUG,Bb M,09-Met,0.09
ARL,2009,AUG,Bb M,09-Met,7.43
ARL,2009,AUG,Bb M,09-Met,0.36
ARL,2009,AUG,Bb M,09-Met,7.72
ARL,2009,AUG,Bb M,09-Met,133.66
ARL,2009,AUG,Bb M,09-Met,0.21
ARL,2009,AUG,Bb M,09-Met,30.54
ARL,2009,AUG,Bb M,09-Met,0.12
ARL,2009,AUG,Bb M,09-Met,0.23
ARL,2009,AUG,Bb M,09-Met,0.11
ARL,2009,AUG,Bb M,09-Met,0.18
ARL,2009,AUG,Bb M,09-Met,2
ARL,2009,AUG,Bb M,09-Met,5.01
ARL,2009,AUG,Bb M,09-Met,25.43
ARL,2009,AUG,Bb M,09-Met,0.18
ARL,2009,AUG,Bb M,09-Met,93.55
ARL,2009,AUG,Bb M,09-Met,11.2
ARL,2009,AUG,Bb M,09-Met,1.23
ARL,2009,AUG,Bb M,09-Met,0
ARL,2009,AUG,Bb M,09-Met,0
ARL,2009,AUG,Bb M,09-Met,0
ARL,2009,AUG,Bb M,09-Met,0
ARL,2009,AUG,Bb M,09-Met,0
ARL,2009,AUG,Bb M,09-Met,0
ARL,2009,AUG,Bb M,09-Met,0
ARL,2010,AUG,Bb M,10-Met,1.05475
ARL,2010,AUG,Bb M,10-Met,9.51638
ARL,2010,AUG,Bb M,10-Met,6.84503
ARL,2010,AUG,Bb M,10-Met,24.8698
ARL,2010,AUG,Bb M,10-Met,0
ARL,2010,AUG,Bb M,10-Met,0
ARL,2010,AUG,Bb M,10-Met,0.649163
ARL,2010,AUG,Bb M,10-Met,4.99436
ARL,2010,AUG,Bb M,10-Met,67.6824
ARL,2010,AUG,Bb M,10-Met,0
ARL,2010,AUG,Bb M,10-Met,1.72034
ARL,2010,AUG,Bb M,10-Met,0.278119
ARL,2010,AUG,Bb M,10-Met,0.624959
ARL,2010,AUG,Bb M,10-Met,0.887936
ARL,2010,AUG,Bb M,10-Met,0.621252
ARL,2010,AUG,Bb M,10-Met,0.269443
ARL,2010,AUG,Bb M,10-Met,0.180019
ARL,2010,AUG,Bb M,10-Met,0.260385
ARL,2010,AUG,Bb M,10-Met,1.94484
ARL,2010,AUG,Bb M,10-Met,2.12655
ARL,2010,AUG,Bb M,10-Met,2.15697
ARL,2010,AUG,Bb M,10-Met,0.542882
ARL,2010,AUG,Bb M,10-Met,0.645829
ARL,2010,AUG,Bb M,10-Met,1.63368
ARL,2010,AUG,Bb M,10-Met,0.524217
ARL,2010,AUG,Bb M,10-Met,0.0996201
ARL,2010,AUG,Bb M,10-Met,0.078319
ARL,2010,AUG,Bb M,10-Met,0.22426
ARL,2010,AUG,Bb M,10-Met,0.291206
ARL,2010,AUG,Bb M,10-Met,0.495342
ARL,2011,AUG,Bb M,11-Met,4.72
