Lake,Year,Month,Species,Yr.Life,GE
ARL,2008,AUG,Rt M,08-Met,2.53
ARL,2008,AUG,Rt M,08-Met,1.18
ARL,2008,AUG,Rt M,08-Met,1.89
ARL,2008,AUG,Rt M,08-Met,5.8
ARL,2008,AUG,Rt M,08-Met,13.4
ARL,2008,AUG,Rt M,08-Met,42.6
ARL,2008,AUG,Rt M,08-Met,35.1
ARL,2008,AUG,Rt M,08-Met,6.56
ARL,2008,AUG,Rt M,08-Met,29.2
ARL,2008,AUG,Rt M,08-Met,10.6
ARL,2008,AUG,Rt M,08-Met,0
ARL,2008,AUG,Rt M,08-Met,0
ARL,2008,AUG,Rt M,08-Met,0
ARL,2008,AUG,Rt M,08-Met,0
ARL,2008,AUG,Rt M,08-Met,0
ARL,2008,AUG,Rt M,08-Met,0
ARL,2008,AUG,Rt M,08-Met,0
ARL,2008,AUG,Rt M,08-Met,0
ARL,2008,AUG,Rt M,08-Met,0
ARL,2008,AUG,Rt M,08-Met,0
ARL,2008,AUG,Rt M,08-Met,0
ARL,2008,AUG,Rt M,08-Met,0
ARL,2008,AUG,Rt M,08-Met,0
ARL,2008,AUG,Rt M,08-Met,0
ARL,2008,AUG,Rt M,08-Met,0
ARL,2008,AUG,Rt M,08-Met,0
ARL,2008,AUG,Rt M,08-Met,0
ARL,2008,AUG,Rt M,08-Met,0
ARL,2008,AUG,Rt M,08-Met,0
ARL,2009,AUG,Rt M,09-Met,0.330114
ARL,2009,AUG,Rt M,09-Met,0.13579
ARL,2009,AUG,Rt M,09-Met,0.435815
ARL,2009,AUG,Rt M,09-Met,0.808342
ARL,2009,AUG,Rt M,09-Met,0.300735
ARL,2009,AUG,Rt M,09-Met,0.527913
ARL,2009,AUG,Rt M,09-Met,0.298757
ARL,2009,AUG,Rt M,09-Met,0.10303
ARL,2009,AUG,Rt M,09-Met,0.316554
ARL,2009,AUG,Rt M,09-Met,0.480926
ARL,2009,AUG,Rt M,09-Met,0.263587
ARL,2009,AUG,Rt M,09-Met,0.194062
ARL,2009,AUG,Rt M,09-Met,0.397427
ARL,2009,AUG,Rt M,09-Met,7.10142
ARL,2009,AUG,Rt M,09-Met,22.1066
ARL,2009,AUG,Rt M,09-Met,0.439316
ARL,2009,AUG,Rt M,09-Met,0
ARL,2009,AUG,Rt M,09-Met,0
ARL,2009,AUG,Rt M,09-Met,0
ARL,2009,AUG,Rt M,09-Met,0
ARL,2009,AUG,Rt M,09-Met,0
ARL,2009,AUG,Rt M,09-Met,0
ARL,2009,AUG,Rt M,09-Met,0
ARL,2009,AUG,Rt M,09-Met,0
ARL,2009,AUG,Rt M,09-Met,0
ARL,2009,AUG,Rt M,09-Met,0
ARL,2009,AUG,Rt M,09-Met,0
ARL,2009,AUG,Rt M,09-Met,0
ARL,2009,AUG,Rt M,09-Met,0
ARL,2009,AUG,Rt M,09-Met,0
ARL,2010,AUG,Rt M,10-Met,0.237903
ARL,2010,AUG,Rt M,10-Met,0.564273
ARL,2010,AUG,Rt M,10-Met,1.61946
ARL,2010,AUG,Rt M,10-Met,1.80556
ARL,2010,AUG,Rt M,10-Met,0.813314
ARL,2010,AUG,Rt M,10-Met,2.47339
ARL,2010,AUG,Rt M,10-Met,0.745917
ARL,2010,AUG,Rt M,10-Met,1.41721
ARL,2010,AUG,Rt M,10-Met,1.4793
ARL,2010,AUG,Rt M,10-Met,0
ARL,2010,AUG,Rt M,10-Met,8.20151
ARL,2010,AUG,Rt M,10-Met,2.35612
ARL,2010,AUG,Rt M,10-Met,1.0109
ARL,2010,AUG,Rt M,10-Met,3.15868
ARL,2010,AUG,Rt M,10-Met,7.70516
ARL,2010,AUG,Rt M,10-Met,5.22284
ARL,2010,AUG,Rt M,10-Met,1.39405
ARL,2010,AUG,Rt M,10-Met,0.146013
ARL,2010,AUG,Rt M,10-Met,0.397312
ARL,2010,AUG,Rt M,10-Met,1.17533
ARL,2010,AUG,Rt M,10-Met,1.39004
ARL,2010,AUG,Rt M,10-Met,0.524993
ARL,2010,AUG,Rt M,10-Met,0.975505
ARL,2010,AUG,Rt M,10-Met,2.39593
ARL,2010,AUG,Rt M,10-Met,0.362177
ARL,2010,AUG,Rt M,10-Met,0
ARL,2010,AUG,Rt M,10-Met,7.74757
ARL,2010,AUG,Rt M,10-Met,0.625836
ARL,2010,AUG,Rt M,10-Met,1.33173
ARL,2010,AUG,Rt M,10-Met,0.162213
ARL,2011,AUG,Rt M,11-Met,29.6
ARL,2011,AUG,Rt M,11-Met,5.77
ARL,2011,AUG,Rt M,11-Met,13.9
ARL,2011,AUG,Rt M,11-Met,17.4
ARL,2011,AUG,Rt M,11-Met,16.1
ARL,2011,AUG,Rt M,11-Met,51.5
ARL,2011,AUG,Rt M,11-Met,22.1
ARL,2011,AUG,Rt M,11-Met,8.31
ARL,2011,AUG,Rt M,11-Met,35.7
ARL,2011,AUG,Rt M,11-Met,14.5
ARL,2011,AUG,Rt M,11-Met,0.65
ARL,2011,AUG,Rt M,11-Met,3.2
ARL,2011,AUG,Rt M,11-Met,3.03
ARL,2011,AUG,Rt M,11-Met,0.275
ARL,2011,AUG,Rt M,11-Met,5.43
ARL,2011,AUG,Rt M,11-Met,9.56
ARL,2011,AUG,Rt M,11-Met,7.16
