Lake,Year,Species,Developmental stage,GE
ARL,2008,Ao,Metamorph,234.568
ARL,2008,Ao,Metamorph,3.74836
ARL,2008,Ao,Metamorph,1.86959
ARL,2008,Ao,Metamorph,154.35
ARL,2008,Ao,Metamorph,207.74
ARL,2008,Ao,Metamorph,0
ARL,2008,Ao,Metamorph,1.34496
ARL,2008,Ao,Metamorph,2.72041
ARL,2008,Ao,Metamorph,58.7
ARL,2008,Ao,Metamorph,0
ARL,2008,Ao,Metamorph,26.3
ARL,2009,Ao,Metamorph,4.35327
ARL,2009,Ao,Metamorph,4.49064
ARL,2009,Ao,Metamorph,2.21046
ARL,2009,Ao,Metamorph,6.99865
ARL,2009,Ao,Metamorph,0.631282
ARL,2009,Ao,Metamorph,0.846347
ARL,2009,Ao,Metamorph,15.0616
ARL,2009,Ao,Metamorph,0.110406
ARL,2009,Ao,Metamorph,0.622698
ARL,2009,Ao,Metamorph,9.36667
ARL,2009,Ao,Metamorph,0.600734
ARL,2009,Ao,Metamorph,3.92176
ARL,2009,Ao,Metamorph,463.247
ARL,2009,Ao,Metamorph,43.0594
ARL,2009,Ao,Metamorph,0.337
ARL,2009,Ao,Metamorph,43.1397
ARL,2009,Ao,Metamorph,463.821
ARL,2009,Ao,Metamorph,0.214616
ARL,2009,Ao,Metamorph,325.871
ARL,2009,Ao,Metamorph,14.7552
ARL,2009,Ao,Metamorph,41.4281
ARL,2009,Ao,Metamorph,6.21016
ARL,2009,Ao,Metamorph,2479.01
ARL,2009,Ao,Metamorph,0.743204
ARL,2009,Ao,Metamorph,0.0781135
ARL,2009,Ao,Metamorph,2748.65
ARL,2009,Ao,Metamorph,2722.44
ARL,2009,Ao,Metamorph,95.9444
ARL,2009,Ao,Metamorph,5.86329
ARL,2009,Ao,Metamorph,0
ARL,2009,Ao,Metamorph,0
ARL,2010,Ao,Metamorph,2.56
ARL,2010,Ao,Metamorph,5.16
ARL,2010,Ao,Metamorph,5.89
ARL,2010,Ao,Metamorph,11.3
ARL,2010,Ao,Metamorph,12.3
ARL,2010,Ao,Metamorph,16.5
ARL,2010,Ao,Metamorph,19.8
ARL,2010,Ao,Metamorph,22
ARL,2010,Ao,Metamorph,31.6
ARL,2010,Ao,Metamorph,47.4
ARL,2010,Ao,Metamorph,53.1
ARL,2010,Ao,Metamorph,80.1
ARL,2010,Ao,Metamorph,105.4
ARL,2010,Ao,Metamorph,135.1
ARL,2010,Ao,Metamorph,207.5
ARL,2010,Ao,Metamorph,437.6
ARL,2010,Ao,Metamorph,467.3
ARL,2010,Ao,Metamorph,714.2
ARL,2010,Ao,Metamorph,754.4
ARL,2010,Ao,Metamorph,1412.4
ARL,2010,Ao,Metamorph,1491.6
ARL,2010,Ao,Metamorph,1825.1
ARL,2010,Ao,Metamorph,1919.1
ARL,2010,Ao,Metamorph,1983.4
ARL,2010,Ao,Metamorph,2214
ARL,2010,Ao,Metamorph,2239.6
ARL,2010,Ao,Metamorph,4016.5
ARL,2010,Ao,Metamorph,4581.6
ARL,2010,Ao,Metamorph,5420.7
ARL,2010,Ao,Metamorph,7705.2
ARL,2010,Ao,Metamorph,8802.2
ARL,2011,Ao,Metamorph,635.7
ARL,2011,Ao,Metamorph,239
ARL,2011,Ao,Metamorph,282.7
ARL,2011,Ao,Metamorph,377.2
ARL,2011,Ao,Metamorph,132.9
ARL,2011,Ao,Metamorph,0.245
ARL,2011,Ao,Metamorph,102.7
ARL,2011,Ao,Metamorph,1021.9
ARL,2011,Ao,Metamorph,966
ARL,2011,Ao,Metamorph,340
ARL,2011,Ao,Metamorph,252.6
ARL,2011,Ao,Metamorph,522.8
ARL,2011,Ao,Metamorph,23.2
ARL,2011,Ao,Metamorph,2677.3
ARL,2011,Ao,Metamorph,2.22
ARL,2011,Ao,Metamorph,1547.6
ARL,2011,Ao,Metamorph,1742.2
ARL,2011,Ao,Metamorph,316
ARL,2011,Ao,Metamorph,255.4
ARL,2011,Ao,Metamorph,502.4
ARL,2011,Ao,Metamorph,80.2
ARL,2011,Ao,Metamorph,2999.2
ARL,2011,Ao,Metamorph,315.5
ARL,2011,Ao,Metamorph,0.643
ARL,2011,Ao,Metamorph,173.7
ARL,2011,Ao,Metamorph,402.7
ARL,2011,Ao,Metamorph,0.528
ARL,2011,Ao,Metamorph,22.1
ARL,2011,Ao,Metamorph,12.6
ARL,2011,Ao,Metamorph,158.6
ARL,2012,Ao,Metamorph,2831.8
ARL,2012,Ao,Metamorph,45.5
ARL,2012,Ao,Metamorph,54.7
ARL,2012,Ao,Metamorph,15509.4
ARL,2012,Ao,Metamorph,209.5
ARL,2012,Ao,Metamorph,12.3
ARL,2012,Ao,Metamorph,977.5
ARL,2012,Ao,Metamorph,0.1
ARL,2012,Ao,Metamorph,2407.2
ARL,2012,Ao,Metamorph,1824.9
ARL,2012,Ao,Metamorph,1717.6
ARL,2012,Ao,Metamorph,4633.4
ARL,2012,Ao,Metamorph,1890.1
ARL,2012,Ao,Metamorph,77.7
ARL,2012,Ao,Metamorph,21.2
ARL,2012,Ao,Metamorph,552.4
ARL,2012,Ao,Metamorph,35.7
ARL,2012,Ao,Metamorph,4565.4
ARL,2012,Ao,Metamorph,108.5
ARL,2012,Ao,Metamorph,1452.3
ARL,2012,Ao,Metamorph,628.8
ARL,2012,Ao,Metamorph,2594
ARL,2012,Ao,Metamorph,5702.6
ARL,2012,Ao,Metamorph,193.2
ARL,2012,Ao,Metamorph,17.3
ARL,2012,Ao,Metamorph,0
ARL,2012,Ao,Metamorph,1140.6
ARL,2012,Ao,Metamorph,1116
ARL,2012,Ao,Metamorph,729
ARL,2012,Ao,Metamorph,6937.1
ARL,2013,Ao,Metamorph,487.41
ARL,2013,Ao,Metamorph,14.39
ARL,2013,Ao,Metamorph,4.81
ARL,2013,Ao,Metamorph,141.84
ARL,2013,Ao,Metamorph,31.21
ARL,2013,Ao,Metamorph,107.55
ARL,2013,Ao,Metamorph,11.19
ARL,2013,Ao,Metamorph,1183.28
ARL,2013,Ao,Metamorph,3.43
ARL,2013,Ao,Metamorph,523.45
ARL,2013,Ao,Metamorph,1.72
ARL,2013,Ao,Metamorph,10.48
ARL,2013,Ao,Metamorph,1.4
ARL,2013,Ao,Metamorph,2157.98
ARL,2013,Ao,Metamorph,1930.85
ARL,2013,Ao,Metamorph,10.02
ARL,2013,Ao,Metamorph,231.57
ARL,2013,Ao,Metamorph,14.16
ARL,2013,Ao,Metamorph,0
ARL,2013,Ao,Metamorph,0.022
ARL,2013,Ao,Metamorph,48.2
ARL,2013,Ao,Metamorph,0
ARL,2013,Ao,Metamorph,3.98
ARL,2013,Ao,Metamorph,85.2
ARL,2013,Ao,Metamorph,0.763
ARL,2013,Ao,Metamorph,0.141
ARL,2013,Ao,Metamorph,61.9
ARL,2013,Ao,Metamorph,438.4
ARL,2013,Ao,Metamorph,109
ARL,2013,Ao,Metamorph,0.389
ARL,2013,Ao,Metamorph,659.4
ARL,2013,Ao,Metamorph,15.8
ARL,2013,Ao,Metamorph,0.00719
ARL,2013,Ao,Metamorph,20.9
ARL,2013,Ao,Metamorph,8.65
ARL,2013,Ao,Metamorph,0.161
ARL,2013,Ao,Metamorph,0.354
ARL,2013,Ao,Metamorph,24.2
ARL,2013,Ao,Metamorph,39.3
ARL,2013,Ao,Metamorph,520.7
ARL,2013,Ao,Metamorph,2.97
ARL,2013,Ao,Metamorph,82.3
ARL,2013,Ao,Metamorph,3.85
ARL,2013,Ao,Metamorph,0
ARL,2013,Ao,Metamorph,577.2
ARL,2013,Ao,Metamorph,40.1
ARL,2013,Ao,Metamorph,31.1
ARL,2013,Ao,Metamorph,73.2
ARL,2013,Ao,Metamorph,0.634
ARL,2013,Ao,Metamorph,3.65
ARL,2013,Ao,Metamorph,15.6
ARL,2014,Ao,Metamorph,31728.17139
ARL,2014,Ao,Metamorph,47511.18652
ARL,2014,Ao,Metamorph,1501.470337
ARL,2014,Ao,Metamorph,0
ARL,2014,Ao,Metamorph,76652.11914
ARL,2014,Ao,Metamorph,109125.6348
ARL,2014,Ao,Metamorph,3.535096347
ARL,2014,Ao,Metamorph,17.40405798
ARL,2014,Ao,Metamorph,21850.59326
ARL,2014,Ao,Metamorph,15726.71143
ARL,2014,Ao,Metamorph,382.96772
ARL,2014,Ao,Metamorph,1288.986206
ARL,2014,Ao,Metamorph,629.1017914
ARL,2014,Ao,Metamorph,8563.21228
ARL,2014,Ao,Metamorph,10872.72705
ARL,2014,Ao,Metamorph,14502.05688
ARL,2014,Ao,Metamorph,222.5051689
ARL,2014,Ao,Metamorph,2656.387329
ARL,2014,Ao,Metamorph,0.221794751
ARL,2014,Ao,Metamorph,449.2821503
ARL,2014,Ao,Metamorph,146.5914726
ARL,2014,Ao,Metamorph,567.0394897
ARL,2014,Ao,Metamorph,3465.593872
ARL,2014,Ao,Metamorph,4247.330933
ARL,2014,Ao,Metamorph,95.37211418
ARL,2014,Ao,Metamorph,123.0761719
ARL,2014,Ao,Metamorph,32720.80566
ARL,2014,Ao,Metamorph,13157.76855
ARL,2014,Ao,Metamorph,3325.880737
ARL,2014,Ao,Metamorph,24733.78174
ARL,2015,Ao,Metamorph,1576.98
ARL,2015,Ao,Metamorph,1220.64
ARL,2015,Ao,Metamorph,166.787
ARL,2015,Ao,Metamorph,135.622
ARL,2015,Ao,Metamorph,129.06
ARL,2015,Ao,Metamorph,126.932
ARL,2015,Ao,Metamorph,88.8324
ARL,2015,Ao,Metamorph,81.4092
ARL,2015,Ao,Metamorph,55.5119
ARL,2015,Ao,Metamorph,37.4371
