Date,Time,Temp
18/07/2010,10:44:37,18.771
18/07/2010,11:14:37,18.58
18/07/2010,11:44:37,18.794
18/07/2010,12:14:37,19.103
18/07/2010,12:44:37,19.246
18/07/2010,13:14:37,19.27
18/07/2010,13:44:37,19.294
18/07/2010,14:14:37,19.508
18/07/2010,14:44:37,20.079
18/07/2010,15:14:37,19.984
18/07/2010,15:44:37,20.15
18/07/2010,16:14:37,20.555
18/07/2010,16:44:37,20.722
18/07/2010,17:14:37,21.39
18/07/2010,17:44:37,21.557
18/07/2010,18:14:37,21.413
18/07/2010,18:44:37,21.413
18/07/2010,19:14:37,21.437
18/07/2010,19:44:37,21.509
18/07/2010,20:14:37,21.437
18/07/2010,20:44:37,21.461
18/07/2010,21:14:37,21.223
18/07/2010,21:44:37,20.913
18/07/2010,22:14:37,20.722
18/07/2010,22:44:37,20.507
18/07/2010,23:14:37,20.412
18/07/2010,23:44:37,20.222
19/07/2010,00:14:37,20.031
19/07/2010,00:44:37,19.841
19/07/2010,01:14:37,19.96
19/07/2010,01:44:37,19.651
19/07/2010,02:14:37,19.651
19/07/2010,02:44:37,19.175
19/07/2010,03:14:37,18.985
19/07/2010,03:44:37,18.866
19/07/2010,04:14:37,18.723
19/07/2010,04:44:37,18.747
19/07/2010,05:14:37,18.937
19/07/2010,05:44:37,18.889
19/07/2010,06:14:37,18.271
19/07/2010,06:44:37,18.343
19/07/2010,07:14:37,18.509
19/07/2010,07:44:37,18.747
19/07/2010,08:14:37,18.842
19/07/2010,08:44:37,18.961
19/07/2010,09:14:37,19.103
19/07/2010,09:44:37,19.151
19/07/2010,10:14:37,19.246
19/07/2010,10:44:37,19.46
19/07/2010,11:14:37,19.46
19/07/2010,11:44:37,19.746
19/07/2010,12:14:37,19.865
19/07/2010,12:44:37,20.126
19/07/2010,13:14:37,20.46
19/07/2010,13:44:37,20.698
19/07/2010,14:14:37,20.984
19/07/2010,14:44:37,21.175
19/07/2010,15:14:37,21.342
19/07/2010,15:44:37,21.581
19/07/2010,16:14:37,21.724
19/07/2010,16:44:37,21.891
19/07/2010,17:14:37,22.011
19/07/2010,17:44:37,22.082
19/07/2010,18:14:37,22.154
19/07/2010,18:44:37,22.202
19/07/2010,19:14:37,22.106
19/07/2010,19:44:37,22.082
19/07/2010,20:14:37,21.867
19/07/2010,20:44:37,21.509
19/07/2010,21:14:37,21.294
19/07/2010,21:44:37,21.175
19/07/2010,22:14:37,20.889
19/07/2010,22:44:37,20.674
19/07/2010,23:14:37,20.484
19/07/2010,23:44:37,20.293
20/07/2010,00:14:37,20.484
20/07/2010,00:44:37,20.293
20/07/2010,01:14:37,20.198
20/07/2010,01:44:37,19.841
20/07/2010,02:14:37,19.46
20/07/2010,02:44:37,19.389
20/07/2010,03:14:37,19.341
20/07/2010,03:44:37,19.151
20/07/2010,04:14:37,19.032
20/07/2010,04:44:37,18.985
20/07/2010,05:14:37,19.032
20/07/2010,05:44:37,18.842
20/07/2010,06:14:37,19.008
20/07/2010,06:44:37,18.913
20/07/2010,07:14:37,18.985
20/07/2010,07:44:37,19.127
20/07/2010,08:14:37,19.27
20/07/2010,08:44:37,19.341
20/07/2010,09:14:37,19.436
20/07/2010,09:44:37,19.579
20/07/2010,10:14:37,20.031
20/07/2010,10:44:37,19.936
20/07/2010,11:14:37,20.007
20/07/2010,11:44:37,20.269
20/07/2010,12:14:37,20.555
20/07/2010,12:44:37,21.151
20/07/2010,13:14:37,21.199
20/07/2010,13:44:37,21.413
20/07/2010,14:14:37,21.437
20/07/2010,14:44:37,22.345
20/07/2010,15:14:37,21.987
20/07/2010,15:44:37,22.417
20/07/2010,16:14:37,22.202
20/07/2010,16:44:37,22.202
20/07/2010,17:14:37,22.082
20/07/2010,17:44:37,22.202
20/07/2010,18:14:37,21.987
20/07/2010,18:44:37,21.676
20/07/2010,19:14:37,21.557
20/07/2010,19:44:37,21.27
20/07/2010,20:14:37,21.056
20/07/2010,20:44:37,20.889
20/07/2010,21:14:37,20.722
20/07/2010,21:44:37,20.817
20/07/2010,22:14:37,19.96
20/07/2010,22:44:37,18.129
20/07/2010,23:14:37,19.674
20/07/2010,23:44:37,19.246
21/07/2010,00:14:37,18.985
21/07/2010,00:44:37,19.246
21/07/2010,01:14:37,19.484
21/07/2010,01:44:37,19.151
21/07/2010,02:14:37,19.199
21/07/2010,02:44:37,18.937
21/07/2010,03:14:37,18.866
21/07/2010,03:44:37,18.794
21/07/2010,04:14:37,18.604
21/07/2010,04:44:37,18.652
21/07/2010,05:14:37,18.628
21/07/2010,05:44:37,18.889
21/07/2010,06:14:37,18.794
21/07/2010,06:44:37,18.533
21/07/2010,07:14:37,18.699
21/07/2010,07:44:37,18.652
21/07/2010,08:14:37,18.794
21/07/2010,08:44:37,18.937
21/07/2010,09:14:37,19.08
21/07/2010,09:44:37,19.246
21/07/2010,10:14:37,19.341
21/07/2010,10:44:37,19.436
21/07/2010,11:14:37,19.627
21/07/2010,11:44:37,19.865
21/07/2010,12:14:37,20.603
21/07/2010,12:44:37,20.936
21/07/2010,13:14:37,20.913
21/07/2010,13:44:37,20.746
21/07/2010,14:14:37,20.865
21/07/2010,14:44:37,21.056
21/07/2010,15:14:37,20.889
21/07/2010,15:44:37,20.793
21/07/2010,16:14:37,21.199
21/07/2010,16:44:37,20.484
21/07/2010,17:14:37,20.531
21/07/2010,17:44:37,20.579
21/07/2010,18:14:37,20.46
21/07/2010,18:44:37,20.436
21/07/2010,19:14:37,20.293
21/07/2010,19:44:37,20.103
21/07/2010,20:14:37,19.888
21/07/2010,20:44:37,19.508
21/07/2010,21:14:37,19.341
21/07/2010,21:44:37,19.222
21/07/2010,22:14:37,18.414
21/07/2010,22:44:37,18.509
21/07/2010,23:14:37,18.628
21/07/2010,23:44:37,18.675
22/07/2010,00:14:37,18.533
22/07/2010,00:44:37,18.271
22/07/2010,01:14:37,17.748
22/07/2010,01:44:37,17.796
22/07/2010,02:14:37,17.796
22/07/2010,02:44:37,17.724
22/07/2010,03:14:37,17.796
22/07/2010,03:44:37,17.819
22/07/2010,04:14:37,17.748
22/07/2010,04:44:37,17.486
22/07/2010,05:14:37,17.391
22/07/2010,05:44:37,17.439
22/07/2010,06:14:37,17.391
22/07/2010,06:44:37,17.13
22/07/2010,07:14:37,16.844
22/07/2010,07:44:37,15.7
22/07/2010,08:14:37,15.796
22/07/2010,08:44:37,16.034
22/07/2010,09:14:37,15.676
22/07/2010,09:44:37,15.629
22/07/2010,10:14:37,15.915
22/07/2010,10:44:37,15.581
22/07/2010,11:14:37,15.581
22/07/2010,11:44:37,15.7
22/07/2010,12:14:37,15.676
22/07/2010,12:44:37,16.129
22/07/2010,13:14:37,16.63
22/07/2010,13:44:37,16.987
22/07/2010,14:14:37,17.391
22/07/2010,14:44:37,17.582
22/07/2010,15:14:37,17.605
22/07/2010,15:44:37,17.843
22/07/2010,16:14:37,17.867
22/07/2010,16:44:37,17.843
22/07/2010,17:14:37,17.891
22/07/2010,17:44:37,17.938
22/07/2010,18:14:37,17.938
22/07/2010,18:44:37,18.01
22/07/2010,19:14:37,18.057
22/07/2010,19:44:37,18.033
22/07/2010,20:14:37,18.033
22/07/2010,20:44:37,17.915
22/07/2010,21:14:37,17.772
22/07/2010,21:44:37,17.605
22/07/2010,22:14:37,17.51
22/07/2010,22:44:37,17.463
22/07/2010,23:14:37,17.249
22/07/2010,23:44:37,17.177
23/07/2010,00:14:37,17.13
23/07/2010,00:44:37,17.034
23/07/2010,01:14:37,17.011
23/07/2010,01:44:37,16.987
23/07/2010,02:14:37,16.939
23/07/2010,02:44:37,16.892
23/07/2010,03:14:37,16.844
23/07/2010,03:44:37,16.796
23/07/2010,04:14:37,16.677
23/07/2010,04:44:37,16.606
23/07/2010,05:14:37,16.534
23/07/2010,05:44:37,16.534
23/07/2010,06:14:37,16.439
23/07/2010,06:44:37,16.368
23/07/2010,07:14:37,16.463
23/07/2010,07:44:37,16.392
23/07/2010,08:14:37,16.463
23/07/2010,08:44:37,16.511
23/07/2010,09:14:37,16.534
23/07/2010,09:44:37,16.558
23/07/2010,10:14:37,16.63
23/07/2010,10:44:37,16.63
23/07/2010,11:14:37,16.654
23/07/2010,11:44:37,16.701
23/07/2010,12:14:37,16.773
23/07/2010,12:44:37,16.868
23/07/2010,13:14:37,17.13
23/07/2010,13:44:37,17.368
23/07/2010,14:14:37,17.582
23/07/2010,14:44:37,17.677
23/07/2010,15:14:37,17.653
23/07/2010,15:44:37,17.867
23/07/2010,16:14:37,17.891
23/07/2010,16:44:37,17.891
23/07/2010,17:14:37,18.01
23/07/2010,17:44:37,18.01
23/07/2010,18:14:37,18.033
23/07/2010,18:44:37,18.081
23/07/2010,19:14:37,18.057
23/07/2010,19:44:37,17.986
23/07/2010,20:14:37,17.891
23/07/2010,20:44:37,17.463
23/07/2010,21:14:37,17.249
23/07/2010,21:44:37,17.177
23/07/2010,22:14:37,17.058
23/07/2010,22:44:37,16.939
23/07/2010,23:14:37,16.868
23/07/2010,23:44:37,16.82
24/07/2010,00:14:37,16.773
24/07/2010,00:44:37,16.725
24/07/2010,01:14:37,16.63
24/07/2010,01:44:37,16.534
24/07/2010,02:14:37,16.463
24/07/2010,02:44:37,16.32
24/07/2010,03:14:37,16.177
24/07/2010,03:44:37,16.129
24/07/2010,04:14:37,16.082
24/07/2010,04:44:37,16.01
24/07/2010,05:14:37,15.939
24/07/2010,05:44:37,15.915
24/07/2010,06:14:37,15.867
24/07/2010,06:44:37,15.843
24/07/2010,07:14:37,15.939
24/07/2010,07:44:37,16.01
24/07/2010,08:14:37,16.129
24/07/2010,08:44:37,16.249
24/07/2010,09:14:37,16.344
24/07/2010,09:44:37,16.463
24/07/2010,10:14:37,16.558
24/07/2010,10:44:37,16.63
24/07/2010,11:14:37,16.868
24/07/2010,11:44:37,16.987
24/07/2010,12:14:37,17.106
24/07/2010,12:44:37,17.177
24/07/2010,13:14:37,17.534
24/07/2010,13:44:37,17.724
24/07/2010,14:14:37,17.748
24/07/2010,14:44:37,17.843
24/07/2010,15:14:37,17.962
24/07/2010,15:44:37,18.176
24/07/2010,16:14:37,18.343
24/07/2010,16:44:37,18.485
24/07/2010,17:14:37,18.675
24/07/2010,17:44:37,18.652
24/07/2010,18:14:37,18.699
24/07/2010,18:44:37,18.652
24/07/2010,19:14:37,18.628
24/07/2010,19:44:37,18.604
24/07/2010,20:14:37,18.58
24/07/2010,20:44:37,18.485
24/07/2010,21:14:37,18.295
24/07/2010,21:44:37,18.2
24/07/2010,22:14:37,18.105
24/07/2010,22:44:37,17.938
24/07/2010,23:14:37,17.819
24/07/2010,23:44:37,17.677
25/07/2010,00:14:37,17.486
25/07/2010,00:44:37,17.272
25/07/2010,01:14:37,17.296
25/07/2010,01:44:37,17.296
25/07/2010,02:14:37,17.177
25/07/2010,02:44:37,17.13
25/07/2010,03:14:37,16.987
25/07/2010,03:44:37,16.82
25/07/2010,04:14:37,16.725
25/07/2010,04:44:37,16.534
25/07/2010,05:14:37,16.439
25/07/2010,05:44:37,16.368
25/07/2010,06:14:37,16.392
25/07/2010,06:44:37,16.296
25/07/2010,07:14:37,16.368
25/07/2010,07:44:37,16.344
25/07/2010,08:14:37,16.344
25/07/2010,08:44:37,16.392
25/07/2010,09:14:37,16.487
25/07/2010,09:44:37,16.558
25/07/2010,10:14:37,16.654
25/07/2010,10:44:37,16.773
25/07/2010,11:14:37,16.915
25/07/2010,11:44:37,16.963
25/07/2010,12:14:37,17.058
25/07/2010,12:44:37,17.153
