Lake,Year,Species,Development stage,GE
Ansabere,2010,Alytes obstetricans,Metamorph,20.3
Ansabere,2010,Alytes obstetricans,Metamorph,0
Ansabere,2010,Alytes obstetricans,Metamorph,1207
Ansabere,2010,Alytes obstetricans,Metamorph,136.6
Ansabere,2010,Alytes obstetricans,Metamorph,20.3
Ansabere,2010,Alytes obstetricans,Metamorph,88.6
Ansabere,2010,Alytes obstetricans,Metamorph,229.6
Ansabere,2010,Alytes obstetricans,Metamorph,49.4
Ansabere,2010,Alytes obstetricans,Metamorph,19.8
Ansabere,2010,Alytes obstetricans,Metamorph,336.6
Ansabere,2010,Alytes obstetricans,Metamorph,83.2
Ansabere,2010,Alytes obstetricans,Metamorph,4.31
Ansabere,2010,Alytes obstetricans,Metamorph,16.6
Ansabere,2010,Alytes obstetricans,Metamorph,173.7
Ansabere,2010,Alytes obstetricans,Metamorph,49
Ansabere,2011,Alytes obstetricans,Metamorph,2495.2
Ansabere,2011,Alytes obstetricans,Metamorph,112.6
Ansabere,2011,Alytes obstetricans,Metamorph,35
Ansabere,2011,Alytes obstetricans,Metamorph,70
Ansabere,2011,Alytes obstetricans,Metamorph,0.159
Ansabere,2011,Alytes obstetricans,Metamorph,806.3
Ansabere,2011,Alytes obstetricans,Metamorph,71.9
Ansabere,2011,Alytes obstetricans,Metamorph,88.6
Ansabere,2011,Alytes obstetricans,Metamorph,2495.2
Ansabere,2011,Alytes obstetricans,Metamorph,112.6
Ansabere,2011,Alytes obstetricans,Metamorph,35
Ansabere,2011,Alytes obstetricans,Metamorph,70
Ansabere,2011,Alytes obstetricans,Metamorph,0.159
Ansabere,2011,Alytes obstetricans,Metamorph,2.83
Ansabere,2012,Alytes obstetricans,Metamorph,0
Ansabere,2012,Alytes obstetricans,Metamorph,0
Ansabere,2012,Alytes obstetricans,Metamorph,0
Ansabere,2012,Alytes obstetricans,Metamorph,0
Ansabere,2012,Alytes obstetricans,Metamorph,0
Ansabere,2012,Alytes obstetricans,Metamorph,0
Ansabere,2012,Alytes obstetricans,Metamorph,0.524
Ansabere,2012,Alytes obstetricans,Metamorph,0.299
Ansabere,2015,Alytes obstetricans,Metamorphs,475.914
Ansabere,2015,Alytes obstetricans,Metamorphs,4.52762
Ansabere,2015,Alytes obstetricans,Metamorphs,0.408051
Ansabere,2016,Alytes obstetricans,Metamorph,0.138338208
Ansabere,2016,Alytes obstetricans,Metamorph,69.87019539
Ansabere,2016,Alytes obstetricans,Metamorph,2.885755897
Ansabere,2016,Alytes obstetricans,Metamorph,0.287172161
Ansabere,2016,Alytes obstetricans,Metamorph,0.053463709
Ansabere,2016,Alytes obstetricans,Metamorph,0.523060225
Ansabere,2016,Alytes obstetricans,Metamorph,0.138338208
Ansabere,2016,Alytes obstetricans,Metamorph,69.87019539
Ansabere,2016,Alytes obstetricans,Metamorph,2.885755897
Ansabere,2016,Alytes obstetricans,Metamorph,0.287172161
Ansabere,2016,Alytes obstetricans,Metamorph,0
Ansabere,2016,Alytes obstetricans,Metamorph,0.053463709
Ansabere,2016,Alytes obstetricans,Metamorph,0.523060225
