Lake,Year,Species,Developmental stage,GE
Acherito,2008,Alytes obstetricans,M,0
Acherito,2008,Alytes obstetricans,M,0
Acherito,2008,Alytes obstetricans,M,0.306
Acherito,2008,Alytes obstetricans,M,0
Acherito,2008,Alytes obstetricans,M,0
Acherito,2008,Alytes obstetricans,M,0
Acherito,2008,Alytes obstetricans,M,0
Acherito,2008,Alytes obstetricans,M,17.8
Acherito,2008,Alytes obstetricans,M,0.496
Acherito,2008,Alytes obstetricans,M,0
Acherito,2008,Alytes obstetricans,M,0.567537
Acherito,2008,Alytes obstetricans,M,3133.01
Acherito,2008,Alytes obstetricans,M,12.3783
Acherito,2008,Alytes obstetricans,M,582.719
Acherito,2008,Alytes obstetricans,M,0.221638
Acherito,2008,Alytes obstetricans,M,8.01662
Acherito,2008,Alytes obstetricans,M,1.17518
Acherito,2008,Alytes obstetricans,M,0.848899
Acherito,2008,Alytes obstetricans,M,4271.29
Acherito,2008,Alytes obstetricans,M,207.872
Acherito,2008,Alytes obstetricans,M,0
Acherito,2008,Alytes obstetricans,M,0
Acherito,2008,Alytes obstetricans,M,0
Acherito,2008,Alytes obstetricans,M,153.709
Acherito,2008,Alytes obstetricans,M,3.3538
Acherito,2008,Alytes obstetricans,M,0
Acherito,2008,Alytes obstetricans,M,11.2392
Acherito,2008,Alytes obstetricans,M,6.1296
Acherito,2008,Alytes obstetricans,M,140.898
Acherito,2008,Alytes obstetricans,M,0
Acherito,2008,Alytes obstetricans,M,0
Acherito,2008,Alytes obstetricans,M,5936.14
Acherito,2008,Alytes obstetricans,M,92657.5
Acherito,2009,Alytes obstetricans ,M,60.2692
Acherito,2009,Alytes obstetricans ,M,26.1561
Acherito,2009,Alytes obstetricans ,M,0.00491485
Acherito,2009,Alytes obstetricans ,M,0
Acherito,2009,Alytes obstetricans ,M,0
Acherito,2009,Alytes obstetricans ,M,0.00151779
Acherito,2009,Alytes obstetricans ,M,0
Acherito,2009,Alytes obstetricans ,M,0
Acherito,2009,Alytes obstetricans ,M,0
Acherito,2009,Alytes obstetricans ,M,0
Acherito,2009,Alytes obstetricans ,M,0
Acherito,2009,Alytes obstetricans ,M,0
Acherito,2009,Alytes obstetricans ,M,0
Acherito,2009,Alytes obstetricans ,M,5.69258
Acherito,2009,Alytes obstetricans ,M,0
Acherito,2009,Alytes obstetricans ,M,0.0319448
Acherito,2009,Alytes obstetricans ,M,0.0641879
Acherito,2009,Alytes obstetricans ,M,0.371998
Acherito,2009,Alytes obstetricans ,M,0
Acherito,2009,Alytes obstetricans ,M,0
Acherito,2009,Alytes obstetricans ,M,8.79472
Acherito,2009,Alytes obstetricans ,M,0
Acherito,2009,Alytes obstetricans ,M,0
Acherito,2009,Alytes obstetricans ,M,0
Acherito,2009,Alytes obstetricans ,M,0
Acherito,2009,Alytes obstetricans ,M,0
Acherito,2009,Alytes obstetricans ,M,0.132167
Acherito,2009,Alytes obstetricans ,M,3.19834
Acherito,2009,Alytes obstetricans ,M,0.295141
Acherito,2009,Alytes obstetricans ,M,0
Acherito,2009,Alytes obstetricans ,M,0.179493
Acherito,2009,Alytes obstetricans ,M,179.675
Acherito,2009,Alytes obstetricans ,M,0
Acherito,2009,Alytes obstetricans ,M,0
Acherito,2009,Alytes obstetricans ,M,0
Acherito,2009,Alytes obstetricans ,M,0
Acherito,2009,Alytes obstetricans ,M,0
Acherito,2009,Alytes obstetricans ,M,0
Acherito,2009,Alytes obstetricans ,M,0.134012
Acherito,2009,Alytes obstetricans ,M,0
Acherito,2009,Alytes obstetricans ,M,0
Acherito,2009,Alytes obstetricans ,M,0.140861
Acherito,2009,Alytes obstetricans ,M,0
Acherito,2009,Alytes obstetricans ,M,0.455
