Lake,Year,Species,Developmental stage,GE
Acherito,2008,Alytes obstetricans,Over-wintered larva,1.26
Acherito,2008,Alytes obstetricans,Over-wintered larva,5.54
Acherito,2008,Alytes obstetricans,Over-wintered larva,122.4
Acherito,2008,Alytes obstetricans,Over-wintered larva,14.2
Acherito,2008,Alytes obstetricans,Over-wintered larva,351.9
Acherito,2008,Alytes obstetricans,Over-wintered larva,312.6
Acherito,2008,Alytes obstetricans,Over-wintered larva,187.9
Acherito,2008,Alytes obstetricans,Over-wintered larva,3.8
Acherito,2008,Alytes obstetricans,Over-wintered larva,847.2
Acherito,2008,Alytes obstetricans,Over-wintered larva,32.7
Acherito,2008,Alytes obstetricans,Over-wintered larva,179.8
Acherito,2008,Alytes obstetricans,Over-wintered larva,8.78
Acherito,2008,Alytes obstetricans,Over-wintered larva,112.7
Acherito,2008,Alytes obstetricans,Over-wintered larva,25
Acherito,2008,Alytes obstetricans,Over-wintered larva,63.6
Acherito,2008,Alytes obstetricans,Over-wintered larva,5.85
Acherito,2008,Alytes obstetricans,Over-wintered larva,16.3
Acherito,2008,Alytes obstetricans,Over-wintered larva,12.6
Acherito,2008,Alytes obstetricans,Over-wintered larva,0
Acherito,2008,Alytes obstetricans,Over-wintered larva,1.77
Acherito,2008,Alytes obstetricans,Over-wintered larva,602.61
Acherito,2008,Alytes obstetricans,Over-wintered larva,2.98
Acherito,2008,Alytes obstetricans,Over-wintered larva,2.21
Acherito,2008,Alytes obstetricans,Over-wintered larva,341.22
Acherito,2008,Alytes obstetricans,Over-wintered larva,49.07
Acherito,2008,Alytes obstetricans,Over-wintered larva,0.504
Acherito,2008,Alytes obstetricans,Over-wintered larva,2.11
Acherito,2008,Alytes obstetricans,Over-wintered larva,24.1
Acherito,2009,Alytes obstetricans ,Over-wintered larva,57.0701
Acherito,2009,Alytes obstetricans ,Over-wintered larva,37.1105
Acherito,2009,Alytes obstetricans ,Over-wintered larva,482.973
Acherito,2009,Alytes obstetricans ,Over-wintered larva,496.965
Acherito,2009,Alytes obstetricans ,Over-wintered larva,1400
Acherito,2009,Alytes obstetricans ,Over-wintered larva,32.6043
Acherito,2009,Alytes obstetricans ,Over-wintered larva,36.9063
Acherito,2009,Alytes obstetricans ,Over-wintered larva,142.984
Acherito,2009,Alytes obstetricans ,Over-wintered larva,253.406
Acherito,2009,Alytes obstetricans ,Over-wintered larva,43.7305
Acherito,2009,Alytes obstetricans ,Over-wintered larva,81.9463
Acherito,2009,Alytes obstetricans ,Over-wintered larva,49.1829
Acherito,2009,Alytes obstetricans ,Over-wintered larva,37.5165
