Lake,Year,Species,Developmental stage,GE
Ansabere,2010,Alytes obstetricans,M,20.3
Ansabere,2010,Alytes obstetricans,M,0
Ansabere,2010,Alytes obstetricans,M,1207
Ansabere,2010,Alytes obstetricans,M,136.6
Ansabere,2010,Alytes obstetricans,M,20.3
Ansabere,2010,Alytes obstetricans,M,88.6
Ansabere,2010,Alytes obstetricans,M,229.6
Ansabere,2010,Alytes obstetricans,M,49.4
Ansabere,2010,Alytes obstetricans,M,19.8
Ansabere,2010,Alytes obstetricans,M,336.6
Ansabere,2010,Alytes obstetricans,M,83.2
Ansabere,2010,Alytes obstetricans,M,4.31
Ansabere,2010,Alytes obstetricans,M,16.6
Ansabere,2010,Alytes obstetricans,M,173.7
Ansabere,2010,Alytes obstetricans,M,49
Ansabere,2011,Alytes obstetricans,M,2495.2
Ansabere,2011,Alytes obstetricans,M,112.6
Ansabere,2011,Alytes obstetricans,M,35
Ansabere,2011,Alytes obstetricans,M,70
Ansabere,2011,Alytes obstetricans,M,0.159
Ansabere,2011,Alytes obstetricans,M,806.3
Ansabere,2011,Alytes obstetricans,M,71.9
Ansabere,2011,Alytes obstetricans,M,88.6
Ansabere,2011,Alytes obstetricans,M,2495.2
Ansabere,2011,Alytes obstetricans,M,112.6
Ansabere,2011,Alytes obstetricans,M,35
Ansabere,2011,Alytes obstetricans,M,70
Ansabere,2011,Alytes obstetricans,M,0.159
Ansabere,2011,Alytes obstetricans,M,2.83
Ansabere,2012,Alytes obstetricans,M,0
Ansabere,2012,Alytes obstetricans,M,0
Ansabere,2012,Alytes obstetricans,M,0
Ansabere,2012,Alytes obstetricans,M,0
Ansabere,2012,Alytes obstetricans,M,0
Ansabere,2012,Alytes obstetricans,M,0
Ansabere,2012,Alytes obstetricans,M,0.524
Ansabere,2012,Alytes obstetricans,M,0.299
Ansabere,2015,Alytes obstetricans,M,475.914
Ansabere,2015,Alytes obstetricans,M,4.52762
Ansabere,2015,Alytes obstetricans,M,0.408051
Ansabere,2016,Alytes obstetricans,M,0.138338208
Ansabere,2016,Alytes obstetricans,M,69.87019539
Ansabere,2016,Alytes obstetricans,M,2.885755897
Ansabere,2016,Alytes obstetricans,M,0.287172161
Ansabere,2016,Alytes obstetricans,M,0.053463709
Ansabere,2016,Alytes obstetricans,M,0.523060225
Ansabere,2016,Alytes obstetricans,M,0.138338208
Ansabere,2016,Alytes obstetricans,M,69.87019539
Ansabere,2016,Alytes obstetricans,M,2.885755897
Ansabere,2016,Alytes obstetricans,M,0.287172161
Ansabere,2016,Alytes obstetricans,M,0
Ansabere,2016,Alytes obstetricans,M,0.053463709
Ansabere,2016,Alytes obstetricans,M,0.523060225
Ansabere,2008,Alytes obstetricans,T,3.57467
Ansabere,2008,Alytes obstetricans,T,168.016
Ansabere,2008,Alytes obstetricans,T,5.19964
Ansabere,2008,Alytes obstetricans,T,104.218
Ansabere,2008,Alytes obstetricans,T,214.383
Ansabere,2008,Alytes obstetricans,T,137.087
Ansabere,2008,Alytes obstetricans,T,156.34
Ansabere,2008,Alytes obstetricans,T,3.50318
Ansabere,2008,Alytes obstetricans,T,53.5927
Ansabere,2008,Alytes obstetricans,T,78.2729
Ansabere,2008,Alytes obstetricans,T,0.73938
Ansabere,2008,Alytes obstetricans,T,119.759
Ansabere,2008,Alytes obstetricans,T,121.034
Ansabere,2008,Alytes obstetricans,T,15.6201
Ansabere,2008,Alytes obstetricans,T,94.9308
Ansabere,2008,Alytes obstetricans,T,358.788
Ansabere,2008,Alytes obstetricans,T,12.1196
Ansabere,2008,Alytes obstetricans,T,0.0153939
Ansabere,2008,Alytes obstetricans,T,0.154608
Ansabere,2008,Alytes obstetricans,T,490.462
Ansabere,2008,Alytes obstetricans,T,1941.56
Ansabere,2008,Alytes obstetricans,T,154.372
Ansabere,2008,Alytes obstetricans,T,1163.31
Ansabere,2008,Alytes obstetricans,T,1778.31
Ansabere,2008,Alytes obstetricans,T,185.106
Ansabere,2008,Alytes obstetricans,T,348.574
Ansabere,2008,Alytes obstetricans,T,508.768
Ansabere,2008,Alytes obstetricans,T,46.6355
Ansabere,2008,Alytes obstetricans,T,3.78658
Ansabere,2008,Alytes obstetricans,T,3.90366
Ansabere,2008,Alytes obstetricans,T,0
Ansabere,2008,Alytes obstetricans,T,0
Ansabere,2008,Alytes obstetricans,T,0
Ansabere,2008,Alytes obstetricans,T,378.6
Ansabere,2008,Alytes obstetricans,T,16
Ansabere,2008,Alytes obstetricans,T,9.86
Ansabere,2008,Alytes obstetricans,T,23.8
Ansabere,2008,Alytes obstetricans,T,31.1
Ansabere,2008,Alytes obstetricans,T,162.3
Ansabere,2008,Alytes obstetricans,T,31.2
Ansabere,2008,Alytes obstetricans,T,506.4
Ansabere,2008,Alytes obstetricans,T,20.9308
Ansabere,2008,Alytes obstetricans,T,5977.67
Ansabere,2008,Alytes obstetricans,T,5.01957
Ansabere,2008,Alytes obstetricans,T,23.2913
Ansabere,2008,Alytes obstetricans,T,13.1651
Ansabere,2008,Alytes obstetricans,T,1248.87
Ansabere,2008,Alytes obstetricans,T,1.69591
Ansabere,2008,Alytes obstetricans,T,2.59291
Ansabere,2008,Alytes obstetricans,T,6.63589
Ansabere,2008,Alytes obstetricans,T,317.572
Ansabere,2008,Alytes obstetricans,T,110.306
Ansabere,2008,Alytes obstetricans,T,14.8415
Ansabere,2008,Alytes obstetricans,T,26.818
Ansabere,2008,Alytes obstetricans,T,36.1194
Ansabere,2008,Alytes obstetricans,T,29.9152
Ansabere,2008,Alytes obstetricans,T,1.40259
Ansabere,2008,Alytes obstetricans,T,390.737
Ansabere,2008,Alytes obstetricans,T,78.8503
Ansabere,2008,Alytes obstetricans,T,88.0181
Ansabere,2009,Alytes obstetricans ,T,279.609
Ansabere,2009,Alytes obstetricans ,T,197.432
Ansabere,2009,Alytes obstetricans ,T,262.168
Ansabere,2009,Alytes obstetricans ,T,72.2911
Ansabere,2009,Alytes obstetricans ,T,186.627
Ansabere,2009,Alytes obstetricans ,T,331.988
Ansabere,2009,Alytes obstetricans ,T,151.248
Ansabere,2009,Alytes obstetricans ,T,1040
Ansabere,2009,Alytes obstetricans ,T,40.6123
Ansabere,2009,Alytes obstetricans ,T,0.1801725
Ansabere,2009,Alytes obstetricans ,T,334.667
Ansabere,2009,Alytes obstetricans ,T,185.685
Ansabere,2009,Alytes obstetricans ,T,62.6222
Ansabere,2009,Alytes obstetricans ,T,36.8564
Ansabere,2009,Alytes obstetricans ,T,22.9082
Ansabere,2009,Alytes obstetricans ,T,41.0994
Ansabere,2009,Alytes obstetricans ,T,306.008
Ansabere,2009,Alytes obstetricans ,T,496.341
Ansabere,2009,Alytes obstetricans ,T,87.8158
Ansabere,2009,Alytes obstetricans ,T,223.486
Ansabere,2009,Alytes obstetricans ,T,165.345
Ansabere,2009,Alytes obstetricans ,T,1380
Ansabere,2009,Alytes obstetricans ,T,362.523
Ansabere,2009,Alytes obstetricans ,T,633.15
Ansabere,2009,Alytes obstetricans ,T,59.8819
Ansabere,2009,Alytes obstetricans ,T,373.423
Ansabere,2009,Alytes obstetricans ,T,216.64
Ansabere,2009,Alytes obstetricans ,T,838.426
Ansabere,2009,Alytes obstetricans ,T,273.521
Ansabere,2009,Alytes obstetricans ,T,209.649
Ansabere,2009,Alytes obstetricans ,T,21.7409
Ansabere,2009,Alytes obstetricans ,T,587.154
Ansabere,2011,Alytes obstetricans,T,23.5
Ansabere,2011,Alytes obstetricans,T,590.9
Ansabere,2011,Alytes obstetricans,T,459.2
Ansabere,2011,Alytes obstetricans,T,3.39
Ansabere,2011,Alytes obstetricans,T,204.9
Ansabere,2011,Alytes obstetricans,T,598.5
Ansabere,2011,Alytes obstetricans,T,446.7
Ansabere,2011,Alytes obstetricans,T,13.8
Ansabere,2011,Alytes obstetricans,T,51.5
Ansabere,2011,Alytes obstetricans,T,141.8
Ansabere,2011,Alytes obstetricans,T,234.1
Ansabere,2011,Alytes obstetricans,T,172.7
Ansabere,2011,Alytes obstetricans,T,385.1
Ansabere,2011,Alytes obstetricans,T,0.505
Ansabere,2011,Alytes obstetricans,T,14.2
Ansabere,2011,Alytes obstetricans,T,233.9
Ansabere,2011,Alytes obstetricans,T,233.6
Ansabere,2011,Alytes obstetricans,T,197.7
Ansabere,2011,Alytes obstetricans,T,6.92
Ansabere,2011,Alytes obstetricans,T,1237.9
Ansabere,2011,Alytes obstetricans,T,621
Ansabere,2011,Alytes obstetricans,T,35.2
Ansabere,2011,Alytes obstetricans,T,78.9
Ansabere,2011,Alytes obstetricans,T,110.6
Ansabere,2011,Alytes obstetricans,T,122.1
Ansabere,2011,Alytes obstetricans,T,36.2
Ansabere,2011,Alytes obstetricans,T,201.6
Ansabere,2011,Alytes obstetricans,T,26.7
Ansabere,2011,Alytes obstetricans,T,403.4
Ansabere,2011,Alytes obstetricans,T,9.94
Ansabere,2011,Alytes obstetricans,T,102.3
