Lake,Year,Species,Developmental stage,GE
Arlet,2008,Alytes obstetricans,M,234.568
Arlet,2008,Alytes obstetricans,M,3.74836
Arlet,2008,Alytes obstetricans,M,1.86959
Arlet,2008,Alytes obstetricans,M,154.35
Arlet,2008,Alytes obstetricans,M,207.74
Arlet,2008,Alytes obstetricans,M,0
Arlet,2008,Alytes obstetricans,M,1.34496
Arlet,2008,Alytes obstetricans,M,2.72041
Arlet,2008,Alytes obstetricans,M,0
Arlet,2008,Alytes obstetricans,M,58.7
Arlet,2008,Alytes obstetricans,M,0
Arlet,2008,Alytes obstetricans,M,26.3
Arlet,2008,Alytes obstetricans,M,0
Arlet,2008,Alytes obstetricans,M,0.16681
Arlet,2008,Alytes obstetricans,M,0.207914
Arlet,2008,Alytes obstetricans,M,0
Arlet,2008,Alytes obstetricans,M,0
Arlet,2008,Alytes obstetricans,M,0
Arlet,2008,Alytes obstetricans,M,26.237
Arlet,2010,Alytes obstetricans,M,1825.1
Arlet,2010,Alytes obstetricans,M,1412.4
Arlet,2010,Alytes obstetricans,M,5.16
Arlet,2010,Alytes obstetricans,M,31.6
Arlet,2010,Alytes obstetricans,M,714.2
Arlet,2010,Alytes obstetricans,M,105.4
Arlet,2010,Alytes obstetricans,M,135.1
Arlet,2010,Alytes obstetricans,M,5.89
Arlet,2010,Alytes obstetricans,M,467.3
Arlet,2010,Alytes obstetricans,M,4581.6
Arlet,2010,Alytes obstetricans,M,53.1
Arlet,2010,Alytes obstetricans,M,12.3
Arlet,2010,Alytes obstetricans,M,437.6
Arlet,2010,Alytes obstetricans,M,22
Arlet,2010,Alytes obstetricans,M,11.3
Arlet,2010,Alytes obstetricans,M,5420.7
Arlet,2010,Alytes obstetricans,M,80.1
Arlet,2010,Alytes obstetricans,M,2.56
Arlet,2010,Alytes obstetricans,M,207.5
Arlet,2010,Alytes obstetricans,M,1983.4
Arlet,2010,Alytes obstetricans,M,2214
Arlet,2010,Alytes obstetricans,M,7705.2
Arlet,2010,Alytes obstetricans,M,4016.5
Arlet,2010,Alytes obstetricans,M,2239.6
Arlet,2010,Alytes obstetricans,M,1491.6
Arlet,2010,Alytes obstetricans,M,16.5
Arlet,2010,Alytes obstetricans,M,47.4
Arlet,2010,Alytes obstetricans,M,754.4
Arlet,2010,Alytes obstetricans,M,1919.1
Arlet,2010,Alytes obstetricans,M,8802.2
Arlet,2010,Alytes obstetricans,M,19.8
Arlet,2010,Alytes obstetricans,M,0.00316
Arlet,2010,Alytes obstetricans,M,44.9
Arlet,2010,Alytes obstetricans,M,0
Arlet,2010,Alytes obstetricans,M,5.25
Arlet,2010,Alytes obstetricans,M,31.9
Arlet,2010,Alytes obstetricans,M,86.9
Arlet,2010,Alytes obstetricans,M,15846.6
Arlet,2010,Alytes obstetricans,M,6908.6
Arlet,2010,Alytes obstetricans,M,7.41
Arlet,2010,Alytes obstetricans,M,2099.1
Arlet,2010,Alytes obstetricans,M,3785.1
Arlet,2010,Alytes obstetricans,M,3720.4
