Lake,Year,Species,DevelopMetamorphental stage,GE_M
Arlet,2008,Alytes obstetricans,Metamorph,234.568
Arlet,2008,Alytes obstetricans,Metamorph,3.74836
Arlet,2008,Alytes obstetricans,Metamorph,1.86959
Arlet,2008,Alytes obstetricans,Metamorph,154.35
Arlet,2008,Alytes obstetricans,Metamorph,207.74
Arlet,2008,Alytes obstetricans,Metamorph,0
Arlet,2008,Alytes obstetricans,Metamorph,1.34496
Arlet,2008,Alytes obstetricans,Metamorph,2.72041
Arlet,2008,Alytes obstetricans,Metamorph,0
Arlet,2008,Alytes obstetricans,Metamorph,58.7
Arlet,2008,Alytes obstetricans,Metamorph,0
Arlet,2008,Alytes obstetricans,Metamorph,26.3
Arlet,2008,Alytes obstetricans,Metamorph,0
Arlet,2008,Alytes obstetricans,Metamorph,0.16681
Arlet,2008,Alytes obstetricans,Metamorph,0.207914
Arlet,2008,Alytes obstetricans,Metamorph,0
Arlet,2008,Alytes obstetricans,Metamorph,0
Arlet,2008,Alytes obstetricans,Metamorph,0
Arlet,2008,Alytes obstetricans,Metamorph,26.237
Arlet,2010,Alytes obstetricans,Metamorph,1825.1
Arlet,2010,Alytes obstetricans,Metamorph,1412.4
Arlet,2010,Alytes obstetricans,Metamorph,5.16
Arlet,2010,Alytes obstetricans,Metamorph,31.6
Arlet,2010,Alytes obstetricans,Metamorph,714.2
Arlet,2010,Alytes obstetricans,Metamorph,105.4
Arlet,2010,Alytes obstetricans,Metamorph,135.1
Arlet,2010,Alytes obstetricans,Metamorph,5.89
Arlet,2010,Alytes obstetricans,Metamorph,467.3
Arlet,2010,Alytes obstetricans,Metamorph,4581.6
Arlet,2010,Alytes obstetricans,Metamorph,53.1
Arlet,2010,Alytes obstetricans,Metamorph,12.3
Arlet,2010,Alytes obstetricans,Metamorph,437.6
Arlet,2010,Alytes obstetricans,Metamorph,22
Arlet,2010,Alytes obstetricans,Metamorph,11.3
Arlet,2010,Alytes obstetricans,Metamorph,5420.7
Arlet,2010,Alytes obstetricans,Metamorph,80.1
Arlet,2010,Alytes obstetricans,Metamorph,2.56
Arlet,2010,Alytes obstetricans,Metamorph,207.5
Arlet,2010,Alytes obstetricans,Metamorph,1983.4
Arlet,2010,Alytes obstetricans,Metamorph,2214
