Lake,Year,Species,Developmental stage,GE_T
Arlet,2008,Alytes obstetricans,Over-wintered larva,72.8948
Arlet,2008,Alytes obstetricans,Over-wintered larva,2.03634
Arlet,2008,Alytes obstetricans,Over-wintered larva,829.908
Arlet,2008,Alytes obstetricans,Over-wintered larva,20.688
Arlet,2008,Alytes obstetricans,Over-wintered larva,22.5548
Arlet,2008,Alytes obstetricans,Over-wintered larva,16.4527
Arlet,2008,Alytes obstetricans,Over-wintered larva,2.54069
Arlet,2008,Alytes obstetricans,Over-wintered larva,76.5073
Arlet,2008,Alytes obstetricans,Over-wintered larva,48.6417
Arlet,2008,Alytes obstetricans,Over-wintered larva,19.1635
Arlet,2008,Alytes obstetricans,Over-wintered larva,6.08749
Arlet,2009,Alytes obstetricans ,Over-wintered larva,39.9356
Arlet,2009,Alytes obstetricans ,Over-wintered larva,12.1621
Arlet,2009,Alytes obstetricans ,Over-wintered larva,4.46719
Arlet,2009,Alytes obstetricans ,Over-wintered larva,156.024
Arlet,2009,Alytes obstetricans ,Over-wintered larva,69.2572
Arlet,2009,Alytes obstetricans ,Over-wintered larva,78.5974
Arlet,2009,Alytes obstetricans ,Over-wintered larva,541.831
Arlet,2009,Alytes obstetricans ,Over-wintered larva,890.209
Arlet,2009,Alytes obstetricans ,Over-wintered larva,51.1326
Arlet,2009,Alytes obstetricans ,Over-wintered larva,3.74461
Arlet,2009,Alytes obstetricans ,Over-wintered larva,62.9659
Arlet,2009,Alytes obstetricans ,Over-wintered larva,97.8652
Arlet,2009,Alytes obstetricans ,Over-wintered larva,216.314
Arlet,2009,Alytes obstetricans ,Over-wintered larva,28.6615
Arlet,2009,Alytes obstetricans ,Over-wintered larva,0
Arlet,2009,Alytes obstetricans ,Over-wintered larva,574.007
Arlet,2009,Alytes obstetricans ,Over-wintered larva,10.1335
Arlet,2009,Alytes obstetricans ,Over-wintered larva,0.039835
Arlet,2009,Alytes obstetricans ,Over-wintered larva,714.584
Arlet,2009,Alytes obstetricans ,Over-wintered larva,41.4333
Arlet,2009,Alytes obstetricans ,Over-wintered larva,3.75801
Arlet,2009,Alytes obstetricans ,Over-wintered larva,7.52496
Arlet,2009,Alytes obstetricans ,Over-wintered larva,257.248
Arlet,2009,Alytes obstetricans ,Over-wintered larva,115.604
Arlet,2009,Alytes obstetricans ,Over-wintered larva,129.775
Arlet,2009,Alytes obstetricans ,Over-wintered larva,32.0477
Arlet,2009,Alytes obstetricans ,Over-wintered larva,320.937
Arlet,2009,Alytes obstetricans ,Over-wintered larva,98.0123
Arlet,2009,Alytes obstetricans ,Over-wintered larva,462.369
Arlet,2011,Alytes obstetricans,Over-wintered larva,130.8
Arlet,2011,Alytes obstetricans,Over-wintered larva,71
Arlet,2011,Alytes obstetricans,Over-wintered larva,108.9
Arlet,2011,Alytes obstetricans,Over-wintered larva,150.2
Arlet,2011,Alytes obstetricans,Over-wintered larva,259.4
Arlet,2011,Alytes obstetricans,Over-wintered larva,80.9
Arlet,2011,Alytes obstetricans,Over-wintered larva,36
Arlet,2011,Alytes obstetricans,Over-wintered larva,502.9
Arlet,2011,Alytes obstetricans,Over-wintered larva,17.6
Arlet,2011,Alytes obstetricans,Over-wintered larva,32.9
Arlet,2011,Alytes obstetricans,Over-wintered larva,467.8
Arlet,2011,Alytes obstetricans,Over-wintered larva,56.3
Arlet,2011,Alytes obstetricans,Over-wintered larva,147
Arlet,2011,Alytes obstetricans,Over-wintered larva,227.1
Arlet,2011,Alytes obstetricans,Over-wintered larva,162.6
Arlet,2011,Alytes obstetricans,Over-wintered larva,72.4
Arlet,2011,Alytes obstetricans,Over-wintered larva,200.1
Arlet,2011,Alytes obstetricans,Over-wintered larva,122.7
Arlet,2011,Alytes obstetricans,Over-wintered larva,135
Arlet,2011,Alytes obstetricans,Over-wintered larva,123.6
Arlet,2011,Alytes obstetricans,Over-wintered larva,98.5
Arlet,2011,Alytes obstetricans,Over-wintered larva,94.9
Arlet,2011,Alytes obstetricans,Over-wintered larva,129.3
Arlet,2011,Alytes obstetricans,Over-wintered larva,242.9
Arlet,2011,Alytes obstetricans,Over-wintered larva,8.59
Arlet,2011,Alytes obstetricans,Over-wintered larva,665.7
Arlet,2011,Alytes obstetricans,Over-wintered larva,218.6
Arlet,2011,Alytes obstetricans,Over-wintered larva,69.4
Arlet,2011,Alytes obstetricans,Over-wintered larva,282.9
Arlet,2011,Alytes obstetricans,Over-wintered larva,101
Arlet,2012,Alytes obstetricans,Over-wintered larva,19.4
Arlet,2012,Alytes obstetricans,Over-wintered larva,20.6
Arlet,2012,Alytes obstetricans,Over-wintered larva,13.6
Arlet,2012,Alytes obstetricans,Over-wintered larva,28.2
Arlet,2012,Alytes obstetricans,Over-wintered larva,75.5
Arlet,2012,Alytes obstetricans,Over-wintered larva,60.1
Arlet,2012,Alytes obstetricans,Over-wintered larva,71.6
Arlet,2012,Alytes obstetricans,Over-wintered larva,41.3
Arlet,2012,Alytes obstetricans,Over-wintered larva,14
Arlet,2012,Alytes obstetricans,Over-wintered larva,60.8
Arlet,2012,Alytes obstetricans,Over-wintered larva,10.7
Arlet,2012,Alytes obstetricans,Over-wintered larva,22.4
Arlet,2012,Alytes obstetricans,Over-wintered larva,35.6
Arlet,2012,Alytes obstetricans,Over-wintered larva,345.8
Arlet,2012,Alytes obstetricans,Over-wintered larva,63.8
Arlet,2012,Alytes obstetricans,Over-wintered larva,290.9
Arlet,2012,Alytes obstetricans,Over-wintered larva,32.1
Arlet,2012,Alytes obstetricans,Over-wintered larva,81.3
Arlet,2012,Alytes obstetricans,Over-wintered larva,5.58
Arlet,2012,Alytes obstetricans,Over-wintered larva,30.5
Arlet,2012,Alytes obstetricans,Over-wintered larva,10.9
Arlet,2012,Alytes obstetricans,Over-wintered larva,32.5
Arlet,2012,Alytes obstetricans,Over-wintered larva,78.6
Arlet,2012,Alytes obstetricans,Over-wintered larva,89.1
Arlet,2012,Alytes obstetricans,Over-wintered larva,157.8
Arlet,2012,Alytes obstetricans,Over-wintered larva,228.8
Arlet,2012,Alytes obstetricans,Over-wintered larva,76.6
Arlet,2012,Alytes obstetricans,Over-wintered larva,81.1
Arlet,2012,Alytes obstetricans,Over-wintered larva,35.4
Arlet,2012,Alytes obstetricans,Over-wintered larva,157.1
Arlet,2013,Alytes obstetricans,Over-wintered larva,95.64107895
Arlet,2013,Alytes obstetricans,Over-wintered larva,98.2988739
Arlet,2013,Alytes obstetricans,Over-wintered larva,160.0776482
Arlet,2013,Alytes obstetricans,Over-wintered larva,495.1570129
Arlet,2013,Alytes obstetricans,Over-wintered larva,104.0537834
Arlet,2013,Alytes obstetricans,Over-wintered larva,12.92002201
Arlet,2013,Alytes obstetricans,Over-wintered larva,8.191801906
Arlet,2013,Alytes obstetricans,Over-wintered larva,11.33094072
