Lake,Year,Species,Developmental stage,GE
Arlet,2008,Bufo bufo,M,0
Arlet,2008,Bufo bufo,M,0
Arlet,2008,Bufo bufo,M,0
Arlet,2008,Bufo bufo,M,0
Arlet,2008,Bufo bufo,M,0
Arlet,2008,Bufo bufo,M,0
Arlet,2008,Bufo bufo,M,0.642968
Arlet,2008,Bufo bufo,M,0
Arlet,2008,Bufo bufo,M,1.39501
Arlet,2008,Bufo bufo,M,0.378954
Arlet,2008,Bufo bufo,M,0
Arlet,2008,Bufo bufo,M,0
Arlet,2008,Bufo bufo,M,0.702246
Arlet,2008,Bufo bufo,M,0.212438
Arlet,2008,Bufo bufo,M,0
Arlet,2008,Bufo bufo,M,0.494151
Arlet,2008,Bufo bufo,M,0.199977
Arlet,2008,Bufo bufo,M,0.309261
Arlet,2008,Bufo bufo,M,0
Arlet,2008,Bufo bufo,M,0
Arlet,2008,Bufo bufo,M,0.104953
Arlet,2008,Bufo bufo,M,0
Arlet,2008,Bufo bufo,M,0.0726088
Arlet,2008,Bufo bufo,M,0.0973782
Arlet,2008,Bufo bufo,M,0
Arlet,2008,Bufo bufo,M,0
Arlet,2010,Bufo bufo,M,1.05475
Arlet,2010,Bufo bufo,M,9.51638
Arlet,2010,Bufo bufo,M,6.84503
Arlet,2010,Bufo bufo,M,24.8698
Arlet,2010,Bufo bufo,M,0
Arlet,2010,Bufo bufo,M,0
Arlet,2010,Bufo bufo,M,0.649163
Arlet,2010,Bufo bufo,M,4.99436
Arlet,2010,Bufo bufo,M,67.6824
Arlet,2010,Bufo bufo,M,0
Arlet,2010,Bufo bufo,M,1.72034
Arlet,2010,Bufo bufo,M,0.278119
Arlet,2010,Bufo bufo,M,0.624959
Arlet,2010,Bufo bufo,M,0.887936
Arlet,2010,Bufo bufo,M,0.621252
Arlet,2010,Bufo bufo,M,0.269443
Arlet,2010,Bufo bufo,M,0.180019
Arlet,2010,Bufo bufo,M,0.260385
Arlet,2010,Bufo bufo,M,1.94484
Arlet,2010,Bufo bufo,M,2.12655
Arlet,2010,Bufo bufo,M,2.15697
Arlet,2010,Bufo bufo,M,0.542882
Arlet,2010,Bufo bufo,M,0.645829
Arlet,2010,Bufo bufo,M,1.63368
Arlet,2010,Bufo bufo,M,0.524217
Arlet,2010,Bufo bufo,M,0.0996201
Arlet,2010,Bufo bufo,M,0.078319
Arlet,2010,Bufo bufo,M,0.22426
Arlet,2010,Bufo bufo,M,0.291206
Arlet,2010,Bufo bufo,M,0.495342
Arlet,2011,Bufo bufo,M,4.72
Arlet,2011,Bufo bufo,M,14.5
Arlet,2011,Bufo bufo,M,36.2
Arlet,2011,Bufo bufo,M,63.9
Arlet,2011,Bufo bufo,M,23.8
Arlet,2011,Bufo bufo,M,9.64
Arlet,2011,Bufo bufo,M,0.297
Arlet,2011,Bufo bufo,M,2.75
Arlet,2011,Bufo bufo,M,745.2
Arlet,2011,Bufo bufo,M,261
Arlet,2011,Bufo bufo,M,9.88
Arlet,2011,Bufo bufo,M,14.1
Arlet,2011,Bufo bufo,M,526.4
Arlet,2011,Bufo bufo,M,26.9
Arlet,2011,Bufo bufo,M,10.3
Arlet,2011,Bufo bufo,M,104.7
Arlet,2011,Bufo bufo,M,2.87
Arlet,2011,Bufo bufo,M,21.1
Arlet,2011,Bufo bufo,M,0.17
Arlet,2011,Bufo bufo,M,10.1
Arlet,2011,Bufo bufo,M,2114.9
Arlet,2011,Bufo bufo,M,7.62
Arlet,2011,Bufo bufo,M,0.527
Arlet,2011,Bufo bufo,M,2.5
Arlet,2011,Bufo bufo,M,77.2
