Lake,Year,Species,Developmental stage,GE
Arlet,2008,Rana temporaria,M,2.53
Arlet,2008,Rana temporaria,M,0
Arlet,2008,Rana temporaria,M,0
Arlet,2008,Rana temporaria,M,0
Arlet,2008,Rana temporaria,M,0
Arlet,2008,Rana temporaria,M,1.18
Arlet,2008,Rana temporaria,M,0
Arlet,2008,Rana temporaria,M,1.89
Arlet,2008,Rana temporaria,M,0
Arlet,2008,Rana temporaria,M,5.8
Arlet,2008,Rana temporaria,M,0
Arlet,2008,Rana temporaria,M,0
Arlet,2008,Rana temporaria,M,13.4
Arlet,2008,Rana temporaria,M,0
Arlet,2008,Rana temporaria,M,0
Arlet,2008,Rana temporaria,M,42.6
Arlet,2008,Rana temporaria,M,0
Arlet,2008,Rana temporaria,M,0
Arlet,2008,Rana temporaria,M,35.1
Arlet,2008,Rana temporaria,M,6.56
Arlet,2008,Rana temporaria,M,0
Arlet,2008,Rana temporaria,M,0
Arlet,2008,Rana temporaria,M,292.2
Arlet,2008,Rana temporaria,M,0
Arlet,2008,Rana temporaria,M,0
Arlet,2008,Rana temporaria,M,0
Arlet,2008,Rana temporaria,M,10.6
Arlet,2008,Rana temporaria,M,0
Arlet,2008,Rana temporaria,M,0
Arlet,2008,Rana temporaria,M,0
Arlet,2008,Rana temporaria,M,0
Arlet,2008,Rana temporaria,M,0
Arlet,2010,Rana temporaria,M,8.72
Arlet,2010,Rana temporaria,M,3.97
Arlet,2010,Rana temporaria,M,0.0731
Arlet,2010,Rana temporaria,M,251.4
Arlet,2010,Rana temporaria,M,10.5
Arlet,2010,Rana temporaria,M,329.4
Arlet,2010,Rana temporaria,M,14.5
Arlet,2010,Rana temporaria,M,0
Arlet,2010,Rana temporaria,M,15.1
Arlet,2010,Rana temporaria,M,13.5
Arlet,2010,Rana temporaria,M,0.121
Arlet,2010,Rana temporaria,M,0.237903
Arlet,2010,Rana temporaria,M,0.564273
Arlet,2010,Rana temporaria,M,1.61946
Arlet,2010,Rana temporaria,M,1.80556
Arlet,2010,Rana temporaria,M,0.813314
Arlet,2010,Rana temporaria,M,2.47339
Arlet,2010,Rana temporaria,M,0.745917
Arlet,2010,Rana temporaria,M,1.41721
Arlet,2010,Rana temporaria,M,1.4793
Arlet,2010,Rana temporaria,M,0
Arlet,2010,Rana temporaria,M,8.20151
Arlet,2010,Rana temporaria,M,2.35612
Arlet,2010,Rana temporaria,M,1.0109
Arlet,2010,Rana temporaria,M,3.15868
Arlet,2010,Rana temporaria,M,7.70516
Arlet,2010,Rana temporaria,M,5.22284
Arlet,2010,Rana temporaria,M,1.39405
Arlet,2010,Rana temporaria,M,0.146013
Arlet,2010,Rana temporaria,M,0.397312
Arlet,2010,Rana temporaria,M,1.17533
Arlet,2010,Rana temporaria,M,1.39004
Arlet,2010,Rana temporaria,M,0.524993
Arlet,2010,Rana temporaria,M,0.975505
