Lake,Year,Species,Developmental stage,GE
Arlet,2008,Rana temporaria,Metamorph,2.53
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,1.18
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,1.89
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,5.8
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,13.4
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,42.6
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,35.1
Arlet,2008,Rana temporaria,Metamorph,6.56
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,292.2
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,10.6
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2008,Rana temporaria,Metamorph,0
Arlet,2010,Rana temporaria,Metamorph,8.72
Arlet,2010,Rana temporaria,Metamorph,3.97
Arlet,2010,Rana temporaria,Metamorph,0.0731
Arlet,2010,Rana temporaria,Metamorph,251.4
Arlet,2010,Rana temporaria,Metamorph,10.5
Arlet,2010,Rana temporaria,Metamorph,329.4
Arlet,2010,Rana temporaria,Metamorph,14.5
Arlet,2010,Rana temporaria,Metamorph,0
Arlet,2010,Rana temporaria,Metamorph,15.1
Arlet,2010,Rana temporaria,Metamorph,13.5
Arlet,2010,Rana temporaria,Metamorph,0.121
Arlet,2010,Rana temporaria,Metamorph,0.237903
Arlet,2010,Rana temporaria,Metamorph,0.564273
Arlet,2010,Rana temporaria,Metamorph,1.61946
Arlet,2010,Rana temporaria,Metamorph,1.80556
Arlet,2010,Rana temporaria,Metamorph,0.813314
Arlet,2010,Rana temporaria,Metamorph,2.47339
Arlet,2010,Rana temporaria,Metamorph,0.745917
Arlet,2010,Rana temporaria,Metamorph,1.41721
Arlet,2010,Rana temporaria,Metamorph,1.4793
Arlet,2010,Rana temporaria,Metamorph,0
Arlet,2010,Rana temporaria,Metamorph,8.20151
Arlet,2010,Rana temporaria,Metamorph,2.35612
Arlet,2010,Rana temporaria,Metamorph,1.0109
Arlet,2010,Rana temporaria,Metamorph,3.15868
Arlet,2010,Rana temporaria,Metamorph,7.70516
Arlet,2010,Rana temporaria,Metamorph,5.22284
Arlet,2010,Rana temporaria,Metamorph,1.39405
Arlet,2010,Rana temporaria,Metamorph,0.146013
Arlet,2010,Rana temporaria,Metamorph,0.397312
