Lake,Year,GE_M,GE_T
Acherito,2008,3246.838508,118.9537143
Acherito,2009,54.89613072,147.6779094
Acherito,2010,43.51418913,
Acherito,2011,,182.58978
Acherito,2012,1.137495,123.1343333
Acherito,2013,,
Acherito,2014,6.002,33.124
Acherito,2015,1.146064143,
Acherito,2016,35.36645542,
Acherito,2017,0.268634368,0.766404582
Acherito,2018,1.942062696,11.6394325
Ansabere,2008,,297.0974547
Ansabere,2009,,296.2843241
Ansabere,2010,162.334,
Ansabere,2011,456.8248571,152.6397881
Ansabere,2012,0.102875,235.774625
Ansabere,2013,,
Ansabere,2014,,287.8195413
Ansabere,2015,160.2832237,
Ansabere,2016,11.3473824,159.1633833
Ansabere,2017,,0
Ansabere,2018,,
Arlet,2008,37.78700232,101.5886655
Arlet,2009,306.5815065,173.1255484
Arlet,2010,3298.683032,
Arlet,2011,1796.52942,167.233
Arlet,2012,6954.176891,75.72266667
Arlet,2013,456.7359576,643.3667746
Arlet,2014,14208.91717,
Arlet,2015,229.9863424,
Arlet,2016,1757.732195,110.5916864
Arlet,2017,380.5391005,
Arlet,2018,86.0804781,0
Puits,2008,84.16977137,30.83162973
Puits,2009,,71.56308413
Puits,2010,157.9627027,133.4752127
Puits,2011,1641.100579,
Puits,2012,,
Puits,2013,,
Puits,2014,4307.15733,139.5177859
Puits,2015,0.945358571,
Puits,2016,53.31206464,218.9291513
Puits,2017,34.04705894,
Puits,2018,433.5707839,
