Lake,Year,Species,Developmental stage,GE
Puits,2008,Alytes obstetricans,M,11.1906
Puits,2008,Alytes obstetricans,M,741.034
Puits,2008,Alytes obstetricans,M,0
Puits,2008,Alytes obstetricans,M,463.857
Puits,2008,Alytes obstetricans,M,4.00097
Puits,2008,Alytes obstetricans,M,21.7
Puits,2008,Alytes obstetricans,M,0
Puits,2008,Alytes obstetricans,M,0
Puits,2008,Alytes obstetricans,M,0
Puits,2008,Alytes obstetricans,M,0
Puits,2008,Alytes obstetricans,M,4.02
Puits,2008,Alytes obstetricans,M,0
Puits,2008,Alytes obstetricans,M,1.26
Puits,2008,Alytes obstetricans,M,0
Puits,2008,Alytes obstetricans,M,231.7
Puits,2008,Alytes obstetricans,M,1.13032
Puits,2008,Alytes obstetricans,M,7.91471
Puits,2008,Alytes obstetricans,M,0.619056
Puits,2008,Alytes obstetricans,M,110.799
Puits,2010,Alytes obstetricans,M,88.1
Puits,2010,Alytes obstetricans,M,11.9
Puits,2010,Alytes obstetricans,M,3.69
Puits,2010,Alytes obstetricans,M,47.6
Puits,2010,Alytes obstetricans,M,72.5
Puits,2010,Alytes obstetricans,M,25.1
Puits,2010,Alytes obstetricans,M,69.2
Puits,2010,Alytes obstetricans,M,30.5
Puits,2010,Alytes obstetricans,M,13.6
Puits,2010,Alytes obstetricans,M,1243
Puits,2010,Alytes obstetricans,M,712.5
Puits,2010,Alytes obstetricans,M,821.3
Puits,2010,Alytes obstetricans,M,13.8
Puits,2010,Alytes obstetricans,M,21.1
Puits,2010,Alytes obstetricans,M,317.6
Puits,2010,Alytes obstetricans,M,150
Puits,2010,Alytes obstetricans,M,122.6
Puits,2010,Alytes obstetricans,M,62.4
Puits,2010,Alytes obstetricans,M,32.5
Puits,2010,Alytes obstetricans,M,57.5
Puits,2010,Alytes obstetricans,M,1.4
Puits,2010,Alytes obstetricans,M,25.4
Puits,2010,Alytes obstetricans,M,1344.6
Puits,2010,Alytes obstetricans,M,42.6
Puits,2010,Alytes obstetricans,M,71
Puits,2010,Alytes obstetricans,M,102.3
Puits,2010,Alytes obstetricans,M,3.68
Puits,2010,Alytes obstetricans,M,45.6
Puits,2010,Alytes obstetricans,M,84.1
Puits,2010,Alytes obstetricans,M,3.73
Puits,2010,Alytes obstetricans,M,118.5
Puits,2010,Alytes obstetricans,M,0.622
Puits,2010,Alytes obstetricans,M,83.3
Puits,2010,Alytes obstetricans,M,0
Puits,2010,Alytes obstetricans,M,0.482
Puits,2010,Alytes obstetricans,M,0.816
Puits,2010,Alytes obstetricans,M,0
Puits,2011,Alytes obstetricans,M,163.8
Puits,2011,Alytes obstetricans,M,3248.1
Puits,2011,Alytes obstetricans,M,0
Puits,2011,Alytes obstetricans,M,1007.7
Puits,2011,Alytes obstetricans,M,965.8
Puits,2011,Alytes obstetricans,M,1123.2
Puits,2011,Alytes obstetricans,M,773.6
Puits,2011,Alytes obstetricans,M,1378
Puits,2011,Alytes obstetricans,M,4615.4
Puits,2011,Alytes obstetricans,M,6.95
Puits,2011,Alytes obstetricans,M,7543.6
Puits,2011,Alytes obstetricans,M,1099.1
Puits,2011,Alytes obstetricans,M,10606.3
Puits,2011,Alytes obstetricans,M,875.3
Puits,2011,Alytes obstetricans,M,269
Puits,2011,Alytes obstetricans,M,272.2
Puits,2011,Alytes obstetricans,M,2041.1
Puits,2011,Alytes obstetricans,M,796.1
Puits,2011,Alytes obstetricans,M,2617.4
Puits,2011,Alytes obstetricans,M,1546.9
Puits,2011,Alytes obstetricans,M,57.8
Puits,2011,Alytes obstetricans,M,288.1
Puits,2011,Alytes obstetricans,M,4999.2
Puits,2011,Alytes obstetricans,M,47.4
Puits,2011,Alytes obstetricans,M,1822.8
Puits,2011,Alytes obstetricans,M,1681.6
Puits,2011,Alytes obstetricans,M,24.3
Puits,2011,Alytes obstetricans,M,38.8
Puits,2011,Alytes obstetricans,M,271.5
Puits,2011,Alytes obstetricans,M,962.3
Puits,2011,Alytes obstetricans,M,1769.5
Puits,2011,Alytes obstetricans,M,2.46
Puits,2011,Alytes obstetricans,M,8.94
Puits,2011,Alytes obstetricans,M,20.5
Puits,2011,Alytes obstetricans,M,1.11
Puits,2011,Alytes obstetricans,M,13
Puits,2011,Alytes obstetricans,M,0.262
Puits,2011,Alytes obstetricans,M,9402.7
Puits,2014,Alytes obstetricans,M,10.6242156
Puits,2014,Alytes obstetricans,M,44.53736305
Puits,2014,Alytes obstetricans,M,23.61938953
Puits,2014,Alytes obstetricans,M,21358.44727
Puits,2014,Alytes obstetricans,M,12990.48096
Puits,2014,Alytes obstetricans,M,0.07081015
Puits,2014,Alytes obstetricans,M,3.381159902
Puits,2014,Alytes obstetricans,M,26.09746933
Puits,2015,Alytes obstetricans,M,6.61751
Puits,2015,Alytes obstetricans,M,0
Puits,2015,Alytes obstetricans,M,0
Puits,2015,Alytes obstetricans,M,0
Puits,2015,Alytes obstetricans,M,0
Puits,2015,Alytes obstetricans,M,0
Puits,2015,Alytes obstetricans,M,0
Puits,2016,Alytes obstetricans,M,2.40484
Puits,2016,Alytes obstetricans,M,16.5954
Puits,2016,Alytes obstetricans,M,1.34937
Puits,2016,Alytes obstetricans,M,0.784095
Puits,2016,Alytes obstetricans,M,34.4388
Puits,2016,Alytes obstetricans,M,59.9574
Puits,2016,Alytes obstetricans,M,250.681
Puits,2016,Alytes obstetricans,M,11.1942
Puits,2016,Alytes obstetricans,M,132.229
Puits,2016,Alytes obstetricans,M,62.9049
Puits,2016,Alytes obstetricans,M,2.6116
Puits,2016,Alytes obstetricans,M,17.2719
Puits,2016,Alytes obstetricans,M,76.9732
Puits,2016,Alytes obstetricans,M,76.9732
Puits,2017,Alytes obstetricans,M,0.025736189
Puits,2017,Alytes obstetricans,M,0.435740799
Puits,2017,Alytes obstetricans,M,4.761987925
Puits,2017,Alytes obstetricans,M,4.797229767
Puits,2017,Alytes obstetricans,M,0.143424831
Puits,2017,Alytes obstetricans,M,127.411747
Puits,2017,Alytes obstetricans,M,6.49364531
Puits,2017,Alytes obstetricans,M,108.0127335
Puits,2017,Alytes obstetricans,M,0.000324944
Puits,2017,Alytes obstetricans,M,336.0533905
Puits,2017,Alytes obstetricans,M,23.04122448
Puits,2017,Alytes obstetricans,M,0.426039211
Puits,2017,Alytes obstetricans,M,0.425822623
Puits,2017,Alytes obstetricans,M,0.805941522
Puits,2017,Alytes obstetricans,M,0
Puits,2017,Alytes obstetricans,M,0.010283468
Puits,2017,Alytes obstetricans,M,0.001788846
Puits,2017,Alytes obstetricans,M,0
Puits,2018,Alytes obstetricans ,M,7504.686279
Puits,2018,Alytes obstetricans ,M,99.27143097
Puits,2018,Alytes obstetricans ,M,33.41166735
Puits,2018,Alytes obstetricans ,M,0
Puits,2018,Alytes obstetricans ,M,156.4380264
Puits,2018,Alytes obstetricans ,M,48.0323267
Puits,2018,Alytes obstetricans ,M,104.4153786
Puits,2018,Alytes obstetricans ,M,0.350726657
Puits,2018,Alytes obstetricans ,M,26.01686001
Puits,2018,Alytes obstetricans ,M,0.000265728
Puits,2018,Alytes obstetricans ,M,1.233115792
Puits,2018,Alytes obstetricans ,M,362.2753906
Puits,2018,Alytes obstetricans ,M,64.1314888
Puits,2018,Alytes obstetricans ,M,6.15703702
Puits,2018,Alytes obstetricans ,M,161.8274231
Puits,2018,Alytes obstetricans ,M,5.844666481
Puits,2018,Alytes obstetricans ,M,59.24713898
Puits,2018,Alytes obstetricans ,M,28.54135704
Puits,2018,Alytes obstetricans ,M,3.246804476
Puits,2018,Alytes obstetricans ,M,6.288295269
Puits,2008,Alytes obstetricans,T,5.77364
Puits,2008,Alytes obstetricans,T,6.22426
Puits,2008,Alytes obstetricans,T,4.15231
Puits,2008,Alytes obstetricans,T,24.7544
Puits,2008,Alytes obstetricans,T,17.4312
Puits,2008,Alytes obstetricans,T,143.79
Puits,2008,Alytes obstetricans,T,0.126214
Puits,2008,Alytes obstetricans,T,5.975
Puits,2008,Alytes obstetricans,T,33.0656
Puits,2008,Alytes obstetricans,T,53.3771
Puits,2008,Alytes obstetricans,T,1.69613
Puits,2008,Alytes obstetricans,T,1.01
Puits,2008,Alytes obstetricans,T,52.29
Puits,2008,Alytes obstetricans,T,45.86
Puits,2008,Alytes obstetricans,T,11.84
Puits,2008,Alytes obstetricans,T,34.52
Puits,2008,Alytes obstetricans,T,10.97
Puits,2008,Alytes obstetricans,T,48.92
Puits,2008,Alytes obstetricans,T,4.13
Puits,2008,Alytes obstetricans,T,65.63
Puits,2008,Alytes obstetricans,T,22.09
Puits,2008,Alytes obstetricans,T,84.67
Puits,2009,Alytes obstetricans ,T,6.47455
Puits,2009,Alytes obstetricans ,T,0.0007
Puits,2009,Alytes obstetricans ,T,0.327962
Puits,2009,Alytes obstetricans ,T,18.6475
Puits,2009,Alytes obstetricans ,T,0.218432
Puits,2009,Alytes obstetricans ,T,2.24152
Puits,2009,Alytes obstetricans ,T,113.937
Puits,2009,Alytes obstetricans ,T,131.317
Puits,2009,Alytes obstetricans ,T,135.889
Puits,2009,Alytes obstetricans ,T,233.376
Puits,2009,Alytes obstetricans ,T,326.461
Puits,2009,Alytes obstetricans ,T,270.586
Puits,2009,Alytes obstetricans ,T,12.9168
Puits,2009,Alytes obstetricans ,T,7.49804
Puits,2009,Alytes obstetricans ,T,4.98864
Puits,2009,Alytes obstetricans ,T,64.9071
Puits,2009,Alytes obstetricans ,T,60.6859
Puits,2009,Alytes obstetricans ,T,28.7077
Puits,2009,Alytes obstetricans ,T,96.483
Puits,2009,Alytes obstetricans ,T,187.42
Puits,2009,Alytes obstetricans ,T,12.9186
Puits,2009,Alytes obstetricans ,T,59.4637
Puits,2009,Alytes obstetricans ,T,1.04121
Puits,2009,Alytes obstetricans ,T,3.98579
Puits,2009,Alytes obstetricans ,T,2.39283
Puits,2009,Alytes obstetricans ,T,1.97815
Puits,2009,Alytes obstetricans ,T,106.987
Puits,2009,Alytes obstetricans ,T,17.9164
Puits,2009,Alytes obstetricans ,T,21.291
Puits,2009,Alytes obstetricans ,T,215.834
Puits,2010,Alytes obstetricans,T,190.899
Puits,2010,Alytes obstetricans,T,307.754
Puits,2010,Alytes obstetricans,T,66.3692
Puits,2010,Alytes obstetricans,T,255.241
Puits,2010,Alytes obstetricans,T,240.093
Puits,2010,Alytes obstetricans,T,174.69
Puits,2010,Alytes obstetricans,T,197.316
Puits,2010,Alytes obstetricans,T,87.3089
Puits,2010,Alytes obstetricans,T,68.9608
Puits,2010,Alytes obstetricans,T,104.717
Puits,2010,Alytes obstetricans,T,336.844
Puits,2010,Alytes obstetricans,T,758.65
Puits,2010,Alytes obstetricans,T,82.7293
Puits,2010,Alytes obstetricans,T,14.9736
Puits,2010,Alytes obstetricans,T,126.324
Puits,2010,Alytes obstetricans,T,21.93
Puits,2010,Alytes obstetricans,T,75.1989
Puits,2010,Alytes obstetricans,T,27.0143
Puits,2010,Alytes obstetricans,T,33.8454
Puits,2010,Alytes obstetricans,T,49.2348
Puits,2010,Alytes obstetricans,T,45.0182
Puits,2010,Alytes obstetricans,T,37.7886
Puits,2010,Alytes obstetricans,T,108.879
Puits,2010,Alytes obstetricans,T,55.304
Puits,2010,Alytes obstetricans,T,110.547
Puits,2010,Alytes obstetricans,T,77.9312
Puits,2010,Alytes obstetricans,T,366.072
Puits,2010,Alytes obstetricans,T,73.2285
Puits,2010,Alytes obstetricans,T,53.2401
Puits,2010,Alytes obstetricans,T,65.9523
Puits,2010,Alytes obstetricans,T,94.9782
Puits,2010,Alytes obstetricans,T,123.297
Puits,2010,Alytes obstetricans,T,200.607
Puits,2010,Alytes obstetricans,T,17.8201
Puits,2010,Alytes obstetricans,T,84.4691
Puits,2010,Alytes obstetricans,T,20.4483
Puits,2010,Alytes obstetricans,T,163.117
Puits,2010,Alytes obstetricans,T,8.58332
Puits,2010,Alytes obstetricans,T,27.5096
Puits,2010,Alytes obstetricans,T,355.3
Puits,2010,Alytes obstetricans,T,162.3
Puits,2014,Alytes obstetricans,T,193.6576271
Puits,2014,Alytes obstetricans,T,111.8371582
Puits,2014,Alytes obstetricans,T,224.3280411
Puits,2014,Alytes obstetricans,T,28.21166992
Puits,2014,Alytes obstetricans,T,184.3288231
Puits,2014,Alytes obstetricans,T,243.0524635
Puits,2014,Alytes obstetricans,T,216.143074
Puits,2014,Alytes obstetricans,T,140.6454086
Puits,2014,Alytes obstetricans,T,25.13738394
Puits,2014,Alytes obstetricans,T,10.84063768
Puits,2014,Alytes obstetricans,T,105.1032448
Puits,2014,Alytes obstetricans,T,5.761060119
