Lake,Year,Species,Developmental stage,GE
Puits,2008,Alytes obstetricans,Metamorph,11.1906
Puits,2008,Alytes obstetricans,Metamorph,741.034
Puits,2008,Alytes obstetricans,Metamorph,0
Puits,2008,Alytes obstetricans,Metamorph,463.857
Puits,2008,Alytes obstetricans,Metamorph,4.00097
Puits,2008,Alytes obstetricans,Metamorph,21.7
Puits,2008,Alytes obstetricans,Metamorph,0
Puits,2008,Alytes obstetricans,Metamorph,0
Puits,2008,Alytes obstetricans,Metamorph,0
Puits,2008,Alytes obstetricans,Metamorph,0
Puits,2008,Alytes obstetricans,Metamorph,4.02
Puits,2008,Alytes obstetricans,Metamorph,0
Puits,2008,Alytes obstetricans,Metamorph,1.26
Puits,2008,Alytes obstetricans,Metamorph,0
Puits,2008,Alytes obstetricans,Metamorph,231.7
Puits,2008,Alytes obstetricans,Metamorph,1.13032
Puits,2008,Alytes obstetricans,Metamorph,7.91471
Puits,2008,Alytes obstetricans,Metamorph,0.619056
Puits,2008,Alytes obstetricans,Metamorph,110.799
Puits,2010,Alytes obstetricans,Metamorph,88.1
Puits,2010,Alytes obstetricans,Metamorph,11.9
Puits,2010,Alytes obstetricans,Metamorph,3.69
Puits,2010,Alytes obstetricans,Metamorph,47.6
Puits,2010,Alytes obstetricans,Metamorph,72.5
Puits,2010,Alytes obstetricans,Metamorph,25.1
Puits,2010,Alytes obstetricans,Metamorph,69.2
Puits,2010,Alytes obstetricans,Metamorph,30.5
Puits,2010,Alytes obstetricans,Metamorph,13.6
Puits,2010,Alytes obstetricans,Metamorph,1243
Puits,2010,Alytes obstetricans,Metamorph,712.5
Puits,2010,Alytes obstetricans,Metamorph,821.3
Puits,2010,Alytes obstetricans,Metamorph,13.8
Puits,2010,Alytes obstetricans,Metamorph,21.1
Puits,2010,Alytes obstetricans,Metamorph,317.6
Puits,2010,Alytes obstetricans,Metamorph,150
Puits,2010,Alytes obstetricans,Metamorph,122.6
Puits,2010,Alytes obstetricans,Metamorph,62.4
Puits,2010,Alytes obstetricans,Metamorph,32.5
Puits,2010,Alytes obstetricans,Metamorph,57.5
Puits,2010,Alytes obstetricans,Metamorph,1.4
Puits,2010,Alytes obstetricans,Metamorph,25.4
Puits,2010,Alytes obstetricans,Metamorph,1344.6
Puits,2010,Alytes obstetricans,Metamorph,42.6
Puits,2010,Alytes obstetricans,Metamorph,71
Puits,2010,Alytes obstetricans,Metamorph,102.3
Puits,2010,Alytes obstetricans,Metamorph,3.68
Puits,2010,Alytes obstetricans,Metamorph,45.6
Puits,2010,Alytes obstetricans,Metamorph,84.1
Puits,2010,Alytes obstetricans,Metamorph,3.73
Puits,2010,Alytes obstetricans,Metamorph,118.5
Puits,2010,Alytes obstetricans,Metamorph,0.622
Puits,2010,Alytes obstetricans,Metamorph,83.3
Puits,2010,Alytes obstetricans,Metamorph,0
Puits,2010,Alytes obstetricans,Metamorph,0.482
Puits,2010,Alytes obstetricans,Metamorph,0.816
Puits,2010,Alytes obstetricans,Metamorph,0
Puits,2011,Alytes obstetricans,Metamorph,163.8
Puits,2011,Alytes obstetricans,Metamorph,3248.1
Puits,2011,Alytes obstetricans,Metamorph,0
Puits,2011,Alytes obstetricans,Metamorph,1007.7
Puits,2011,Alytes obstetricans,Metamorph,965.8
Puits,2011,Alytes obstetricans,Metamorph,1123.2
Puits,2011,Alytes obstetricans,Metamorph,773.6
Puits,2011,Alytes obstetricans,Metamorph,1378
Puits,2011,Alytes obstetricans,Metamorph,4615.4
Puits,2011,Alytes obstetricans,Metamorph,6.95
Puits,2011,Alytes obstetricans,Metamorph,7543.6
Puits,2011,Alytes obstetricans,Metamorph,1099.1
