Lake,Year,Species,Developmental stage,GE
Puits,2008,Alytes obstetricans,Over-wintered larva,5.77364
Puits,2008,Alytes obstetricans,Over-wintered larva,6.22426
Puits,2008,Alytes obstetricans,Over-wintered larva,4.15231
Puits,2008,Alytes obstetricans,Over-wintered larva,24.7544
Puits,2008,Alytes obstetricans,Over-wintered larva,17.4312
Puits,2008,Alytes obstetricans,Over-wintered larva,143.79
Puits,2008,Alytes obstetricans,Over-wintered larva,0.126214
Puits,2008,Alytes obstetricans,Over-wintered larva,5.975
Puits,2008,Alytes obstetricans,Over-wintered larva,33.0656
Puits,2008,Alytes obstetricans,Over-wintered larva,53.3771
Puits,2008,Alytes obstetricans,Over-wintered larva,1.69613
Puits,2008,Alytes obstetricans,Over-wintered larva,1.01
Puits,2008,Alytes obstetricans,Over-wintered larva,52.29
Puits,2008,Alytes obstetricans,Over-wintered larva,45.86
Puits,2008,Alytes obstetricans,Over-wintered larva,11.84
Puits,2008,Alytes obstetricans,Over-wintered larva,34.52
Puits,2008,Alytes obstetricans,Over-wintered larva,10.97
Puits,2008,Alytes obstetricans,Over-wintered larva,48.92
Puits,2008,Alytes obstetricans,Over-wintered larva,4.13
Puits,2008,Alytes obstetricans,Over-wintered larva,65.63
Puits,2008,Alytes obstetricans,Over-wintered larva,22.09
Puits,2008,Alytes obstetricans,Over-wintered larva,84.67
Puits,2009,Alytes obstetricans ,Over-wintered larva,6.47455
Puits,2009,Alytes obstetricans ,Over-wintered larva,0.0007
Puits,2009,Alytes obstetricans ,Over-wintered larva,0.327962
Puits,2009,Alytes obstetricans ,Over-wintered larva,18.6475
Puits,2009,Alytes obstetricans ,Over-wintered larva,0.218432
Puits,2009,Alytes obstetricans ,Over-wintered larva,2.24152
Puits,2009,Alytes obstetricans ,Over-wintered larva,113.937
Puits,2009,Alytes obstetricans ,Over-wintered larva,131.317
Puits,2009,Alytes obstetricans ,Over-wintered larva,135.889
Puits,2009,Alytes obstetricans ,Over-wintered larva,233.376
Puits,2009,Alytes obstetricans ,Over-wintered larva,326.461
Puits,2009,Alytes obstetricans ,Over-wintered larva,270.586
Puits,2009,Alytes obstetricans ,Over-wintered larva,12.9168
Puits,2009,Alytes obstetricans ,Over-wintered larva,7.49804
Puits,2009,Alytes obstetricans ,Over-wintered larva,4.98864
Puits,2009,Alytes obstetricans ,Over-wintered larva,64.9071
Puits,2009,Alytes obstetricans ,Over-wintered larva,60.6859
Puits,2009,Alytes obstetricans ,Over-wintered larva,28.7077
Puits,2009,Alytes obstetricans ,Over-wintered larva,96.483
Puits,2009,Alytes obstetricans ,Over-wintered larva,187.42
Puits,2009,Alytes obstetricans ,Over-wintered larva,12.9186
Puits,2009,Alytes obstetricans ,Over-wintered larva,59.4637
Puits,2009,Alytes obstetricans ,Over-wintered larva,1.04121
Puits,2009,Alytes obstetricans ,Over-wintered larva,3.98579
Puits,2009,Alytes obstetricans ,Over-wintered larva,2.39283
Puits,2009,Alytes obstetricans ,Over-wintered larva,1.97815
Puits,2009,Alytes obstetricans ,Over-wintered larva,106.987
Puits,2009,Alytes obstetricans ,Over-wintered larva,17.9164
Puits,2009,Alytes obstetricans ,Over-wintered larva,21.291
Puits,2009,Alytes obstetricans ,Over-wintered larva,215.834
Puits,2010,Alytes obstetricans,Over-wintered larva,190.899
Puits,2010,Alytes obstetricans,Over-wintered larva,307.754
Puits,2010,Alytes obstetricans,Over-wintered larva,66.3692
Puits,2010,Alytes obstetricans,Over-wintered larva,255.241
Puits,2010,Alytes obstetricans,Over-wintered larva,240.093
Puits,2010,Alytes obstetricans,Over-wintered larva,174.69
Puits,2010,Alytes obstetricans,Over-wintered larva,197.316
Puits,2010,Alytes obstetricans,Over-wintered larva,87.3089
Puits,2010,Alytes obstetricans,Over-wintered larva,68.9608
Puits,2010,Alytes obstetricans,Over-wintered larva,104.717
Puits,2010,Alytes obstetricans,Over-wintered larva,336.844
Puits,2010,Alytes obstetricans,Over-wintered larva,758.65
Puits,2010,Alytes obstetricans,Over-wintered larva,82.7293
Puits,2010,Alytes obstetricans,Over-wintered larva,14.9736
Puits,2010,Alytes obstetricans,Over-wintered larva,126.324
Puits,2010,Alytes obstetricans,Over-wintered larva,21.93
Puits,2010,Alytes obstetricans,Over-wintered larva,75.1989
Puits,2010,Alytes obstetricans,Over-wintered larva,27.0143
Puits,2010,Alytes obstetricans,Over-wintered larva,33.8454
Puits,2010,Alytes obstetricans,Over-wintered larva,49.2348
Puits,2010,Alytes obstetricans,Over-wintered larva,45.0182
Puits,2010,Alytes obstetricans,Over-wintered larva,37.7886
Puits,2010,Alytes obstetricans,Over-wintered larva,108.879
Puits,2010,Alytes obstetricans,Over-wintered larva,55.304
Puits,2010,Alytes obstetricans,Over-wintered larva,110.547
Puits,2010,Alytes obstetricans,Over-wintered larva,77.9312
Puits,2010,Alytes obstetricans,Over-wintered larva,366.072
Puits,2010,Alytes obstetricans,Over-wintered larva,73.2285
Puits,2010,Alytes obstetricans,Over-wintered larva,53.2401
Puits,2010,Alytes obstetricans,Over-wintered larva,65.9523
Puits,2010,Alytes obstetricans,Over-wintered larva,94.9782
Puits,2010,Alytes obstetricans,Over-wintered larva,123.297
Puits,2010,Alytes obstetricans,Over-wintered larva,200.607
Puits,2010,Alytes obstetricans,Over-wintered larva,17.8201
Puits,2010,Alytes obstetricans,Over-wintered larva,84.4691
Puits,2010,Alytes obstetricans,Over-wintered larva,20.4483
Puits,2010,Alytes obstetricans,Over-wintered larva,163.117
Puits,2010,Alytes obstetricans,Over-wintered larva,8.58332
Puits,2010,Alytes obstetricans,Over-wintered larva,27.5096
Puits,2010,Alytes obstetricans,Over-wintered larva,355.3
Puits,2010,Alytes obstetricans,Over-wintered larva,162.3
Puits,2014,Alytes obstetricans,Over-wintered tadpole,193.6576271
Puits,2014,Alytes obstetricans,Over-wintered tadpole,111.8371582
Puits,2014,Alytes obstetricans,Over-wintered tadpole,224.3280411
Puits,2014,Alytes obstetricans,Over-wintered tadpole,28.21166992
Puits,2014,Alytes obstetricans,Over-wintered tadpole,184.3288231
Puits,2014,Alytes obstetricans,Over-wintered tadpole,243.0524635
Puits,2014,Alytes obstetricans,Over-wintered tadpole,216.143074
Puits,2014,Alytes obstetricans,Over-wintered tadpole,140.6454086
Puits,2014,Alytes obstetricans,Over-wintered tadpole,25.13738394
Puits,2014,Alytes obstetricans,Over-wintered tadpole,10.84063768
Puits,2014,Alytes obstetricans,Over-wintered tadpole,105.1032448
Puits,2014,Alytes obstetricans,Over-wintered tadpole,5.761060119
Puits,2014,Alytes obstetricans,Over-wintered tadpole,352.8860092
Puits,2014,Alytes obstetricans,Over-wintered tadpole,38.40982437
Puits,2014,Alytes obstetricans,Over-wintered tadpole,268.712101
Puits,2014,Alytes obstetricans,Over-wintered tadpole,95.49433708
Puits,2014,Alytes obstetricans,Over-wintered tadpole,60.8419323
Puits,2014,Alytes obstetricans,Over-wintered tadpole,10.47056556
Puits,2014,Alytes obstetricans,Over-wintered tadpole,218.6863708
Puits,2014,Alytes obstetricans,Over-wintered tadpole,179.0497208
Puits,2014,Alytes obstetricans,Over-wintered tadpole,39.56435204
Puits,2014,Alytes obstetricans,Over-wintered tadpole,421.493454
Puits,2014,Alytes obstetricans,Over-wintered tadpole,17.27927685
Puits,2014,Alytes obstetricans,Over-wintered tadpole,316.9504929
Puits,2014,Alytes obstetricans,Over-wintered tadpole,0.755006224
