#,Date_Time,Temp,"Batt, V (LGR S/N: 9940665, SEN S/N: 9940665)",Coupler Detached (LGR S/N: 9940665),Coupler Attached (LGR S/N: 9940665),Host Connected (LGR S/N: 9940665),Stopped (LGR S/N: 9940665),End Of File (LGR S/N: 9940665)
1,07/28/14 02:08 ,18.01,3.57,Logged,,,,
2,07/28/14 02:38 ,18.366,3.57,,,,,
3,07/28/14 03:08 ,18.343,3.6,,,,,
4,07/28/14 03:38 ,18.889,3.6,,,,,
5,07/28/14 04:08 ,18.961,3.6,,,,,
6,07/28/14 04:38 ,18.699,3.6,,,,,
7,07/28/14 05:08 ,18.866,3.6,,,,,
8,07/28/14 05:38 ,18.913,3.6,,,,,
9,07/28/14 06:08 ,18.985,3.6,,,,,
10,07/28/14 06:38 ,19.103,3.6,,,,,
11,07/28/14 07:08 ,18.913,3.6,,,,,
12,07/28/14 07:38 ,18.937,3.6,,,,,
13,07/28/14 08:08 ,19.103,3.6,,,,,
14,07/28/14 08:38 ,18.961,3.6,,,,,
15,07/28/14 09:08 ,18.985,3.6,,,,,
16,07/28/14 09:38 ,18.913,3.6,,,,,
17,07/28/14 10:08 ,18.961,3.6,,,,,
18,07/28/14 10:38 ,18.913,3.6,,,,,
19,07/28/14 11:08 ,18.818,3.6,,,,,
20,07/28/14 11:38 ,18.747,3.6,,,,,
21,07/29/14 12:08 ,18.675,3.6,,,,,
22,07/29/14 12:38 ,18.628,3.6,,,,,
23,07/29/14 01:08 ,18.509,3.6,,,,,
24,07/29/14 01:38 ,18.39,3.6,,,,,
25,07/29/14 02:08 ,17.891,3.6,,,,,
26,07/29/14 02:38 ,17.938,3.6,,,,,
27,07/29/14 03:08 ,17.962,3.6,,,,,
28,07/29/14 03:38 ,17.938,3.6,,,,,
29,07/29/14 04:08 ,17.867,3.6,,,,,
30,07/29/14 04:38 ,17.772,3.6,,,,,
31,07/29/14 05:08 ,17.701,3.6,,,,,
32,07/29/14 05:38 ,17.605,3.57,,,,,
33,07/29/14 06:08 ,17.534,3.57,,,,,
34,07/29/14 06:38 ,17.368,3.57,,,,,
35,07/29/14 07:08 ,17.344,3.57,,,,,
36,07/29/14 07:38 ,17.296,3.57,,,,,
37,07/29/14 08:08 ,17.225,3.57,,,,,
38,07/29/14 08:38 ,17.272,3.57,,,,,
39,07/29/14 09:08 ,17.201,3.57,,,,,
40,07/29/14 09:38 ,17.272,3.57,,,,,
41,07/29/14 10:08 ,17.32,3.57,,,,,
42,07/29/14 10:38 ,17.368,3.57,,,,,
43,07/29/14 11:08 ,17.439,3.57,,,,,
44,07/29/14 11:38 ,17.558,3.6,,,,,
45,07/29/14 12:08 ,17.677,3.57,,,,,
46,07/29/14 12:38 ,17.843,3.6,,,,,
47,07/29/14 01:08 ,17.915,3.6,,,,,
48,07/29/14 01:38 ,17.867,3.6,,,,,
49,07/29/14 02:08 ,18.01,3.6,,,,,
50,07/29/14 02:38 ,18.129,3.6,,,,,
51,07/29/14 03:08 ,18.2,3.6,,,,,
52,07/29/14 03:38 ,18.271,3.6,,,,,
53,07/29/14 04:08 ,18.414,3.6,,,,,
54,07/29/14 04:38 ,18.509,3.6,,,,,
55,07/29/14 05:08 ,18.461,3.6,,,,,
56,07/29/14 05:38 ,18.557,3.6,,,,,
57,07/29/14 06:08 ,18.747,3.6,,,,,
58,07/29/14 06:38 ,18.723,3.6,,,,,
59,07/29/14 07:08 ,18.675,3.6,,,,,
60,07/29/14 07:38 ,18.58,3.6,,,,,
61,07/29/14 08:08 ,18.39,3.6,,,,,
